Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Gene Ontology (biological process),Gene Ontology (GO),Gene Ontology IDs,Gene Ontology (cellular component),Gene Ontology (molecular function)
A0A1Y7VJN8,unreviewed,A0A1Y7VJN8_MOUSE,Calpastatin (Calpain inhibitor),Cast,Mus musculus (Mouse),445,,cysteine-type endopeptidase inhibitor activity [GO:0004869],GO:0004869,,cysteine-type endopeptidase inhibitor activity [GO:0004869]
A0A338P6J9,unreviewed,A0A338P6J9_MOUSE,Calpastatin (Calpain inhibitor),Cast,Mus musculus (Mouse),520,,cysteine-type endopeptidase inhibitor activity [GO:0004869],GO:0004869,,cysteine-type endopeptidase inhibitor activity [GO:0004869]
Q3TTN2,unreviewed,Q3TTN2_MOUSE,Calpastatin (Calpain inhibitor),Cast,Mus musculus (Mouse),431,,cysteine-type endopeptidase inhibitor activity [GO:0004869],GO:0004869,,cysteine-type endopeptidase inhibitor activity [GO:0004869]
Q8BS37,unreviewed,Q8BS37_MOUSE,Calpastatin (Calpain inhibitor),Cast,Mus musculus (Mouse),140,,cysteine-type endopeptidase inhibitor activity [GO:0004869],GO:0004869,,cysteine-type endopeptidase inhibitor activity [GO:0004869]
Q8C281,unreviewed,Q8C281_MOUSE,Calpastatin (Calpain inhibitor),Cast,Mus musculus (Mouse),686,,cysteine-type endopeptidase inhibitor activity [GO:0004869],GO:0004869,,cysteine-type endopeptidase inhibitor activity [GO:0004869]
Q8CB83,unreviewed,Q8CB83_MOUSE,Calpastatin (Calpain inhibitor),Cast,Mus musculus (Mouse),686,,cysteine-type endopeptidase inhibitor activity [GO:0004869],GO:0004869,,cysteine-type endopeptidase inhibitor activity [GO:0004869]
Q8CE04,unreviewed,Q8CE04_MOUSE,Calpastatin (Calpain inhibitor),Cast,Mus musculus (Mouse),704,,cysteine-type endopeptidase inhibitor activity [GO:0004869],GO:0004869,,cysteine-type endopeptidase inhibitor activity [GO:0004869]
Q8CE80,unreviewed,Q8CE80_MOUSE,Calpastatin (Calpain inhibitor),Cast,Mus musculus (Mouse),754,,cysteine-type endopeptidase inhibitor activity [GO:0004869],GO:0004869,,cysteine-type endopeptidase inhibitor activity [GO:0004869]
Q921U7,unreviewed,Q921U7_MOUSE,Calpastatin (Calpain inhibitor),Cast,Mus musculus (Mouse),674,,cysteine-type endopeptidase inhibitor activity [GO:0004869],GO:0004869,,cysteine-type endopeptidase inhibitor activity [GO:0004869]
Q9JIG7,reviewed,CCD22_MOUSE,Coiled-coil domain-containing protein 22,Ccdc22 DXImx40e,Mus musculus (Mouse),627,cellular copper ion homeostasis [GO:0006878]; cholesterol homeostasis [GO:0042632]; cytoplasmic sequestering of NF-kappaB [GO:0007253]; endocytic recycling [GO:0032456]; Golgi to plasma membrane transport [GO:0006893]; negative regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043124]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of ubiquitin-dependent protein catabolic process [GO:2000060]; protein transport [GO:0015031]; regulation of plasma lipoprotein particle levels [GO:0097006],endosome [GO:0005768]; cullin family protein binding [GO:0097602]; cellular copper ion homeostasis [GO:0006878]; cholesterol homeostasis [GO:0042632]; cytoplasmic sequestering of NF-kappaB [GO:0007253]; endocytic recycling [GO:0032456]; Golgi to plasma membrane transport [GO:0006893]; negative regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043124]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of ubiquitin-dependent protein catabolic process [GO:2000060]; protein transport [GO:0015031]; regulation of plasma lipoprotein particle levels [GO:0097006],GO:0005768; GO:0006878; GO:0006893; GO:0007253; GO:0015031; GO:0032456; GO:0042632; GO:0043123; GO:0043124; GO:0097006; GO:0097602; GO:2000060,endosome [GO:0005768],cullin family protein binding [GO:0097602]
Q9D024,reviewed,CCD47_MOUSE,PAT complex subunit CCDC47 (Adipocyte-specific protein 4) (Calumin) (Coiled-coil domain-containing protein 47),Ccdc47 Asp4,Mus musculus (Mouse),483,calcium ion homeostasis [GO:0055074]; endoplasmic reticulum calcium ion homeostasis [GO:0032469]; endoplasmic reticulum organization [GO:0007029]; ER overload response [GO:0006983]; ERAD pathway [GO:0036503]; post-embryonic development [GO:0009791]; protein insertion into ER membrane [GO:0045048]; ubiquitin-dependent ERAD pathway [GO:0030433],chaperone complex [GO:0101031]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of endoplasmic reticulum membrane [GO:0030176]; rough endoplasmic reticulum [GO:0005791]; rough endoplasmic reticulum membrane [GO:0030867]; calcium ion binding [GO:0005509]; protein folding chaperone [GO:0044183]; ribosome binding [GO:0043022]; calcium ion homeostasis [GO:0055074]; endoplasmic reticulum calcium ion homeostasis [GO:0032469]; endoplasmic reticulum organization [GO:0007029]; ER overload response [GO:0006983]; ERAD pathway [GO:0036503]; post-embryonic development [GO:0009791]; protein insertion into ER membrane [GO:0045048]; ubiquitin-dependent ERAD pathway [GO:0030433],GO:0005509; GO:0005783; GO:0005789; GO:0005791; GO:0006983; GO:0007029; GO:0009791; GO:0030176; GO:0030433; GO:0030867; GO:0032469; GO:0036503; GO:0043022; GO:0044183; GO:0045048; GO:0055074; GO:0101031,chaperone complex [GO:0101031]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of endoplasmic reticulum membrane [GO:0030176]; rough endoplasmic reticulum [GO:0005791]; rough endoplasmic reticulum membrane [GO:0030867],calcium ion binding [GO:0005509]; protein folding chaperone [GO:0044183]; ribosome binding [GO:0043022]
B1AR93,unreviewed,B1AR93_MOUSE,PAT complex subunit CCDC47,Ccdc47,Mus musculus (Mouse),138,endoplasmic reticulum calcium ion homeostasis [GO:0032469],integral component of membrane [GO:0016021]; rough endoplasmic reticulum membrane [GO:0030867]; calcium ion binding [GO:0005509]; endoplasmic reticulum calcium ion homeostasis [GO:0032469],GO:0005509; GO:0016021; GO:0030867; GO:0032469,integral component of membrane [GO:0016021]; rough endoplasmic reticulum membrane [GO:0030867],calcium ion binding [GO:0005509]
F7C265,unreviewed,F7C265_MOUSE,PAT complex subunit CCDC47,Ccdc47,Mus musculus (Mouse),224,endoplasmic reticulum calcium ion homeostasis [GO:0032469],integral component of membrane [GO:0016021]; rough endoplasmic reticulum membrane [GO:0030867]; calcium ion binding [GO:0005509]; endoplasmic reticulum calcium ion homeostasis [GO:0032469],GO:0005509; GO:0016021; GO:0030867; GO:0032469,integral component of membrane [GO:0016021]; rough endoplasmic reticulum membrane [GO:0030867],calcium ion binding [GO:0005509]
Q0VBU4,unreviewed,Q0VBU4_MOUSE,Coiled-coil domain containing 47,Ccdc47,Mus musculus (Mouse),483,endoplasmic reticulum calcium ion homeostasis [GO:0032469]; ERAD pathway [GO:0036503]; protein insertion into ER membrane [GO:0045048],chaperone complex [GO:0101031]; integral component of endoplasmic reticulum membrane [GO:0030176]; rough endoplasmic reticulum membrane [GO:0030867]; calcium ion binding [GO:0005509]; protein folding chaperone [GO:0044183]; ribosome binding [GO:0043022]; endoplasmic reticulum calcium ion homeostasis [GO:0032469]; ERAD pathway [GO:0036503]; protein insertion into ER membrane [GO:0045048],GO:0005509; GO:0030176; GO:0030867; GO:0032469; GO:0036503; GO:0043022; GO:0044183; GO:0045048; GO:0101031,chaperone complex [GO:0101031]; integral component of endoplasmic reticulum membrane [GO:0030176]; rough endoplasmic reticulum membrane [GO:0030867],calcium ion binding [GO:0005509]; protein folding chaperone [GO:0044183]; ribosome binding [GO:0043022]
Q640L3,reviewed,CCPG1_MOUSE,Cell cycle progression protein 1,Ccpg1,Mus musculus (Mouse),753,cell cycle [GO:0007049]; positive regulation of cell cycle [GO:0045787]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of Rho guanyl-nucleotide exchange factor activity [GO:2001106],integral component of membrane [GO:0016021]; membrane [GO:0016020]; cell cycle [GO:0007049]; positive regulation of cell cycle [GO:0045787]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of Rho guanyl-nucleotide exchange factor activity [GO:2001106],GO:0007049; GO:0008284; GO:0016020; GO:0016021; GO:0045787; GO:0045944; GO:2001106,integral component of membrane [GO:0016021]; membrane [GO:0016020],
D3Z5G5,unreviewed,D3Z5G5_MOUSE,Cell cycle progression protein 1,Ccpg1,Mus musculus (Mouse),105,regulation of Rho guanyl-nucleotide exchange factor activity [GO:2001106],regulation of Rho guanyl-nucleotide exchange factor activity [GO:2001106],GO:2001106,,
D3Z7R9,unreviewed,D3Z7R9_MOUSE,Cell cycle progression protein 1,Ccpg1,Mus musculus (Mouse),778,regulation of Rho guanyl-nucleotide exchange factor activity [GO:2001106],integral component of membrane [GO:0016021]; regulation of Rho guanyl-nucleotide exchange factor activity [GO:2001106],GO:0016021; GO:2001106,integral component of membrane [GO:0016021],
G3UVW4,unreviewed,G3UVW4_MOUSE,Cell cycle progression protein 1,Ccpg1,Mus musculus (Mouse),153,regulation of Rho guanyl-nucleotide exchange factor activity [GO:2001106],regulation of Rho guanyl-nucleotide exchange factor activity [GO:2001106],GO:2001106,,
Q8BSC4,unreviewed,Q8BSC4_MOUSE,GPI mannosyltransferase 3,Pigb Ccpg1,Mus musculus (Mouse),120,,,,,
Q9CVI9,unreviewed,Q9CVI9_MOUSE,Uncharacterized protein,Ccpg1,Mus musculus (Mouse),196,regulation of Rho guanyl-nucleotide exchange factor activity [GO:2001106],regulation of Rho guanyl-nucleotide exchange factor activity [GO:2001106],GO:2001106,,
Q9JL21,reviewed,CCR10_MOUSE,"C-C chemokine receptor type 10, C-C CKR-10, CC-CKR-10, CCR-10 (Chemokine C-C receptor 9) (G-protein coupled receptor 2)",Ccr10 Cmkbr9 Gpr2,Mus musculus (Mouse),362,calcium-mediated signaling [GO:0019722]; cell chemotaxis [GO:0060326]; chemotaxis [GO:0006935]; immune response [GO:0006955]; positive regulation of cytosolic calcium ion concentration [GO:0007204],cell surface [GO:0009986]; endoplasmic reticulum [GO:0005783]; external side of plasma membrane [GO:0009897]; integral component of plasma membrane [GO:0005887]; C-C chemokine binding [GO:0019957]; C-C chemokine receptor activity [GO:0016493]; chemokine receptor activity [GO:0004950]; calcium-mediated signaling [GO:0019722]; cell chemotaxis [GO:0060326]; chemotaxis [GO:0006935]; immune response [GO:0006955]; positive regulation of cytosolic calcium ion concentration [GO:0007204],GO:0004950; GO:0005783; GO:0005887; GO:0006935; GO:0006955; GO:0007204; GO:0009897; GO:0009986; GO:0016493; GO:0019722; GO:0019957; GO:0060326,cell surface [GO:0009986]; endoplasmic reticulum [GO:0005783]; external side of plasma membrane [GO:0009897]; integral component of plasma membrane [GO:0005887],C-C chemokine binding [GO:0019957]; C-C chemokine receptor activity [GO:0016493]; chemokine receptor activity [GO:0004950]
Q3U428,unreviewed,Q3U428_MOUSE,Uncharacterized protein,Cntnap1 Ccr10,Mus musculus (Mouse),1188,cell adhesion [GO:0007155]; paranodal junction assembly [GO:0030913],integral component of membrane [GO:0016021]; paranode region of axon [GO:0033270]; plasma membrane [GO:0005886]; cell adhesion [GO:0007155]; paranodal junction assembly [GO:0030913],GO:0005886; GO:0007155; GO:0016021; GO:0030913; GO:0033270,integral component of membrane [GO:0016021]; paranode region of axon [GO:0033270]; plasma membrane [GO:0005886],
P04235,reviewed,CD3D_MOUSE,T-cell surface glycoprotein CD3 delta chain (T-cell receptor T3 delta chain) (CD antigen CD3d),Cd3d T3d,Mus musculus (Mouse),173,adaptive immune response [GO:0002250]; cell surface receptor signaling pathway [GO:0007166]; positive thymic T cell selection [GO:0045059]; protein-containing complex assembly [GO:0065003]; T cell activation [GO:0042110],alpha-beta T cell receptor complex [GO:0042105]; external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; T cell receptor complex [GO:0042101]; identical protein binding [GO:0042802]; transmembrane signaling receptor activity [GO:0004888]; adaptive immune response [GO:0002250]; cell surface receptor signaling pathway [GO:0007166]; positive thymic T cell selection [GO:0045059]; protein-containing complex assembly [GO:0065003]; T cell activation [GO:0042110],GO:0002250; GO:0004888; GO:0005886; GO:0007166; GO:0009897; GO:0016021; GO:0042101; GO:0042105; GO:0042110; GO:0042802; GO:0045059; GO:0065003,alpha-beta T cell receptor complex [GO:0042105]; external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; T cell receptor complex [GO:0042101],identical protein binding [GO:0042802]; transmembrane signaling receptor activity [GO:0004888]
A0A1L1SV10,unreviewed,A0A1L1SV10_MOUSE,T-cell surface glycoprotein CD3 delta chain,Cd3d,Mus musculus (Mouse),38,,,,,
A0N8K9,unreviewed,A0N8K9_MOUSE,T-cell surface glycoprotein CD3 delta chain (T-cell receptor T3 delta chain),Cd3d,Mus musculus (Mouse),162,adaptive immune response [GO:0002250]; cell surface receptor signaling pathway [GO:0007166],alpha-beta T cell receptor complex [GO:0042105]; integral component of membrane [GO:0016021]; transmembrane signaling receptor activity [GO:0004888]; adaptive immune response [GO:0002250]; cell surface receptor signaling pathway [GO:0007166],GO:0002250; GO:0004888; GO:0007166; GO:0016021; GO:0042105,alpha-beta T cell receptor complex [GO:0042105]; integral component of membrane [GO:0016021],transmembrane signaling receptor activity [GO:0004888]
B0L6U8,unreviewed,B0L6U8_MOUSE,T-cell surface glycoprotein CD3 delta chain (T-cell receptor T3 delta chain),Cd3d,Mus musculus (Mouse),173,adaptive immune response [GO:0002250]; cell surface receptor signaling pathway [GO:0007166],alpha-beta T cell receptor complex [GO:0042105]; integral component of membrane [GO:0016021]; transmembrane signaling receptor activity [GO:0004888]; adaptive immune response [GO:0002250]; cell surface receptor signaling pathway [GO:0007166],GO:0002250; GO:0004888; GO:0007166; GO:0016021; GO:0042105,alpha-beta T cell receptor complex [GO:0042105]; integral component of membrane [GO:0016021],transmembrane signaling receptor activity [GO:0004888]
Q3U4T1,unreviewed,Q3U4T1_MOUSE,T-cell surface glycoprotein CD3 delta chain (T-cell receptor T3 delta chain),Cd3d CD3d,Mus musculus (Mouse),173,adaptive immune response [GO:0002250]; cell surface receptor signaling pathway [GO:0007166],alpha-beta T cell receptor complex [GO:0042105]; integral component of membrane [GO:0016021]; identical protein binding [GO:0042802]; transmembrane signaling receptor activity [GO:0004888]; adaptive immune response [GO:0002250]; cell surface receptor signaling pathway [GO:0007166],GO:0002250; GO:0004888; GO:0007166; GO:0016021; GO:0042105; GO:0042802,alpha-beta T cell receptor complex [GO:0042105]; integral component of membrane [GO:0016021],identical protein binding [GO:0042802]; transmembrane signaling receptor activity [GO:0004888]
Q3U572,unreviewed,Q3U572_MOUSE,T-cell surface glycoprotein CD3 delta chain (T-cell receptor T3 delta chain),Cd3d,Mus musculus (Mouse),173,adaptive immune response [GO:0002250]; cell surface receptor signaling pathway [GO:0007166],alpha-beta T cell receptor complex [GO:0042105]; integral component of membrane [GO:0016021]; transmembrane signaling receptor activity [GO:0004888]; adaptive immune response [GO:0002250]; cell surface receptor signaling pathway [GO:0007166],GO:0002250; GO:0004888; GO:0007166; GO:0016021; GO:0042105,alpha-beta T cell receptor complex [GO:0042105]; integral component of membrane [GO:0016021],transmembrane signaling receptor activity [GO:0004888]
Q3V3B4,unreviewed,Q3V3B4_MOUSE,T-cell surface glycoprotein CD3 delta chain (T-cell receptor T3 delta chain),Cd3d,Mus musculus (Mouse),173,adaptive immune response [GO:0002250]; cell surface receptor signaling pathway [GO:0007166],alpha-beta T cell receptor complex [GO:0042105]; integral component of membrane [GO:0016021]; transmembrane signaling receptor activity [GO:0004888]; adaptive immune response [GO:0002250]; cell surface receptor signaling pathway [GO:0007166],GO:0002250; GO:0004888; GO:0007166; GO:0016021; GO:0042105,alpha-beta T cell receptor complex [GO:0042105]; integral component of membrane [GO:0016021],transmembrane signaling receptor activity [GO:0004888]
Q6P5P1,unreviewed,Q6P5P1_MOUSE,T-cell surface glycoprotein CD3 delta chain (T-cell receptor T3 delta chain),Cd3d,Mus musculus (Mouse),173,adaptive immune response [GO:0002250]; cell surface receptor signaling pathway [GO:0007166],alpha-beta T cell receptor complex [GO:0042105]; integral component of membrane [GO:0016021]; transmembrane signaling receptor activity [GO:0004888]; adaptive immune response [GO:0002250]; cell surface receptor signaling pathway [GO:0007166],GO:0002250; GO:0004888; GO:0007166; GO:0016021; GO:0042105,alpha-beta T cell receptor complex [GO:0042105]; integral component of membrane [GO:0016021],transmembrane signaling receptor activity [GO:0004888]
P22646,reviewed,CD3E_MOUSE,T-cell surface glycoprotein CD3 epsilon chain (T-cell surface antigen T3/Leu-4 epsilon chain) (CD antigen CD3e),Cd3e,Mus musculus (Mouse),189,"adaptive immune response [GO:0002250]; apoptotic signaling pathway [GO:0097190]; calcium-mediated signaling [GO:0019722]; CD4-positive, alpha-beta T cell proliferation [GO:0035739]; cell surface receptor signaling pathway [GO:0007166]; cerebellum development [GO:0021549]; dendrite development [GO:0016358]; lymphocyte activation [GO:0046649]; negative regulation of gene expression [GO:0010629]; negative regulation of smoothened signaling pathway [GO:0045879]; negative thymic T cell selection [GO:0045060]; peptidyl-tyrosine phosphorylation [GO:0018108]; positive regulation of calcium-mediated signaling [GO:0050850]; positive regulation of CD4-positive, alpha-beta T cell proliferation [GO:2000563]; positive regulation of cell-cell adhesion mediated by integrin [GO:0033634]; positive regulation of cell-matrix adhesion [GO:0001954]; positive regulation of gene expression [GO:0010628]; positive regulation of interferon-gamma production [GO:0032729]; positive regulation of interleukin-2 production [GO:0032743]; positive regulation of interleukin-4 production [GO:0032753]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; positive regulation of T cell activation [GO:0050870]; positive regulation of T cell anergy [GO:0002669]; positive regulation of T cell proliferation [GO:0042102]; positive thymic T cell selection [GO:0045059]; response to nutrient [GO:0007584]; smoothened signaling pathway [GO:0007224]; T cell activation [GO:0042110]; T cell anergy [GO:0002870]; T cell costimulation [GO:0031295]; T cell proliferation [GO:0042098]; T cell receptor signaling pathway [GO:0050852]","alpha-beta T cell receptor complex [GO:0042105]; cell body [GO:0044297]; cell-cell junction [GO:0005911]; dendritic spine [GO:0043197]; endoplasmic reticulum [GO:0005783]; external side of plasma membrane [GO:0009897]; Golgi apparatus [GO:0005794]; immunological synapse [GO:0001772]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; T cell receptor complex [GO:0042101]; identical protein binding [GO:0042802]; SH3 domain binding [GO:0017124]; transmembrane signaling receptor activity [GO:0004888]; adaptive immune response [GO:0002250]; apoptotic signaling pathway [GO:0097190]; calcium-mediated signaling [GO:0019722]; CD4-positive, alpha-beta T cell proliferation [GO:0035739]; cell surface receptor signaling pathway [GO:0007166]; cerebellum development [GO:0021549]; dendrite development [GO:0016358]; lymphocyte activation [GO:0046649]; negative regulation of gene expression [GO:0010629]; negative regulation of smoothened signaling pathway [GO:0045879]; negative thymic T cell selection [GO:0045060]; peptidyl-tyrosine phosphorylation [GO:0018108]; positive regulation of calcium-mediated signaling [GO:0050850]; positive regulation of CD4-positive, alpha-beta T cell proliferation [GO:2000563]; positive regulation of cell-cell adhesion mediated by integrin [GO:0033634]; positive regulation of cell-matrix adhesion [GO:0001954]; positive regulation of gene expression [GO:0010628]; positive regulation of interferon-gamma production [GO:0032729]; positive regulation of interleukin-2 production [GO:0032743]; positive regulation of interleukin-4 production [GO:0032753]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; positive regulation of T cell activation [GO:0050870]; positive regulation of T cell anergy [GO:0002669]; positive regulation of T cell proliferation [GO:0042102]; positive thymic T cell selection [GO:0045059]; response to nutrient [GO:0007584]; smoothened signaling pathway [GO:0007224]; T cell activation [GO:0042110]; T cell anergy [GO:0002870]; T cell costimulation [GO:0031295]; T cell proliferation [GO:0042098]; T cell receptor signaling pathway [GO:0050852]",GO:0001772; GO:0001954; GO:0002250; GO:0002669; GO:0002870; GO:0004888; GO:0005783; GO:0005794; GO:0005886; GO:0005911; GO:0007166; GO:0007224; GO:0007584; GO:0009897; GO:0010628; GO:0010629; GO:0016021; GO:0016358; GO:0017124; GO:0018108; GO:0019722; GO:0021549; GO:0031295; GO:0032729; GO:0032743; GO:0032753; GO:0033634; GO:0035739; GO:0042098; GO:0042101; GO:0042102; GO:0042105; GO:0042110; GO:0042802; GO:0043197; GO:0044297; GO:0045059; GO:0045060; GO:0045879; GO:0046649; GO:0050731; GO:0050850; GO:0050852; GO:0050870; GO:0097190; GO:2000563,alpha-beta T cell receptor complex [GO:0042105]; cell body [GO:0044297]; cell-cell junction [GO:0005911]; dendritic spine [GO:0043197]; endoplasmic reticulum [GO:0005783]; external side of plasma membrane [GO:0009897]; Golgi apparatus [GO:0005794]; immunological synapse [GO:0001772]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; T cell receptor complex [GO:0042101],identical protein binding [GO:0042802]; SH3 domain binding [GO:0017124]; transmembrane signaling receptor activity [GO:0004888]
A6H6M1,unreviewed,A6H6M1_MOUSE,T-cell surface glycoprotein CD3 epsilon chain,Cd3e,Mus musculus (Mouse),189,adaptive immune response [GO:0002250]; cell surface receptor signaling pathway [GO:0007166]; negative regulation of gene expression [GO:0010629]; positive regulation of gene expression [GO:0010628]; positive regulation of T cell proliferation [GO:0042102],alpha-beta T cell receptor complex [GO:0042105]; endoplasmic reticulum [GO:0005783]; external side of plasma membrane [GO:0009897]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; identical protein binding [GO:0042802]; SH3 domain binding [GO:0017124]; transmembrane signaling receptor activity [GO:0004888]; adaptive immune response [GO:0002250]; cell surface receptor signaling pathway [GO:0007166]; negative regulation of gene expression [GO:0010629]; positive regulation of gene expression [GO:0010628]; positive regulation of T cell proliferation [GO:0042102],GO:0002250; GO:0004888; GO:0005783; GO:0005794; GO:0007166; GO:0009897; GO:0010628; GO:0010629; GO:0016021; GO:0017124; GO:0042102; GO:0042105; GO:0042802,alpha-beta T cell receptor complex [GO:0042105]; endoplasmic reticulum [GO:0005783]; external side of plasma membrane [GO:0009897]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021],identical protein binding [GO:0042802]; SH3 domain binding [GO:0017124]; transmembrane signaling receptor activity [GO:0004888]
B0LAX5,unreviewed,B0LAX5_MOUSE,T-cell surface glycoprotein CD3 epsilon chain,Cd3e,Mus musculus (Mouse),189,adaptive immune response [GO:0002250]; cell surface receptor signaling pathway [GO:0007166],alpha-beta T cell receptor complex [GO:0042105]; integral component of membrane [GO:0016021]; transmembrane signaling receptor activity [GO:0004888]; adaptive immune response [GO:0002250]; cell surface receptor signaling pathway [GO:0007166],GO:0002250; GO:0004888; GO:0007166; GO:0016021; GO:0042105,alpha-beta T cell receptor complex [GO:0042105]; integral component of membrane [GO:0016021],transmembrane signaling receptor activity [GO:0004888]
Q99L43,reviewed,CDS2_MOUSE,"Phosphatidate cytidylyltransferase 2, EC 2.7.7.41 (CDP-DAG synthase 2) (CDP-DG synthase 2) (CDP-diacylglycerol synthase 2, CDS 2) (CDP-diglyceride pyrophosphorylase 2) (CDP-diglyceride synthase 2) (CTP:phosphatidate cytidylyltransferase 2)",Cds2,Mus musculus (Mouse),444,CDP-diacylglycerol biosynthetic process [GO:0016024]; glycosylation [GO:0070085]; lipid droplet formation [GO:0140042]; phototransduction [GO:0007602],endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; phosphatidate cytidylyltransferase activity [GO:0004605]; CDP-diacylglycerol biosynthetic process [GO:0016024]; glycosylation [GO:0070085]; lipid droplet formation [GO:0140042]; phototransduction [GO:0007602],GO:0004605; GO:0005783; GO:0005789; GO:0007602; GO:0016021; GO:0016024; GO:0070085; GO:0140042,endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021],phosphatidate cytidylyltransferase activity [GO:0004605]
A2AMQ5,unreviewed,A2AMQ5_MOUSE,"Phosphatidate cytidylyltransferase, EC 2.7.7.41",Cds2,Mus musculus (Mouse),427,CDP-diacylglycerol biosynthetic process [GO:0016024],integral component of membrane [GO:0016021]; phosphatidate cytidylyltransferase activity [GO:0004605]; CDP-diacylglycerol biosynthetic process [GO:0016024],GO:0004605; GO:0016021; GO:0016024,integral component of membrane [GO:0016021],phosphatidate cytidylyltransferase activity [GO:0004605]
F6S4G2,unreviewed,F6S4G2_MOUSE,"Phosphatidate cytidylyltransferase, EC 2.7.7.41",Cds2,Mus musculus (Mouse),194,CDP-diacylglycerol biosynthetic process [GO:0016024],integral component of membrane [GO:0016021]; phosphatidate cytidylyltransferase activity [GO:0004605]; CDP-diacylglycerol biosynthetic process [GO:0016024],GO:0004605; GO:0016021; GO:0016024,integral component of membrane [GO:0016021],phosphatidate cytidylyltransferase activity [GO:0004605]
H3BKR7,unreviewed,H3BKR7_MOUSE,Phosphatidate cytidylyltransferase 2,Cds2,Mus musculus (Mouse),56,,,,,
H3BLA1,unreviewed,H3BLA1_MOUSE,"Phosphatidate cytidylyltransferase, EC 2.7.7.41",Cds2,Mus musculus (Mouse),33,CDP-diacylglycerol biosynthetic process [GO:0016024],integral component of membrane [GO:0016021]; phosphatidate cytidylyltransferase activity [GO:0004605]; CDP-diacylglycerol biosynthetic process [GO:0016024],GO:0004605; GO:0016021; GO:0016024,integral component of membrane [GO:0016021],phosphatidate cytidylyltransferase activity [GO:0004605]
Q6PBC0,unreviewed,Q6PBC0_MOUSE,"Phosphatidate cytidylyltransferase, EC 2.7.7.41",Cds2,Mus musculus (Mouse),129,CDP-diacylglycerol biosynthetic process [GO:0016024],integral component of membrane [GO:0016021]; phosphatidate cytidylyltransferase activity [GO:0004605]; CDP-diacylglycerol biosynthetic process [GO:0016024],GO:0004605; GO:0016021; GO:0016024,integral component of membrane [GO:0016021],phosphatidate cytidylyltransferase activity [GO:0004605]
Q8BX08,unreviewed,Q8BX08_MOUSE,"Phosphatidate cytidylyltransferase, EC 2.7.7.41",Cds2,Mus musculus (Mouse),367,CDP-diacylglycerol biosynthetic process [GO:0016024],integral component of membrane [GO:0016021]; phosphatidate cytidylyltransferase activity [GO:0004605]; CDP-diacylglycerol biosynthetic process [GO:0016024],GO:0004605; GO:0016021; GO:0016024,integral component of membrane [GO:0016021],phosphatidate cytidylyltransferase activity [GO:0004605]
