Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Gene Ontology (cellular component),Subcellular location [CC],Mass,Function [CC],Tissue specificity,Gene Ontology (biological process),Signal peptide,Transit peptide
P13942,reviewed,COBA2_HUMAN,Collagen alpha-2(XI) chain,COL11A2,Homo sapiens (Human),1736,collagen trimer [GO:0005581]; collagen type XI trimer [GO:0005592]; collagen-containing extracellular matrix [GO:0062023]; endoplasmic reticulum lumen [GO:0005788]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615],"SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000255|PROSITE-ProRule:PRU00793}.",171791,FUNCTION: May play an important role in fibrillogenesis by controlling lateral growth of collagen II fibrils.,,cartilage development [GO:0051216]; collagen fibril organization [GO:0030199]; extracellular matrix organization [GO:0030198]; roof of mouth development [GO:0060021]; sensory perception of sound [GO:0007605]; skeletal system development [GO:0001501]; soft palate development [GO:0060023],"SIGNAL 1..27; /evidence=""ECO:0000255""",
P13987,reviewed,CD59_HUMAN,"CD59 glycoprotein (1F5 antigen) (20 kDa homologous restriction factor, HRF-20, HRF20) (MAC-inhibitory protein, MAC-IP) (MEM43 antigen) (Membrane attack complex inhibition factor, MACIF) (Membrane inhibitor of reactive lysis, MIRL) (Protectin) (CD antigen CD59)",CD59 MIC11 MIN1 MIN2 MIN3 MSK21,Homo sapiens (Human),128,anchored component of external side of plasma membrane [GO:0031362]; cell surface [GO:0009986]; endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; ER to Golgi transport vesicle membrane [GO:0012507]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; focal adhesion [GO:0005925]; Golgi membrane [GO:0000139]; membrane [GO:0016020]; plasma membrane [GO:0005886]; specific granule membrane [GO:0035579]; tertiary granule membrane [GO:0070821]; transport vesicle [GO:0030133]; vesicle [GO:0031982],"SUBCELLULAR LOCATION: Cell membrane; Lipid-anchor, GPI-anchor. Secreted. Note=Soluble form found in a number of tissues.",14177,"FUNCTION: Potent inhibitor of the complement membrane attack complex (MAC) action. Acts by binding to the C8 and/or C9 complements of the assembling MAC, thereby preventing incorporation of the multiple copies of C9 required for complete formation of the osmolytic pore. This inhibitor appears to be species-specific. Involved in signal transduction for T-cell activation complexed to a protein tyrosine kinase.; FUNCTION: The soluble form from urine retains its specific complement binding activity, but exhibits greatly reduced ability to inhibit MAC assembly on cell membranes.",,blood coagulation [GO:0007596]; cell surface receptor signaling pathway [GO:0007166]; negative regulation of activation of membrane attack complex [GO:0001971]; regulation of complement activation [GO:0030449]; regulation of complement-dependent cytotoxicity [GO:1903659],"SIGNAL 1..25; /evidence=""ECO:0000269|PubMed:9054419, ECO:0007744|PubMed:25944712""",
P14138,reviewed,EDN3_HUMAN,"Endothelin-3, ET-3 (Preproendothelin-3, PPET3)",EDN3,Homo sapiens (Human),238,extracellular region [GO:0005576]; extracellular space [GO:0005615],SUBCELLULAR LOCATION: Secreted.,25454,FUNCTION: Endothelins are endothelium-derived vasoconstrictor peptides.,"TISSUE SPECIFICITY: Expressed in trophoblasts and placental stem villi vessels, but not in cultured placental smooth muscle cells. {ECO:0000269|PubMed:9284755}.",axon extension [GO:0048675]; axon guidance [GO:0007411]; blood circulation [GO:0008015]; cell population proliferation [GO:0008283]; cell surface receptor signaling pathway [GO:0007166]; cell-cell signaling [GO:0007267]; cellular calcium ion homeostasis [GO:0006874]; cellular magnesium ion homeostasis [GO:0010961]; establishment of localization in cell [GO:0051649]; inositol phosphate-mediated signaling [GO:0048016]; melanocyte differentiation [GO:0030318]; neural crest cell migration [GO:0001755]; neutrophil chemotaxis [GO:0030593]; peptide hormone secretion [GO:0030072]; positive regulation of cell differentiation [GO:0045597]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of heart rate [GO:0010460]; positive regulation of hormone secretion [GO:0046887]; positive regulation of leukocyte chemotaxis [GO:0002690]; positive regulation of MAP kinase activity [GO:0043406]; positive regulation of mitotic nuclear division [GO:0045840]; positive regulation of potassium ion transmembrane transport [GO:1901381]; positive regulation of prostaglandin-endoperoxide synthase activity [GO:0060585]; potassium ion transmembrane transport [GO:0071805]; regulation of developmental pigmentation [GO:0048070]; regulation of gene expression [GO:0010468]; regulation of systemic arterial blood pressure by endothelin [GO:0003100]; regulation of vasoconstriction [GO:0019229]; signal transduction [GO:0007165]; vasoconstriction [GO:0042310]; vein smooth muscle contraction [GO:0014826],"SIGNAL 1..16; /evidence=""ECO:0000255""",
P14174,reviewed,MIF_HUMAN,"Macrophage migration inhibitory factor, MIF, EC 5.3.2.1 (Glycosylation-inhibiting factor, GIF) (L-dopachrome isomerase) (L-dopachrome tautomerase, EC 5.3.3.12) (Phenylpyruvate tautomerase)",MIF GLIF MMIF,Homo sapiens (Human),115,cell surface [GO:0009986]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; ficolin-1-rich granule lumen [GO:1904813]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; secretory granule lumen [GO:0034774]; vesicle [GO:0031982],"SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:15908412, ECO:0000269|PubMed:19454686, ECO:0000269|PubMed:2552447, ECO:0000269|PubMed:8234256}. Cytoplasm {ECO:0000269|PubMed:11089976, ECO:0000269|PubMed:19454686}. Note=Does not have a cleavable signal sequence and is secreted via a specialized, non-classical pathway. Secreted by macrophages upon stimulation by bacterial lipopolysaccharide (LPS), or by M.tuberculosis antigens. {ECO:0000269|PubMed:15908412}.",12476,"FUNCTION: Pro-inflammatory cytokine involved in the innate immune response to bacterial pathogens (PubMed:15908412, PubMed:17443469, PubMed:23776208). The expression of MIF at sites of inflammation suggests a role as mediator in regulating the function of macrophages in host defense (PubMed:15908412, PubMed:17443469, PubMed:23776208). Counteracts the anti-inflammatory activity of glucocorticoids (PubMed:15908412, PubMed:17443469, PubMed:23776208). Has phenylpyruvate tautomerase and dopachrome tautomerase activity (in vitro), but the physiological substrate is not known (PubMed:11439086, PubMed:17526494). It is not clear whether the tautomerase activity has any physiological relevance, and whether it is important for cytokine activity (PubMed:11439086, PubMed:17526494). {ECO:0000269|PubMed:11439086, ECO:0000269|PubMed:15908412, ECO:0000269|PubMed:17443469, ECO:0000269|PubMed:17526494, ECO:0000269|PubMed:23776208}.",,"carboxylic acid metabolic process [GO:0019752]; cell surface receptor signaling pathway [GO:0007166]; cellular senescence [GO:0090398]; DNA damage response, signal transduction by p53 class mediator [GO:0030330]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell migration [GO:0030336]; negative regulation of cellular senescence [GO:2000773]; negative regulation of DNA damage response, signal transduction by p53 class mediator [GO:0043518]; negative regulation of gene expression [GO:0010629]; negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:1902166]; negative regulation of macrophage chemotaxis [GO:0010760]; negative regulation of mature B cell apoptotic process [GO:0002906]; negative regulation of myeloid cell apoptotic process [GO:0033033]; negative regulation of protein metabolic process [GO:0051248]; positive regulation of arachidonic acid secretion [GO:0090238]; positive regulation of B cell proliferation [GO:0030890]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of chemokine (C-X-C motif) ligand 2 production [GO:2000343]; positive regulation of cytokine production [GO:0001819]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of fibroblast proliferation [GO:0048146]; positive regulation of lipopolysaccharide-mediated signaling pathway [GO:0031666]; positive regulation of MAP kinase activity [GO:0043406]; positive regulation of myeloid leukocyte cytokine production involved in immune response [GO:0061081]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; positive regulation of phosphorylation [GO:0042327]; positive regulation of prostaglandin secretion involved in immune response [GO:0061078]; positive regulation of protein kinase A signaling [GO:0010739]; positive regulation of tumor necrosis factor production [GO:0032760]; prostaglandin biosynthetic process [GO:0001516]; protein homotrimerization [GO:0070207]; regulation of macrophage activation [GO:0043030]",,
P14207,reviewed,FOLR2_HUMAN,"Folate receptor beta, FR-beta (Folate receptor 2) (Folate receptor, fetal/placental) (Placental folate-binding protein, FBP)",FOLR2,Homo sapiens (Human),255,anchored component of external side of plasma membrane [GO:0031362]; cell surface [GO:0009986]; extracellular region [GO:0005576]; plasma membrane [GO:0005886],"SUBCELLULAR LOCATION: Cell membrane; Lipid-anchor, GPI-anchor. Secreted {ECO:0000305}.",29280,"FUNCTION: Binds to folate and reduced folic acid derivatives and mediates delivery of 5-methyltetrahydrofolate and folate analogs into the interior of cells. Has high affinity for folate and folic acid analogs at neutral pH. Exposure to slightly acidic pH after receptor endocytosis triggers a conformation change that strongly reduces its affinity for folates and mediates their release. {ECO:0000269|PubMed:23934049, ECO:0000269|PubMed:2605182, ECO:0000269|PubMed:4066659}.","TISSUE SPECIFICITY: Expressed in placenta and hematopoietic cells. Expression is increased in malignant tissues. {ECO:0000269|PubMed:2605182, ECO:0000269|PubMed:8445646}.",cell adhesion [GO:0007155]; folate import across plasma membrane [GO:1904447]; folic acid transport [GO:0015884]; fusion of sperm to egg plasma membrane involved in single fertilization [GO:0007342]; inflammatory response [GO:0006954]; positive regulation of cell population proliferation [GO:0008284]; sperm-egg recognition [GO:0035036],SIGNAL 1..16,
P14222,reviewed,PERF_HUMAN,"Perforin-1, P1 (Cytolysin) (Lymphocyte pore-forming protein, PFP)",PRF1 PFP,Homo sapiens (Human),555,cytolytic granule [GO:0044194]; cytosol [GO:0005829]; endosome lumen [GO:0031904]; extracellular region [GO:0005576]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886],"SUBCELLULAR LOCATION: Cytolytic granule {ECO:0000269|PubMed:20038786, ECO:0000269|PubMed:24088571}. Secreted. Cell membrane {ECO:0000269|PubMed:20889983, ECO:0000269|PubMed:21037563}; Multi-pass membrane protein {ECO:0000269|PubMed:20889983, ECO:0000269|PubMed:21037563}. Endosome lumen {ECO:0000269|PubMed:20038786}. Note=Stored in cytolytic granules of cytolytic T-lymphocytes and secreted into the cleft between T-lymphocyte and target cell (PubMed:20038786). Inserts into the cell membrane of target cells and forms pores (PubMed:20889983). Membrane insertion and pore formation requires a major conformation change (PubMed:20889983). May be taken up via endocytosis involving clathrin-coated vesicles and accumulate in a first time in large early endosomes (PubMed:20038786). {ECO:0000269|PubMed:20038786, ECO:0000269|PubMed:20889983}.",61377,"FUNCTION: Pore-forming protein that plays a key role in secretory granule-dependent cell death, and in defense against virus-infected or neoplastic cells (PubMed:9058810, PubMed:9164947, PubMed:20889983, PubMed:21037563). Plays an important role in killing other cells that are recognized as non-self by the immune system, e.g. in transplant rejection or some forms of autoimmune disease (PubMed:9058810). Can insert into the membrane of target cells in its calcium-bound form, oligomerize and form large pores (PubMed:20889983, PubMed:21037563). Promotes cytolysis and apoptosis of target cells by facilitating the uptake of cytotoxic granzymes (PubMed:20038786, PubMed:20225066, PubMed:32299851). {ECO:0000269|PubMed:20038786, ECO:0000269|PubMed:20225066, ECO:0000269|PubMed:20889983, ECO:0000269|PubMed:21037563, ECO:0000269|PubMed:32299851, ECO:0000269|PubMed:9058810, ECO:0000269|PubMed:9164947}.",,apoptotic process [GO:0006915]; cellular defense response [GO:0006968]; cytolysis [GO:0019835]; defense response to tumor cell [GO:0002357]; defense response to virus [GO:0051607]; immune response to tumor cell [GO:0002418]; immunological synapse formation [GO:0001771]; positive regulation of killing of cells of another organism [GO:0051712]; protein homooligomerization [GO:0051260]; T cell mediated cytotoxicity [GO:0001913],"SIGNAL 1..21; /evidence=""ECO:0000250|UniProtKB:P10820""",
P14543,reviewed,NID1_HUMAN,"Nidogen-1, NID-1 (Entactin)",NID1 NID,Homo sapiens (Human),1247,basement membrane [GO:0005604]; collagen-containing extracellular matrix [GO:0062023]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; plasma membrane [GO:0005886]; protein complex involved in cell-matrix adhesion [GO:0098637],"SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix, basement membrane.",136377,FUNCTION: Sulfated glycoprotein widely distributed in basement membranes and tightly associated with laminin. Also binds to collagen IV and perlecan. It probably has a role in cell-extracellular matrix interactions.,,basement membrane organization [GO:0071711]; cell-matrix adhesion [GO:0007160]; glomerular basement membrane development [GO:0032836]; positive regulation of cell adhesion [GO:0045785]; positive regulation of cell-substrate adhesion [GO:0010811]; positive regulation of integrin-mediated signaling pathway [GO:2001046]; positive regulation of muscle cell differentiation [GO:0051149]; regulation of basement membrane organization [GO:0110011],SIGNAL 1..28,
P14555,reviewed,PA2GA_HUMAN,"Phospholipase A2, membrane associated, EC 3.1.1.4 (GIIC sPLA2) (Group IIA phospholipase A2) (Non-pancreatic secretory phospholipase A2, NPS-PLA2) (Phosphatidylcholine 2-acylhydrolase 2A)",PLA2G2A PLA2B PLA2L RASF-A,Homo sapiens (Human),144,endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; mitochondrial outer membrane [GO:0005741]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; secretory granule [GO:0030141],"SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:2925608, ECO:0000269|PubMed:2925633}. Cell membrane {ECO:0000269|PubMed:2775276}; Peripheral membrane protein {ECO:0000305}. Mitochondrion outer membrane {ECO:0000269|PubMed:25082876}; Peripheral membrane protein {ECO:0000305}.",16083,"FUNCTION: Secretory calcium-dependent phospholipase A2 that primarily targets extracellular phospholipids with implications in host antimicrobial defense, inflammatory response and tissue regeneration (PubMed:10455175, PubMed:10681567, PubMed:2925633). Hydrolyzes the ester bond of the fatty acyl group attached at sn-2 position of phospholipids (phospholipase A2 activity) with preference for phosphatidylethanolamines and phosphatidylglycerols over phosphatidylcholines (PubMed:10455175, PubMed:10681567). Contributes to lipid remodeling of cellular membranes and generation of lipid mediators involved in pathogen clearance. Displays bactericidal activity against Gram-positive bacteria by directly hydrolyzing phospholipids of the bacterial membrane (PubMed:11694541, PubMed:10358193). Upon sterile inflammation, targets membrane phospholipids of extracellular mitochondria released from activated platelets, generating free unsaturated fatty acids such as arachidonate that is used by neighboring leukocytes to synthesize inflammatory eicosanoids such as leukotrienes. Simultaneously, by compromising mitochondrial membrane integrity, promotes the release in circulation of potent damage-associated molecular pattern molecules that activate the innate immune response (PubMed:25082876). Plays a stem cell regulator role in the intestinal crypt. Within intracellular compartment mediates Paneth cell differentiation and its stem cell supporting functions by inhibiting Wnt signaling pathway in intestinal stem cell (ICS). Secreted in the intestinal lumen upon inflammation, acts in an autocrine way and promotes prostaglandin E2 synthesis that stimulates Wnt signaling pathway in ICS cells and tissue regeneration (By similarity). May play a role in the biosynthesis of N-acyl ethanolamines that regulate energy metabolism and inflammation. Hydrolyzes N-acyl phosphatidylethanolamines to N-acyl lysophosphatidylethanolamines, which are further cleaved by a lysophospholipase D to release N-acyl ethanolamines (PubMed:14998370). Independent of its catalytic activity, acts as a ligand for integrins (PubMed:18635536, PubMed:25398877). Binds to and activates integrins ITGAV:ITGB3, ITGA4:ITGB1 and ITGA5:ITGB1 (PubMed:18635536, PubMed:25398877). Binds to a site (site 2) which is distinct from the classical ligand-binding site (site 1) and induces integrin conformational changes and enhanced ligand binding to site 1 (PubMed:25398877). Induces cell proliferation in an integrin-dependent manner (PubMed:18635536). {ECO:0000250|UniProtKB:P31482, ECO:0000269|PubMed:10358193, ECO:0000269|PubMed:10455175, ECO:0000269|PubMed:10681567, ECO:0000269|PubMed:11694541, ECO:0000269|PubMed:14998370, ECO:0000269|PubMed:25082876, ECO:0000269|PubMed:2925633}.","TISSUE SPECIFICITY: Expressed in various tissues including heart, kidney, liver, lung, pancreas, placenta, skeletal muscle, prostate, ovary, colon and small intestine. Not detected in lymphoid organs and brain (PubMed:10455175, PubMed:10681567). Expressed in platelets (at protein level) (PubMed:25082876). {ECO:0000269|PubMed:10455175, ECO:0000269|PubMed:10681567, ECO:0000269|PubMed:25082876}.",arachidonic acid secretion [GO:0050482]; cytolysis [GO:0019835]; defense response to Gram-positive bacterium [GO:0050830]; inflammatory response [GO:0006954]; intestinal stem cell homeostasis [GO:0036335]; lipid catabolic process [GO:0016042]; low-density lipoprotein particle remodeling [GO:0034374]; phosphatidic acid metabolic process [GO:0046473]; phosphatidylcholine metabolic process [GO:0046470]; phosphatidylethanolamine metabolic process [GO:0046337]; phospholipid metabolic process [GO:0006644]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of inflammatory response [GO:0050729]; positive regulation of macrophage derived foam cell differentiation [GO:0010744]; regulation of neutrophil activation [GO:1902563],"SIGNAL 1..20; /evidence=""ECO:0000269|PubMed:2775276, ECO:0000269|PubMed:2925633, ECO:0000269|PubMed:3202859, ECO:0000269|PubMed:3240982, ECO:0000269|PubMed:8399335""",
P14735,reviewed,IDE_HUMAN,"Insulin-degrading enzyme, EC 3.4.24.56 (Abeta-degrading protease) (Insulin protease, Insulinase) (Insulysin)",IDE,Homo sapiens (Human),1019,basolateral plasma membrane [GO:0016323]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; peroxisomal matrix [GO:0005782]; peroxisome [GO:0005777],"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:20364150, ECO:0000269|PubMed:9830016}. Cell membrane {ECO:0000250|UniProtKB:P35559}. Secreted {ECO:0000269|PubMed:9830016}. Note=Present at the cell surface of neuron cells. The membrane-associated isoform is approximately 5 kDa larger than the known cytosolic isoform.",117968,"FUNCTION: Plays a role in the cellular breakdown of insulin, APP peptides, IAPP peptides, natriuretic peptides, glucagon, bradykinin, kallidin, and other peptides, and thereby plays a role in intercellular peptide signaling (PubMed:2293021, PubMed:10684867, PubMed:26968463, PubMed:17051221, PubMed:17613531, PubMed:18986166, PubMed:19321446, PubMed:23922390, PubMed:24847884, PubMed:26394692, PubMed:29596046, PubMed:21098034). Substrate binding induces important conformation changes, making it possible to bind and degrade larger substrates, such as insulin (PubMed:23922390, PubMed:26394692, PubMed:29596046). Contributes to the regulation of peptide hormone signaling cascades and regulation of blood glucose homeostasis via its role in the degradation of insulin, glucagon and IAPP (By similarity). Plays a role in the degradation and clearance of APP-derived amyloidogenic peptides that are secreted by neurons and microglia (PubMed:9830016, PubMed:26394692) (Probable). Degrades the natriuretic peptides ANP, BNP and CNP, inactivating their ability to raise intracellular cGMP (PubMed:21098034). Also degrades an aberrant frameshifted 40-residue form of NPPA (fsNPPA) which is associated with familial atrial fibrillation in heterozygous patients (PubMed:21098034). Involved in antigen processing. Produces both the N terminus and the C terminus of MAGEA3-derived antigenic peptide (EVDPIGHLY) that is presented to cytotoxic T lymphocytes by MHC class I. {ECO:0000250|UniProtKB:Q9JHR7, ECO:0000269|PubMed:10684867, ECO:0000269|PubMed:17051221, ECO:0000269|PubMed:17613531, ECO:0000269|PubMed:18986166, ECO:0000269|PubMed:19321446, ECO:0000269|PubMed:20364150, ECO:0000269|PubMed:21098034, ECO:0000269|PubMed:2293021, ECO:0000269|PubMed:23922390, ECO:0000269|PubMed:24847884, ECO:0000269|PubMed:26394692, ECO:0000269|PubMed:26968463, ECO:0000269|PubMed:29596046, ECO:0000269|PubMed:9830016, ECO:0000305|PubMed:23922390}.; FUNCTION: (Microbial infection) The membrane-associated isoform acts as an entry receptor for varicella-zoster virus (VZV). {ECO:0000269|PubMed:17055432, ECO:0000269|PubMed:17553876}.",TISSUE SPECIFICITY: Detected in brain and in cerebrospinal fluid (at protein level). {ECO:0000269|PubMed:9830016}.,amyloid-beta clearance [GO:0097242]; amyloid-beta clearance by cellular catabolic process [GO:0150094]; amyloid-beta metabolic process [GO:0050435]; antigen processing and presentation of endogenous peptide antigen via MHC class I [GO:0019885]; bradykinin catabolic process [GO:0010815]; determination of adult lifespan [GO:0008340]; hormone catabolic process [GO:0042447]; insulin catabolic process [GO:1901143]; insulin metabolic process [GO:1901142]; insulin receptor signaling pathway [GO:0008286]; peptide catabolic process [GO:0043171]; positive regulation of protein binding [GO:0032092]; positive regulation of protein catabolic process [GO:0045732]; protein catabolic process [GO:0030163]; proteolysis [GO:0006508]; proteolysis involved in protein catabolic process [GO:0051603]; regulation of aerobic respiration [GO:1903715]; ubiquitin recycling [GO:0010992],,
P14778,reviewed,IL1R1_HUMAN,"Interleukin-1 receptor type 1, IL-1R-1, IL-1RT-1, IL-1RT1, EC 3.2.2.6 (CD121 antigen-like family member A) (Interleukin-1 receptor alpha, IL-1R-alpha) (Interleukin-1 receptor type I) (p80) (CD antigen CD121a) [Cleaved into: Interleukin-1 receptor type 1, membrane form, mIL-1R1, mIL-1RI; Interleukin-1 receptor type 1, soluble form, sIL-1R1, sIL-1RI ]",IL1R1 IL1R IL1RA IL1RT1,Homo sapiens (Human),569,external side of plasma membrane [GO:0009897]; extracellular region [GO:0005576]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; plasma membrane [GO:0005886],SUBCELLULAR LOCATION: Membrane {ECO:0000269|PubMed:8142597}; Single-pass type I membrane protein {ECO:0000269|PubMed:8142597}. Cell membrane {ECO:0000305|PubMed:8142597}. Secreted {ECO:0000269|PubMed:8142597}.,65402,"FUNCTION: Receptor for IL1A, IL1B and IL1RN (PubMed:2950091). After binding to interleukin-1 associates with the coreceptor IL1RAP to form the high affinity interleukin-1 receptor complex which mediates interleukin-1-dependent activation of NF-kappa-B, MAPK and other pathways. Signaling involves the recruitment of adapter molecules such as TOLLIP, MYD88, and IRAK1 or IRAK2 via the respective TIR domains of the receptor/coreceptor subunits. Binds ligands with comparable affinity and binding of antagonist IL1RN prevents association with IL1RAP to form a signaling complex. Involved in IL1B-mediated costimulation of IFNG production from T-helper 1 (Th1) cells (PubMed:10653850). {ECO:0000269|PubMed:10653850, ECO:0000269|PubMed:10671496, ECO:0000269|PubMed:2950091}.",TISSUE SPECIFICITY: Expressed in T-helper cell subsets. Preferentially expressed in T-helper 1 (Th1) cells. {ECO:0000269|PubMed:10653850}.,cell surface receptor signaling pathway [GO:0007166]; immune response [GO:0006955]; inflammatory response [GO:0006954]; interleukin-1-mediated signaling pathway [GO:0070498]; positive regulation of interferon-gamma production [GO:0032729]; positive regulation of interleukin-1-mediated signaling pathway [GO:2000661]; positive regulation of neutrophil extravasation [GO:2000391]; positive regulation of T-helper 1 cell cytokine production [GO:2000556]; regulation of inflammatory response [GO:0050727]; response to interleukin-1 [GO:0070555],SIGNAL 1..17,
P14780,reviewed,MMP9_HUMAN,"Matrix metalloproteinase-9, MMP-9, EC 3.4.24.35 (92 kDa gelatinase) (92 kDa type IV collagenase) (Gelatinase B, GELB) [Cleaved into: 67 kDa matrix metalloproteinase-9; 82 kDa matrix metalloproteinase-9 ]",MMP9 CLG4B,Homo sapiens (Human),707,collagen-containing extracellular matrix [GO:0062023]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; ficolin-1-rich granule lumen [GO:1904813]; tertiary granule lumen [GO:1904724],"SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:2551898}.",78458,"FUNCTION: Matrix metalloproteinase that plays an essential role in local proteolysis of the extracellular matrix and in leukocyte migration (PubMed:2551898, PubMed:1480034, PubMed:12879005). Could play a role in bone osteoclastic resorption (By similarity). Cleaves KiSS1 at a Gly-|-Leu bond (PubMed:12879005). Cleaves NINJ1 to generate the Secreted ninjurin-1 form (PubMed:32883094). Cleaves type IV and type V collagen into large C-terminal three quarter fragments and shorter N-terminal one quarter fragments (PubMed:1480034). Degrades fibronectin but not laminin or Pz-peptide. {ECO:0000250|UniProtKB:P41245, ECO:0000269|PubMed:12879005, ECO:0000269|PubMed:1480034, ECO:0000269|PubMed:2551898, ECO:0000269|PubMed:32883094}.",TISSUE SPECIFICITY: Detected in neutrophils (at protein level) (PubMed:7683678). Produced by normal alveolar macrophages and granulocytes. {ECO:0000269|PubMed:7683678}.,apoptotic process [GO:0006915]; cellular response to cadmium ion [GO:0071276]; cellular response to reactive oxygen species [GO:0034614]; cellular response to UV-A [GO:0071492]; collagen catabolic process [GO:0030574]; embryo implantation [GO:0007566]; endodermal cell differentiation [GO:0035987]; ephrin receptor signaling pathway [GO:0048013]; extracellular matrix disassembly [GO:0022617]; extracellular matrix organization [GO:0030198]; leukocyte migration [GO:0050900]; macrophage differentiation [GO:0030225]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cation channel activity [GO:2001258]; negative regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway [GO:2001268]; negative regulation of epithelial cell differentiation involved in kidney development [GO:2000697]; negative regulation of intrinsic apoptotic signaling pathway [GO:2001243]; ossification [GO:0001503]; positive regulation of apoptotic process [GO:0043065]; positive regulation of cell migration [GO:0030335]; positive regulation of DNA binding [GO:0043388]; positive regulation of epidermal growth factor receptor signaling pathway [GO:0045742]; positive regulation of keratinocyte migration [GO:0051549]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of receptor binding [GO:1900122]; positive regulation of release of cytochrome c from mitochondria [GO:0090200]; positive regulation of vascular associated smooth muscle cell proliferation [GO:1904707]; proteolysis [GO:0006508]; regulation of neuroinflammatory response [GO:0150077]; response to amyloid-beta [GO:1904645]; skeletal system development [GO:0001501],"SIGNAL 1..19; /evidence=""ECO:0000269|PubMed:1371271, ECO:0000269|PubMed:1400481, ECO:0000269|PubMed:1464361, ECO:0000269|PubMed:1653055, ECO:0000269|PubMed:2551898, ECO:0000269|PubMed:7669817""",
