Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Gene Ontology (cellular component),Subcellular location [CC],Function [CC],Mass,Tissue specificity,Gene Ontology (biological process),Signal peptide,Transit peptide
Q61592,reviewed,GAS6_MOUSE,"Growth arrest-specific protein 6, GAS-6 (AXL receptor tyrosine kinase ligand)",Gas6,Mus musculus (Mouse),674,cytoplasm [GO:0005737]; extracellular space [GO:0005615],SUBCELLULAR LOCATION: Secreted {ECO:0000250}.,"FUNCTION: Ligand for tyrosine-protein kinase receptors AXL, TYRO3 and MER whose signaling is implicated in cell growth and survival, cell adhesion and cell migration. GAS6/AXL signaling plays a role in various processes such as endothelial cell survival during acidification by preventing apoptosis, optimal cytokine signaling during human natural killer cell development, hepatic regeneration, gonadotropin-releasing hormone neuron survival and migration, platelet activation, or regulation of thrombotic responses. {ECO:0000269|PubMed:11175853}.",74610,,"activation of protein kinase B activity [GO:0032148]; animal organ regeneration [GO:0031100]; apoptotic cell clearance [GO:0043277]; apoptotic process [GO:0006915]; B cell chemotaxis [GO:0035754]; blood coagulation [GO:0007596]; calcium ion transmembrane transport [GO:0070588]; cell-substrate adhesion [GO:0031589]; cellular response to glucose stimulus [GO:0071333]; cellular response to growth factor stimulus [GO:0071363]; cellular response to interferon-alpha [GO:0035457]; cellular response to starvation [GO:0009267]; cellular response to vitamin K [GO:0071307]; cellular response to xenobiotic stimulus [GO:0071466]; dendritic cell differentiation [GO:0097028]; enzyme-linked receptor protein signaling pathway [GO:0007167]; extracellular matrix assembly [GO:0085029]; fibroblast apoptotic process [GO:0044346]; fusion of virus membrane with host plasma membrane [GO:0019064]; hematopoietic stem cell migration to bone marrow [GO:0097241]; myeloid cell apoptotic process [GO:0033028]; negative regulation of apoptotic process [GO:0043066]; negative regulation of biomineral tissue development [GO:0070168]; negative regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043154]; negative regulation of dendritic cell apoptotic process [GO:2000669]; negative regulation of DNA-binding transcription factor activity [GO:0043433]; negative regulation of endothelial cell apoptotic process [GO:2000352]; negative regulation of fibroblast apoptotic process [GO:2000270]; negative regulation of interferon-gamma production [GO:0032689]; negative regulation of interleukin-1 production [GO:0032692]; negative regulation of interleukin-6 production [GO:0032715]; negative regulation of myeloid cell apoptotic process [GO:0033033]; negative regulation of oligodendrocyte apoptotic process [GO:1900142]; negative regulation of renal albumin absorption [GO:2000533]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of tumor necrosis factor production [GO:0032720]; negative regulation of tumor necrosis factor-mediated signaling pathway [GO:0010804]; neuron migration [GO:0001764]; peptidyl-serine phosphorylation [GO:0018105]; phagocytosis [GO:0006909]; positive regulation of cytokine-mediated signaling pathway [GO:0001961]; positive regulation of dendritic cell chemotaxis [GO:2000510]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of fibroblast proliferation [GO:0048146]; positive regulation of gene expression [GO:0010628]; positive regulation of glomerular filtration [GO:0003104]; positive regulation of natural killer cell differentiation [GO:0032825]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; positive regulation of phagocytosis [GO:0050766]; positive regulation of protein export from nucleus [GO:0046827]; positive regulation of protein kinase activity [GO:0045860]; positive regulation of protein kinase B signaling [GO:0051897]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of protein tyrosine kinase activity [GO:0061098]; positive regulation of TOR signaling [GO:0032008]; protein kinase B signaling [GO:0043491]; protein localization to plasma membrane [GO:0072659]; protein phosphorylation [GO:0006468]; receptor-mediated virion attachment to host cell [GO:0046813]; regulation of growth [GO:0040008]; signal transduction [GO:0007165]; viral entry into host cell [GO:0046718]; viral genome replication [GO:0019079]","SIGNAL 1..27; /evidence=""ECO:0000255""",
Q61646,reviewed,HPT_MOUSE,Haptoglobin [Cleaved into: Haptoglobin alpha chain; Haptoglobin beta chain ],Hp,Mus musculus (Mouse),347,blood microparticle [GO:0072562]; endoplasmic reticulum [GO:0005783]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; haptoglobin-hemoglobin complex [GO:0031838]; spherical high-density lipoprotein particle [GO:0034366],SUBCELLULAR LOCATION: Secreted {ECO:0000250}.,"FUNCTION: As a result of hemolysis, hemoglobin is found to accumulate in the kidney and is secreted in the urine. Haptoglobin captures, and combines with free plasma hemoglobin to allow hepatic recycling of heme iron and to prevent kidney damage. Haptoglobin also acts as an antioxidant, has antibacterial activity and plays a role in modulating many aspects of the acute phase response. Hemoglobin/haptoglobin complexes are rapidly cleared by the macrophage CD163 scavenger receptor expressed on the surface of liver Kupfer cells through an endocytic lysosomal degradation pathway (By similarity). {ECO:0000250}.",38752,TISSUE SPECIFICITY: Expressed by the liver and secreted in plasma.,acute inflammatory response [GO:0002526]; acute-phase response [GO:0006953]; defense response to bacterium [GO:0042742]; immune system process [GO:0002376]; liver development [GO:0001889]; Notch signaling pathway [GO:0007219]; positive regulation of cell death [GO:0010942]; response to bacterium [GO:0009617]; zymogen activation [GO:0031638],"SIGNAL 1..18; /evidence=""ECO:0000255""",
Q61696,reviewed,HS71A_MOUSE,"Heat shock 70 kDa protein 1A (Heat shock 70 kDa protein 3, HSP70.3) (Hsp68)",Hspa1a Hsp70-3 Hsp70A1,Mus musculus (Mouse),641,aggresome [GO:0016235]; centriole [GO:0005814]; centrosome [GO:0005813]; COP9 signalosome [GO:0008180]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular region [GO:0005576]; inclusion body [GO:0016234]; membrane raft [GO:0045121]; mitochondrion [GO:0005739]; nuclear speck [GO:0016607]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; ribonucleoprotein complex [GO:1990904],"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:P0DMV8}. Nucleus {ECO:0000250|UniProtKB:P0DMV8}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250|UniProtKB:P0DMV8}. Secreted {ECO:0000269|PubMed:14585845}. Note=Localized in cytoplasmic mRNP granules containing untranslated mRNAs. {ECO:0000250|UniProtKB:P0DMV8}.","FUNCTION: Molecular chaperone implicated in a wide variety of cellular processes, including protection of the proteome from stress, folding and transport of newly synthesized polypeptides, activation of proteolysis of misfolded proteins and the formation and dissociation of protein complexes. Plays a pivotal role in the protein quality control system, ensuring the correct folding of proteins, the re-folding of misfolded proteins and controlling the targeting of proteins for subsequent degradation. This is achieved through cycles of ATP binding, ATP hydrolysis and ADP release, mediated by co-chaperones. The co-chaperones have been shown to not only regulate different steps of the ATPase cycle, but they also have an individual specificity such that one co-chaperone may promote folding of a substrate while another may promote degradation. The affinity for polypeptides is regulated by its nucleotide bound state. In the ATP-bound form, it has a low affinity for substrate proteins. However, upon hydrolysis of the ATP to ADP, it undergoes a conformational change that increases its affinity for substrate proteins. It goes through repeated cycles of ATP hydrolysis and nucleotide exchange, which permits cycles of substrate binding and release. The co-chaperones are of three types: J-domain co-chaperones such as HSP40s (stimulate ATPase hydrolysis by HSP70), the nucleotide exchange factors (NEF) such as BAG1/2/3 (facilitate conversion of HSP70 from the ADP-bound to the ATP-bound state thereby promoting substrate release), and the TPR domain chaperones such as HOPX and STUB1. Maintains protein homeostasis during cellular stress through two opposing mechanisms: protein refolding and degradation. Its acetylation/deacetylation state determines whether it functions in protein refolding or protein degradation by controlling the competitive binding of co-chaperones HOPX and STUB1. During the early stress response, the acetylated form binds to HOPX which assists in chaperone-mediated protein refolding, thereafter, it is deacetylated and binds to ubiquitin ligase STUB1 that promotes ubiquitin-mediated protein degradation. Regulates centrosome integrity during mitosis, and is required for the maintenance of a functional mitotic centrosome that supports the assembly of a bipolar mitotic spindle. Enhances STUB1-mediated SMAD3 ubiquitination and degradation and facilitates STUB1-mediated inhibition of TGF-beta signaling. Essential for STUB1-mediated ubiquitination and degradation of FOXP3 in regulatory T-cells (Treg) during inflammation. Negatively regulates heat shock-induced HSF1 transcriptional activity during the attenuation and recovery phase period of the heat shock response. {ECO:0000250|UniProtKB:P0DMV8}.",70079,,ATP metabolic process [GO:0046034]; cellular heat acclimation [GO:0070370]; cellular response to heat [GO:0034605]; cellular response to unfolded protein [GO:0034620]; chaperone cofactor-dependent protein refolding [GO:0051085]; DNA repair [GO:0006281]; lysosomal transport [GO:0007041]; mRNA catabolic process [GO:0006402]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell death [GO:0060548]; negative regulation of cell growth [GO:0030308]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of extrinsic apoptotic signaling pathway in absence of ligand [GO:2001240]; negative regulation of inclusion body assembly [GO:0090084]; negative regulation of protein ubiquitination [GO:0031397]; negative regulation of transcription from RNA polymerase II promoter in response to stress [GO:0097201]; positive regulation of erythrocyte differentiation [GO:0045648]; positive regulation of gene expression [GO:0010628]; positive regulation of interleukin-8 production [GO:0032757]; positive regulation of microtubule nucleation [GO:0090063]; positive regulation of neuron differentiation [GO:0045666]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway [GO:0070434]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of tumor necrosis factor-mediated signaling pathway [GO:1903265]; protein folding [GO:0006457]; protein refolding [GO:0042026]; protein stabilization [GO:0050821]; regulation of mitotic spindle assembly [GO:1901673]; regulation of protein ubiquitination [GO:0031396]; response to heat [GO:0009408]; response to unfolded protein [GO:0006986]; telomere maintenance [GO:0000723]; vesicle-mediated transport [GO:0016192],,
Q61716,reviewed,IFNAB_MOUSE,"Interferon alpha-11, IFN-alpha-11 (Limitin)",Ifna11,Mus musculus (Mouse),190,extracellular space [GO:0005615],SUBCELLULAR LOCATION: Secreted {ECO:0000250}.,"FUNCTION: Has antiviral and antiproliferative activities (PubMed:15254193). Produced by macrophages and stimulates the production of two enzymes: a protein kinase and an oligoadenylate synthetase (By similarity). During viral infection, mediates antiviral effect, either directly by inducing interferon-stimulated genes, either indirectly through stimulation of natural killer cells enabling them to control viral replication (PubMed:22912583). {ECO:0000250, ECO:0000269|PubMed:15254193, ECO:0000269|PubMed:22912583}.",21736,,adaptive immune response [GO:0002250]; B cell differentiation [GO:0030183]; B cell proliferation [GO:0042100]; cytokine-mediated signaling pathway [GO:0019221]; defense response to virus [GO:0051607]; humoral immune response [GO:0006959]; natural killer cell activation [GO:0030101]; natural killer cell activation involved in immune response [GO:0002323]; negative regulation of cell population proliferation [GO:0008285]; positive regulation of peptidyl-serine phosphorylation of STAT protein [GO:0033141]; response to exogenous dsRNA [GO:0043330]; T cell activation involved in immune response [GO:0002286],"SIGNAL 1..23; /evidence=""ECO:0000255""",
Q61730,reviewed,IL1AP_MOUSE,"Interleukin-1 receptor accessory protein, IL-1 receptor accessory protein, IL-1RAcP, EC 3.2.2.6 (Interleukin-33 receptot beta chain)",Il1rap,Mus musculus (Mouse),570,cytoplasm [GO:0005737]; extracellular region [GO:0005576]; glutamatergic synapse [GO:0098978]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991],SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted.,"FUNCTION: Coreceptor for IL1RL2 in the IL-36 signaling system. Coreceptor with IL1R1 in the IL-1 signaling system. Associates with IL1R1 bound to IL1B to form the high affinity interleukin-1 receptor complex which mediates interleukin-1-dependent activation of NF-kappa-B and other pathways. Signaling involves the recruitment of adapter molecules such as TOLLIP, MYD88, and IRAK1 or IRAK2 via the respective TIR domains of the receptor/coreceptor subunits. Recruits TOLLIP to the signaling complex. Does not bind to interleukin-1 alone; binding of IL1RN to IL1R1, prevents its association with IL1R1 to form a signaling complex. The cellular response is modulated through a non-signaling association with the membrane IL1R2 decoy receptor. Secreted forms (isoforms 2 and 3) associate with secreted ligand-bound IL1R2 and increase the affinity of secreted IL1R2 for IL1B; this complex formation may be the dominant mechanism for neutralization of IL1B by secreted/soluble receptors. Coreceptor for IL1RL1 in the IL-33 signaling system. Can bidirectionally induce pre- and postsynaptic differentiation of neurons by trans-synaptically binding to PTPRD (PubMed:25908590). May play a role in IL1B-mediated costimulation of IFNG production from T-helper 1 (Th1) cells (By similarity). {ECO:0000250|UniProtKB:Q9NPH3, ECO:0000269|PubMed:11880380, ECO:0000269|PubMed:15986350, ECO:0000269|PubMed:17675517, ECO:0000269|PubMed:18003919, ECO:0000269|PubMed:18450470, ECO:0000269|PubMed:25908590, ECO:0000303|PubMed:21965679}.; FUNCTION: [Isoform 2]: Associates with secreted ligand-bound IL1R2 and increases the affinity of secreted IL1R2 for IL1B; this complex formation may be the dominant mechanism for neutralization of IL1B by secreted/soluble receptors. Enhances the ability of secreted IL1R1 to inhibit IL-33 signaling. {ECO:0000269|PubMed:15986350, ECO:0000269|PubMed:18450470}.; FUNCTION: [Isoform 3]: Required for Src phosphorylation by IL1B. Required for IL1B-potentiated NMDA-induced calcium influx in neurons acting in cooperation with IL1R1 isoform 2 to mediate Akt kinase activation. {ECO:0000269|PubMed:22159118, ECO:0000269|PubMed:22778412}.",65741,"TISSUE SPECIFICITY: Detected in lung, brain, spleen, thymus and liver. Expressed in brain endothelial cells, astrocytes, microglia and neurons. Isoform 3 is predominantly expressed in brain; expressed in hippocampal neurons. {ECO:0000269|PubMed:19481478, ECO:0000269|PubMed:21349253, ECO:0000269|PubMed:22159118, ECO:0000269|PubMed:7775431}.",cytokine-mediated signaling pathway [GO:0019221]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; interleukin-33-mediated signaling pathway [GO:0038172]; positive regulation of interleukin-13 production [GO:0032736]; positive regulation of interleukin-4 production [GO:0032753]; positive regulation of interleukin-5 production [GO:0032754]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of synapse assembly [GO:0051965]; regulation of postsynaptic density assembly [GO:0099151]; regulation of presynapse assembly [GO:1905606]; synaptic membrane adhesion [GO:0099560]; trans-synaptic signaling by trans-synaptic complex [GO:0099545],"SIGNAL 1..20; /evidence=""ECO:0000255""",
Q61789,reviewed,LAMA3_MOUSE,Laminin subunit alpha-3 (Epiligrin subunit alpha) (Kalinin subunit alpha) (Laminin-5 subunit alpha) (Laminin-6 subunit alpha) (Laminin-7 subunit alpha) (Nicein subunit alpha),Lama3,Mus musculus (Mouse),3330,adherens junction [GO:0005912]; basement membrane [GO:0005604]; collagen-containing extracellular matrix [GO:0062023]; endoplasmic reticulum [GO:0005783]; extracellular region [GO:0005576]; hemidesmosome [GO:0030056]; laminin-3 complex [GO:0005608]; laminin-5 complex [GO:0005610],"SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix, basement membrane. Note=Major component.","FUNCTION: Binding to cells via a high affinity receptor, laminin is thought to mediate the attachment, migration and organization of cells into tissues during embryonic development by interacting with other extracellular matrix components.; FUNCTION: Laminin-5 is thought to be involved in (1) cell adhesion via integrin alpha-3/beta-1 in focal adhesion and integrin alpha-6/beta-4 in hemidesmosomes, (2) signal transduction via tyrosine phosphorylation of pp125-FAK and p80, (3) differentiation of keratinocytes. {ECO:0000250}.",366227,"TISSUE SPECIFICITY: Basal membrane of the upper alimentary tract and urinary and nasal epithelia, salivary glands and teeth (both variants). Isoform A is predominantly expressed in skin, hair follicles and developing neurons of the trigeminal ganglion. Isoform B was found in bronchi, alveoli, stomach, intestinal crypts, whisker pads, CNS, telencephalic neuroectoderm, thalamus, Rathke pouch and periventricular subependymal germinal layer.",animal organ morphogenesis [GO:0009887]; axon guidance [GO:0007411]; cell migration [GO:0016477]; cell-cell adhesion [GO:0098609]; endodermal cell differentiation [GO:0035987]; hemidesmosome assembly [GO:0031581]; integrin-mediated signaling pathway [GO:0007229]; morphogenesis of a polarized epithelium [GO:0001738]; regulation of cell adhesion [GO:0030155]; regulation of cell migration [GO:0030334]; regulation of embryonic development [GO:0045995]; tissue development [GO:0009888],"SIGNAL 1..31; /evidence=""ECO:0000269|PubMed:11829758""",
Q61790,reviewed,LAG3_MOUSE,"Lymphocyte activation gene 3 protein, LAG-3 (Activation-induced cytidine deaminase-linked autoimmunity protein, Aida) (CD antigen CD223) [Cleaved into: Secreted lymphocyte activation gene 3 protein, sLAG-3 ]",Lag3,Mus musculus (Mouse),521,external side of plasma membrane [GO:0009897]; extracellular region [GO:0005576]; integral component of membrane [GO:0016021],"SUBCELLULAR LOCATION: [Lymphocyte activation gene 3 protein]: Cell membrane {ECO:0000269|PubMed:8602528}; Single-pass type I membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: [Secreted lymphocyte activation gene 3 protein]: Secreted {ECO:0000269|PubMed:15557174, ECO:0000269|PubMed:17245433}. Note=Produced following cleavage of the main chain. {ECO:0000269|PubMed:17245433}.","FUNCTION: Lymphocyte activation gene 3 protein: Inhibitory receptor on antigen activated T-cells (PubMed:12209638, PubMed:12421911, PubMed:12672063, PubMed:15100286, PubMed:15634887, PubMed:30580966). Delivers inhibitory signals upon binding to ligands, such as FGL1 (PubMed:30580966). FGL1 constitutes a major ligand of LAG3 and is responsible for LAG3 T-cell inhibitory function (PubMed:30580966). Following TCR engagement, LAG3 associates with CD3-TCR in the immunological synapse and directly inhibits T-cell activation (PubMed:12209638, PubMed:12421911, PubMed:12672063, PubMed:15100286, PubMed:15634887). May inhibit antigen-specific T-cell activation in synergy with PDCD1/PD-1, possibly by acting as a coreceptor for PDCD1/PD-1 (PubMed:21300912). Negatively regulates the proliferation, activation, effector function and homeostasis of both CD8(+) and CD4(+) T-cells (PubMed:12209638, PubMed:12421911, PubMed:12672063, PubMed:15100286, PubMed:15634887). Also mediates immune tolerance: constitutively expressed on a subset of regulatory T-cells (Tregs) and contributes to their suppressive function (PubMed:15485628). Also acts as a negative regulator of plasmacytoid dendritic cell (pDCs) activation (PubMed:19201841). Binds MHC class II (MHC-II); the precise role of MHC-II-binding is however unclear (PubMed:12209638, PubMed:12421911, PubMed:15634887). {ECO:0000269|PubMed:12209638, ECO:0000269|PubMed:12421911, ECO:0000269|PubMed:12672063, ECO:0000269|PubMed:15100286, ECO:0000269|PubMed:15485628, ECO:0000269|PubMed:15634887, ECO:0000269|PubMed:19201841, ECO:0000269|PubMed:21300912, ECO:0000269|PubMed:30580966}.; FUNCTION: [Secreted lymphocyte activation gene 3 protein]: May function as a ligand for MHC class II (MHC-II) on antigen-presenting cells (APC), promoting APC activation/maturation and driving Th1 immune response. {ECO:0000269|PubMed:11937541}.",56978,"TISSUE SPECIFICITY: Primarily expressed in activated CD4(+) and CD8(+) T-cells (PubMed:12209638). Also expressed in a subset of regulatory T-cells (Tregs), such as natural CD4(+)CD25(+) Tregs (PubMed:15485628). Also expressed on plasmacytoid dendritic cells (pDCs) (PubMed:19201841). {ECO:0000269|PubMed:12209638, ECO:0000269|PubMed:15485628, ECO:0000269|PubMed:19201841}.",adaptive immune response [GO:0002250]; cell surface receptor signaling pathway [GO:0007166]; natural killer cell mediated cytotoxicity [GO:0042267]; negative regulation of interleukin-2 production [GO:0032703]; negative regulation of regulatory T cell differentiation [GO:0045590]; negative regulation of T cell activation [GO:0050868]; plasmacytoid dendritic cell activation [GO:0002270]; positive regulation of natural killer cell mediated cytotoxicity [GO:0045954]; regulation of immune response [GO:0050776]; T cell activation [GO:0042110],"SIGNAL 1..23; /evidence=""ECO:0000255""",
Q61805,reviewed,LBP_MOUSE,"Lipopolysaccharide-binding protein, LBP",Lbp,Mus musculus (Mouse),481,cell surface [GO:0009986]; extracellular space [GO:0005615]; membrane [GO:0016020],SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:P18428}. Cytoplasmic granule membrane {ECO:0000250|UniProtKB:P17213}. Note=Membrane-associated in polymorphonuclear Leukocytes (PMN) granules. {ECO:0000250|UniProtKB:P17213}.,"FUNCTION: Plays a role in the innate immune response. Binds to the lipid A moiety of bacterial lipopolysaccharides (LPS), a glycolipid present in the outer membrane of all Gram-negative bacteria (PubMed:9144073). Acts as an affinity enhancer for CD14, facilitating its association with LPS (By similarity). Promotes the release of cytokines in response to bacterial lipopolysaccharide (PubMed:24380872). {ECO:0000250|UniProtKB:P18428, ECO:0000269|PubMed:24380872, ECO:0000269|PubMed:9144073}.",53055,,"acute-phase response [GO:0006953]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to lipoteichoic acid [GO:0071223]; defense response to Gram-negative bacterium [GO:0050829]; defense response to Gram-positive bacterium [GO:0050830]; detection of molecule of bacterial origin [GO:0032490]; innate immune response [GO:0045087]; leukocyte chemotaxis involved in inflammatory response [GO:0002232]; lipopolysaccharide transport [GO:0015920]; lipopolysaccharide-mediated signaling pathway [GO:0031663]; macromolecule localization [GO:0033036]; macrophage activation involved in immune response [GO:0002281]; negative regulation of tumor necrosis factor production [GO:0032720]; neutrophil chemotaxis [GO:0030593]; opsonization [GO:0008228]; positive regulation of chemokine production [GO:0032722]; positive regulation of cytolysis [GO:0045919]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of interleukin-8 production [GO:0032757]; positive regulation of macrophage activation [GO:0043032]; positive regulation of neutrophil chemotaxis [GO:0090023]; positive regulation of phagocytosis, engulfment [GO:0060100]; positive regulation of respiratory burst involved in inflammatory response [GO:0060265]; positive regulation of toll-like receptor 4 signaling pathway [GO:0034145]; positive regulation of tumor necrosis factor production [GO:0032760]; regulation of membrane permeability [GO:0090559]; response to lipopolysaccharide [GO:0032496]","SIGNAL 1..24; /evidence=""ECO:0000255""",
Q61810,reviewed,LTBP3_MOUSE,"Latent-transforming growth factor beta-binding protein 3, LTBP-3",Ltbp3,Mus musculus (Mouse),1253,collagen-containing extracellular matrix [GO:0062023]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576],"SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:Q9NS15}. Secreted, extracellular space, extracellular matrix {ECO:0000250|UniProtKB:Q9NS15}. Note=Secretion occurs after coexpression with TGFB1 and requires complexing with 'Cys-33' of the TGFB1 propeptide. {ECO:0000250|UniProtKB:Q9NS15}.","FUNCTION: Key regulator of transforming growth factor beta (TGFB1, TGFB2 and TGFB3) that controls TGF-beta activation by maintaining it in a latent state during storage in extracellular space. Associates specifically via disulfide bonds with the Latency-associated peptide (LAP), which is the regulatory chain of TGF-beta, and regulates integrin-dependent activation of TGF-beta. {ECO:0000303|PubMed:10743502, ECO:0000303|PubMed:11104663}.",134363,,bone mineralization [GO:0030282]; bone morphogenesis [GO:0060349]; bone remodeling [GO:0046849]; chondrocyte differentiation [GO:0002062]; elastic fiber assembly [GO:0048251]; lung saccule development [GO:0060430]; negative regulation of bone mineralization [GO:0030502]; negative regulation of chondrocyte differentiation [GO:0032331]; positive regulation of bone resorption [GO:0045780]; positive regulation of mesenchymal stem cell differentiation [GO:2000741]; positive regulation of mesenchymal stem cell proliferation [GO:1902462]; skeletal system development [GO:0001501]; transforming growth factor beta activation [GO:0036363]; transforming growth factor beta receptor signaling pathway [GO:0007179],"SIGNAL 1..38; /evidence=""ECO:0000255""",
Q61838,reviewed,PZP_MOUSE,"Pregnancy zone protein (Alpha-2-macroglobulin, Alpha-2-M) [Cleaved into: Alpha-2-macroglobulin 165 kDa subunit; Alpha-2-macroglobulin 35 kDa subunit ]",Pzp A2m,Mus musculus (Mouse),1495,collagen-containing extracellular matrix [GO:0062023]; extracellular region [GO:0005576]; extracellular space [GO:0005615],SUBCELLULAR LOCATION: Secreted.,"FUNCTION: Is able to inhibit all four classes of proteinases by a unique 'trapping' mechanism. This protein has a peptide stretch, called the 'bait region' which contains specific cleavage sites for different proteinases. When a proteinase cleaves the bait region, a conformational change is induced in the protein which traps the proteinase. The entrapped enzyme remains active against low molecular weight substrates (activity against high molecular weight substrates is greatly reduced). Following cleavage in the bait region, a thioester bond is hydrolyzed and mediates the covalent binding of the protein to the proteinase.",165853,"TISSUE SPECIFICITY: Highest expression in liver, medium expression in ovary, heart and stomach. Low expression in lung, kidney and uterus. Protein found in plasma. {ECO:0000269|PubMed:15355875}.",embryo implantation [GO:0007566],"SIGNAL 1..24; /evidence=""ECO:0000255""",
Q61839,reviewed,ANFC_MOUSE,C-type natriuretic peptide [Cleaved into: CNP-22; CNP-29; CNP-53 ],Nppc Cnp,Mus musculus (Mouse),126,extracellular region [GO:0005576]; extracellular space [GO:0005615]; protein-containing complex [GO:0032991]; secretory granule [GO:0030141],SUBCELLULAR LOCATION: Secreted.,"FUNCTION: [CNP-22]: Hormone which plays a role in endochondral ossification through regulation of cartilaginous growth plate chondrocytes proliferation and differentiation (PubMed:11259675). May also be vasoactive and natriuretic (By similarity). Acts by specifically binding and stimulating NPR2 to produce cGMP (PubMed:12890708). Binds the clearance receptor NPR3 (By similarity). {ECO:0000250|UniProtKB:P23582, ECO:0000269|PubMed:11259675, ECO:0000269|PubMed:12890708}.",13320,,animal organ development [GO:0048513]; cGMP biosynthetic process [GO:0006182]; cGMP-mediated signaling [GO:0019934]; growth plate cartilage chondrocyte differentiation [GO:0003418]; growth plate cartilage chondrocyte proliferation [GO:0003419]; meiotic cell cycle [GO:0051321]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of collagen biosynthetic process [GO:0032966]; negative regulation of DNA biosynthetic process [GO:2000279]; negative regulation of meiotic cell cycle [GO:0051447]; negative regulation of oocyte maturation [GO:1900194]; ossification [GO:0001503]; positive regulation of cGMP-mediated signaling [GO:0010753]; positive regulation of mast cell degranulation [GO:0043306]; positive regulation of osteoblast differentiation [GO:0045669]; positive regulation of uterine smooth muscle relaxation [GO:1900721]; post-embryonic development [GO:0009791]; protein folding [GO:0006457]; receptor guanylyl cyclase signaling pathway [GO:0007168]; regulation of multicellular organism growth [GO:0040014]; regulation of smooth muscle cell proliferation [GO:0048660]; reproductive process [GO:0022414]; response to ethanol [GO:0045471]; response to hypoxia [GO:0001666]; response to xenobiotic stimulus [GO:0009410],"SIGNAL 1..23; /evidence=""ECO:0000255""",
Q61847,reviewed,MEP1B_MOUSE,"Meprin A subunit beta, EC 3.4.24.63 (Endopeptidase-2) (Meprin B)",Mep1b Mep-1b,Mus musculus (Mouse),704,extracellular region [GO:0005576]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; meprin A complex [GO:0017090],SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q16820}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q16820}. Secreted {ECO:0000250|UniProtKB:Q16820}. Note=Homodimers are essentially membrane bound but may also be shed from the surface by ADAM-10 and ADAM-17. {ECO:0000250|UniProtKB:Q16820}.,"FUNCTION: Membrane metallopeptidase that sheds many membrane-bound proteins. Exhibits a strong preference for acidic amino acids at the P1' position (PubMed:11278902). Known substrates include: FGF19, VGFA, IL1B, IL18, procollagen I and III, E-cadherin, KLK7, gastrin, ADAM10, tenascin-C. The presence of several pro-inflammatory cytokine among substrates implicate MEP1B in inflammation. It is also involved in tissue remodeling due to its capability to degrade extracellular matrix components (By similarity). {ECO:0000250|UniProtKB:Q16820, ECO:0000269|PubMed:11278902}.",79501,"TISSUE SPECIFICITY: Isoform 1 is expressed in kidney, intestinal brush borders, and salivary ducts. Isoform 2 has been found in carcinoma cells.",inflammatory response [GO:0006954]; proteolysis [GO:0006508]; toxin transport [GO:1901998],"SIGNAL 1..20; /evidence=""ECO:0000255""",
