Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Gene Ontology (cellular component),Subcellular location [CC],Mass,Function [CC],Tissue specificity,Gene Ontology (biological process),Gene Ontology (molecular function),Signal peptide,Transit peptide
Q8CIB5,reviewed,FERM2_MOUSE,Fermitin family homolog 2 (Kindlin-2) (Pleckstrin homology domain-containing family C member 1),Fermt2 Plekhc1,Mus musculus (Mouse),680,adherens junction [GO:0005912]; cell cortex [GO:0005938]; cell junction [GO:0030054]; cell surface [GO:0009986]; cell-substrate junction [GO:0030055]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extrinsic component of cytoplasmic side of plasma membrane [GO:0031234]; focal adhesion [GO:0005925]; I band [GO:0031674]; lamellipodium membrane [GO:0031258]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; stress fiber [GO:0001725],"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Cytoplasm, cell cortex {ECO:0000250}. Cytoplasm, cytoskeleton {ECO:0000250}. Cytoplasm, cytoskeleton, stress fiber {ECO:0000250}. Cell junction, focal adhesion {ECO:0000250}. Membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}. Cell projection, lamellipodium membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}. Nucleus {ECO:0000250}. Cytoplasm, myofibril, sarcomere, I band. Cell surface. Note=Colocalizes with actin stress fibers at cell-ECM focal adhesion sites. Colocalizes with ITGB3 at lamellipodia at the leading edge of spreading cells. Binds to membranes that contain phosphatidylinositides (By similarity). {ECO:0000250}.",77800,"FUNCTION: Scaffolding protein that enhances integrin activation mediated by TLN1 and/or TLN2, but activates integrins only weakly by itself. Binds to membranes enriched in phosphoinositides. Enhances integrin-mediated cell adhesion onto the extracellular matrix and cell spreading; this requires both its ability to interact with integrins and with phospholipid membranes. Required for the assembly of focal adhesions. Participates in the connection between extracellular matrix adhesion sites and the actin cytoskeleton and also in the orchestration of actin assembly and cell shape modulation. Recruits FBLIM1 to focal adhesions. Plays a role in the TGFB1 and integrin signaling pathways. Stabilizes active CTNNB1 and plays a role in the regulation of transcription mediated by CTNNB1 and TCF7L2/TCF4 and in Wnt signaling. {ECO:0000269|PubMed:18174465, ECO:0000269|PubMed:18483218, ECO:0000269|PubMed:21378273}.","TISSUE SPECIFICITY: Detected in adult heart muscle (at protein level). Detected in heart, skeletal muscle and testis. {ECO:0000269|PubMed:18174465}.","adherens junction maintenance [GO:0034334]; cell adhesion [GO:0007155]; cell-matrix adhesion [GO:0007160]; focal adhesion assembly [GO:0048041]; integrin activation [GO:0033622]; integrin-mediated signaling pathway [GO:0007229]; limb development [GO:0060173]; negative regulation of cell death [GO:0060548]; negative regulation of fat cell differentiation [GO:0045599]; negative regulation of vascular permeability [GO:0043116]; positive regulation of cell migration [GO:0030335]; positive regulation of epithelial to mesenchymal transition [GO:0010718]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of focal adhesion assembly [GO:0051894]; positive regulation of GTPase activity [GO:0043547]; positive regulation of integrin activation [GO:0033625]; positive regulation of mesenchymal stem cell proliferation [GO:1902462]; positive regulation of myosin light chain kinase activity [GO:0035505]; positive regulation of osteoblast differentiation [GO:0045669]; positive regulation of protein kinase B signaling [GO:0051897]; positive regulation of protein localization to nucleus [GO:1900182]; positive regulation of stress fiber assembly [GO:0051496]; positive regulation of substrate adhesion-dependent cell spreading [GO:1900026]; positive regulation of wound healing, spreading of epidermal cells [GO:1903691]; protein localization to cell junction [GO:1902414]; protein localization to membrane [GO:0072657]; regulation of cell morphogenesis [GO:0022604]; regulation of cell shape [GO:0008360]; substrate adhesion-dependent cell spreading [GO:0034446]; transforming growth factor beta receptor signaling pathway [GO:0007179]; Wnt signaling pathway [GO:0016055]","actin binding [GO:0003779]; actin filament binding [GO:0051015]; integrin binding [GO:0005178]; phosphatidylinositol-3,4,5-trisphosphate binding [GO:0005547]; protein kinase binding [GO:0019901]; SMAD binding [GO:0046332]; type I transforming growth factor beta receptor binding [GO:0034713]",,
Q8CIP4,reviewed,MARK4_MOUSE,"MAP/microtubule affinity-regulating kinase 4, EC 2.7.11.1",Mark4 Kiaa1860,Mus musculus (Mouse),752,centrosome [GO:0005813]; ciliary basal body [GO:0036064]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendrite [GO:0030425]; gamma-tubulin complex [GO:0000930]; microtubule cytoskeleton [GO:0015630]; microtubule organizing center [GO:0005815]; midbody [GO:0030496]; neuron projection [GO:0043005],"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250|UniProtKB:Q96L34}. Cytoplasm, cytoskeleton, microtubule organizing center {ECO:0000250|UniProtKB:Q96L34}. Cytoplasm, cytoskeleton, cilium axoneme {ECO:0000250|UniProtKB:Q96L34}. Cytoplasm, cytoskeleton, cilium basal body {ECO:0000250|UniProtKB:Q96L34}. Cytoplasm {ECO:0000250|UniProtKB:Q96L34}. Cell projection, dendrite {ECO:0000250|UniProtKB:Q96L34}. Note=Localized at the tips of neurite-like processes in differentiated neuroblast cells. Detected in the cytoplasm and neuropil of the hippocampus. {ECO:0000250|UniProtKB:Q96L34}.",82644,"FUNCTION: Serine/threonine-protein kinase (By similarity). Phosphorylates the microtubule-associated protein MAPT/TAU (By similarity). Also phosphorylates the microtubule-associated proteins MAP2 and MAP4 (By similarity). Involved in regulation of the microtubule network, causing reorganization of microtubules into bundles (By similarity). Required for the initiation of axoneme extension during cilium assembly (By similarity). Regulates the centrosomal location of ODF2 and phosphorylates ODF2 in vitro (By similarity). Plays a role in cell cycle progression, specifically in the G1/S checkpoint (By similarity). Reduces neuronal cell survival (By similarity). Plays a role in energy homeostasis by regulating satiety and metabolic rate (PubMed:22992738). Promotes adipogenesis by activating JNK1 and inhibiting the p38MAPK pathway, and triggers apoptosis by activating the JNK1 pathway (PubMed:24989893). Phosphorylates mTORC1 complex member RPTOR and acts as a negative regulator of the mTORC1 complex, probably due to disruption of the interaction between phosphorylated RPTOR and the RRAGA/RRAGC heterodimer which is required for mTORC1 activation (By similarity). {ECO:0000250|UniProtKB:Q96L34, ECO:0000269|PubMed:22992738, ECO:0000269|PubMed:24989893}.","TISSUE SPECIFICITY: Isoform 1 and isoform 2 show similar expression patterns in the central nervous system and are present in the same subsets of neurons including pyramidal and non-pyramidal neurons in the cerebral cortex and hippocampus, cerebellar Purkinje cells, and interneurons and motor neurons in the spinal cord but not in glial cells (at protein level) (PubMed:16973293). Isoform 2 is the major isoform in brain and cerebellum (PubMed:16973293, PubMed:15009667). Also expressed in spleen, liver, small intestine, colon, kidney, tongue, testis and lung (PubMed:16973293, PubMed:15009667). Isoform 1 and isoform 2 are expressed at similar levels in heart (PubMed:16973293). {ECO:0000269|PubMed:15009667, ECO:0000269|PubMed:16973293}.",cell cycle [GO:0007049]; cell division [GO:0051301]; cilium organization [GO:0044782]; intracellular signal transduction [GO:0035556]; microtubule bundle formation [GO:0001578]; microtubule cytoskeleton organization [GO:0000226]; nervous system development [GO:0007399]; positive regulation of cell cycle [GO:0045787]; positive regulation of cilium assembly [GO:0045724]; positive regulation of protein localization to centrosome [GO:1904781]; protein phosphorylation [GO:0006468]; regulation of centrosome cycle [GO:0046605],ATP binding [GO:0005524]; gamma-tubulin binding [GO:0043015]; microtubule binding [GO:0008017]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; tau-protein kinase activity [GO:0050321],,
Q8CIV8,reviewed,TBCE_MOUSE,Tubulin-specific chaperone E (Tubulin-folding cofactor E),Tbce,Mus musculus (Mouse),524,cytoplasm [GO:0005737]; cytoskeleton [GO:0005856],"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Cytoplasm, cytoskeleton {ECO:0000250}.",59086,"FUNCTION: Tubulin-folding protein; involved in the second step of the tubulin folding pathway and in the regulation of tubulin heterodimer dissociation (PubMed:12389029, PubMed:17184771). Required for correct organization of microtubule cytoskeleton and mitotic splindle, and maintenance of the neuronal microtubule network (By similarity). {ECO:0000250|UniProtKB:Q15813, ECO:0000269|PubMed:12389029, ECO:0000269|PubMed:17184771}.",TISSUE SPECIFICITY: Ubiquitously expressed. {ECO:0000269|PubMed:12389029}.,adult locomotory behavior [GO:0008344]; axonogenesis [GO:0007409]; developmental growth [GO:0048589]; microtubule cytoskeleton organization [GO:0000226]; mitotic spindle organization [GO:0007052]; muscle atrophy [GO:0014889]; peripheral nervous system neuron axonogenesis [GO:0048936]; post-chaperonin tubulin folding pathway [GO:0007023]; post-embryonic development [GO:0009791]; protein folding [GO:0006457]; tubulin complex assembly [GO:0007021],alpha-tubulin binding [GO:0043014]; unfolded protein binding [GO:0051082],,
Q8CJ19,reviewed,MICA3_MOUSE,"[F-actin]-monooxygenase MICAL3, EC 1.14.13.225 (Molecule interacting with CasL protein 3, MICAL-3)",Mical3 Kiaa0819 Kiaa1364,Mus musculus (Mouse),1993,cell cortex [GO:0005938]; cell projection [GO:0042995]; cytosol [GO:0005829]; Flemming body [GO:0090543]; intercellular bridge [GO:0045171]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; spindle [GO:0005819],"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q7RTP6}. Cytoplasm, cell cortex {ECO:0000250|UniProtKB:Q7RTP6}. Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q7RTP6}. Nucleus {ECO:0000250|UniProtKB:Q7RTP6}. Midbody {ECO:0000250|UniProtKB:Q7RTP6}. Cytoplasm, cytoskeleton, spindle {ECO:0000250|UniProtKB:Q7RTP6}. Cytoplasm, cytoskeleton, cilium basal body {ECO:0000250|UniProtKB:Q7RTP6}. Note=Mainly localizes in the nucleus. {ECO:0000250|UniProtKB:Q7RTP6}.",223721,"FUNCTION: Monooxygenase that promotes depolymerization of F-actin by mediating oxidation of specific methionine residues on actin to form methionine-sulfoxide, resulting in actin filament disassembly and preventing repolymerization. In the absence of actin, it also functions as a NADPH oxidase producing H(2)O(2). Seems to act as Rab effector protein and play a role in vesicle trafficking. Involved in exocytic vesicles tethering and fusion: the monooxygenase activity is required for this process and implicates RAB8A associated with exocytotic vesicles. Required for cytokinesis. Contributes to stabilization and/or maturation of the intercellular bridge independently of its monooxygenase activity. Promotes recruitment of Rab8 and ERC1 to the intercellular bridge, and together these proteins are proposed to function in timely abscission. {ECO:0000250|UniProtKB:Q7RTP6}.",,actin filament depolymerization [GO:0030042]; cell cycle [GO:0007049]; cell division [GO:0051301]; cytoskeleton organization [GO:0007010]; exocytosis [GO:0006887],"actin binding [GO:0003779]; actin filament binding [GO:0051015]; FAD binding [GO:0071949]; metal ion binding [GO:0046872]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; small GTPase binding [GO:0031267]",,
Q8CJ27,reviewed,ASPM_MOUSE,"Abnormal spindle-like microcephaly-associated protein homolog (Calmodulin-binding protein Sha1, Calmodulin-binding protein 1) (Spindle and hydroxyurea checkpoint abnormal protein)",Aspm Calmbp1 Sha1,Mus musculus (Mouse),3122,apical plasma membrane [GO:0016324]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; meiotic spindle [GO:0072687]; microtubule [GO:0005874]; microtubule minus-end [GO:0036449]; midbody [GO:0030496]; mitotic spindle pole [GO:0097431]; nucleus [GO:0005634]; spindle pole [GO:0000922],"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:9819352}. Cytoplasm, cytoskeleton, spindle {ECO:0000269|PubMed:28436967}. Nucleus {ECO:0000269|PubMed:9819352}. Note=Localizes to spindle poles during mitosis. Associates with microtubule minus ends (PubMed:28436967). The nuclear-cytoplasmic distribution could be regulated by the availability of calmodulin. {ECO:0000269|PubMed:28436967}.",364218,"FUNCTION: Involved in mitotic spindle regulation and coordination of mitotic processes. The function in regulating microtubule dynamics at spindle poles including spindle orientation, astral microtubule density and poleward microtubule flux seem to depend on its association with the katanin complex formed by KATNA1 and KATNB1. Enhances the microtubule lattice severing activity of KATNA1 by recruiting the katanin complex to microtubules. Can block microtubule minus-end growth and reversely this function can be enhanced by the katanin complex (PubMed:28436967). May have a preferential role in regulating neurogenesis. {ECO:0000269|PubMed:12355089, ECO:0000269|PubMed:28436967, ECO:0000269|PubMed:9819352}.","TISSUE SPECIFICITY: Expressed in fetal brain, peripheral nervous system, liver and spleen. In the adult, expressed exclusively in testis, ovary and spleen. {ECO:0000269|PubMed:12351193, ECO:0000269|PubMed:12355089}.",asymmetric cell division [GO:0008356]; brain development [GO:0007420]; cerebral cortex development [GO:0021987]; developmental growth [GO:0048589]; forebrain neuroblast division [GO:0021873]; maintenance of centrosome location [GO:0051661]; male gonad development [GO:0008584]; meiotic spindle assembly [GO:0090306]; negative regulation of asymmetric cell division [GO:0045769]; negative regulation of neuron differentiation [GO:0045665]; neuroblast proliferation [GO:0007405]; neuron migration [GO:0001764]; neuronal stem cell population maintenance [GO:0097150]; oogenesis [GO:0048477]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of neuroblast proliferation [GO:0002052]; regulation of meiotic cell cycle [GO:0051445]; spermatogenesis [GO:0007283]; spindle localization [GO:0051653]; spindle organization [GO:0007051],calmodulin binding [GO:0005516],,
Q8CJ40,reviewed,CROCC_MOUSE,Rootletin (Ciliary rootlet coiled-coil protein),Crocc Kiaa0445,Mus musculus (Mouse),2009,9+2 motile cilium [GO:0097729]; actin cytoskeleton [GO:0015629]; centriole [GO:0005814]; centrosome [GO:0005813]; ciliary rootlet [GO:0035253]; cytosol [GO:0005829]; photoreceptor inner segment [GO:0001917]; plasma membrane [GO:0005886]; subapical part of cell [GO:0120219],"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole {ECO:0000269|PubMed:12427867, ECO:0000269|PubMed:16339073}. Cytoplasm, cytoskeleton, cilium basal body {ECO:0000250|UniProtKB:Q5TZA2}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250|UniProtKB:Q5TZA2}. Note=In ciliated cells, associated with ciliary rootlets. In non-ciliated cells, localized between, around and at the proximal ends of the centrioles. Dissociates from the centrioles at the onset of mitosis and reassociates with them at anaphase. {ECO:0000269|PubMed:12427867, ECO:0000269|PubMed:16339073}.",226945,"FUNCTION: Major structural component of the ciliary rootlet, a cytoskeletal-like structure in ciliated cells which originates from the basal body at the proximal end of a cilium and extends proximally toward the cell nucleus (PubMed:12427867). Furthermore, is required for the correct positioning of the cilium basal body relative to the cell nucleus, to allow for ciliogenesis (By similarity). Contributes to centrosome cohesion before mitosis (By similarity). {ECO:0000250|UniProtKB:Q5TZA2, ECO:0000269|PubMed:12427867}.","TISSUE SPECIFICITY: Highest expression detected in photoreceptor cells of retina. Expressed at lower levels in brain, trachea and kidney. Detected in all major ciliated epithelia. During embryonic development, enriched along the apical domains of neuroepithelium in brain ventricular zone, in primordia of retinal pigment epithelia and in neural retina. {ECO:0000269|PubMed:12427867}.",cellular homeostasis [GO:0019725]; centriole-centriole cohesion [GO:0010457]; centrosome cycle [GO:0007098]; ciliary basal body organization [GO:0032053]; epithelial structure maintenance [GO:0010669]; establishment of localization in cell [GO:0051649]; establishment of organelle localization [GO:0051656]; photoreceptor cell maintenance [GO:0045494]; positive regulation of cilium assembly [GO:0045724]; positive regulation of protein localization to cilium [GO:1903566]; protein localization [GO:0008104]; protein localization to organelle [GO:0033365],actin binding [GO:0003779]; kinesin binding [GO:0019894]; structural constituent of cytoskeleton [GO:0005200]; structural molecule activity [GO:0005198],,
Q8CJ53,reviewed,CIP4_MOUSE,"Cdc42-interacting protein 4 (Thyroid receptor-interacting protein 10, TR-interacting protein 10, TRIP-10)",Trip10 Cip4,Mus musculus (Mouse),603,cell cortex [GO:0005938]; cell projection [GO:0042995]; Golgi apparatus [GO:0005794]; intracellular membrane-bounded organelle [GO:0043231]; lysosome [GO:0005764]; microtubule [GO:0005874]; nucleoplasm [GO:0005654]; phagocytic cup [GO:0001891],"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton. Cytoplasm, cell cortex. Lysosome. Golgi apparatus {ECO:0000250}. Cell membrane. Cell projection, phagocytic cup {ECO:0000250}. Note=Localizes to cortical regions coincident with F-actin, to lysosomes and to sites of phagocytosis in macrophages. Also localizes to the Golgi, and this requires AKAP9 (By similarity). Translocates to the plasma membrane in response to insulin stimulation, and this may require active RHOQ. {ECO:0000250}.",68489,"FUNCTION: Required to coordinate membrane tubulation with reorganization of the actin cytoskeleton during endocytosis. Binds to lipids such as phosphatidylinositol 4,5-bisphosphate and phosphatidylserine and promotes membrane invagination and the formation of tubules. Also promotes CDC42-induced actin polymerization by recruiting WASL/N-WASP which in turn activates the Arp2/3 complex. Actin polymerization may promote the fission of membrane tubules to form endocytic vesicles. Required for the formation of podosomes, actin-rich adhesion structures specific to monocyte-derived cells. May be required for the lysosomal retention of FASLG/FASL (By similarity). Required for translocation of GLUT4 to the plasma membrane in response to insulin signaling. {ECO:0000250, ECO:0000269|PubMed:12242347, ECO:0000269|PubMed:16418535}.",,actin cytoskeleton organization [GO:0030036]; endocytosis [GO:0006897]; epithelial to mesenchymal transition [GO:0001837]; hyperosmotic salinity response [GO:0042538]; negative regulation of cardiac muscle cell apoptotic process [GO:0010667]; positive regulation of cell growth involved in cardiac muscle cell development [GO:0061051]; signal transduction [GO:0007165],identical protein binding [GO:0042802]; lipid binding [GO:0008289],,
Q8JZP3,reviewed,KLHL2_MOUSE,Kelch-like protein 2,Klhl2,Mus musculus (Mouse),593,actin cytoskeleton [GO:0015629]; Cul3-RING ubiquitin ligase complex [GO:0031463]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; lamellipodium [GO:0030027]; ruffle [GO:0001726]; stress fiber [GO:0001725],"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:21549840}. Cell projection, ruffle {ECO:0000269|PubMed:21549840}. Cell projection {ECO:0000250}. Cell projection, lamellipodium {ECO:0000250}. Cytoplasm, cytosol {ECO:0000269|PubMed:21549840}. Note=A proportion colocalizes with the actin cytoskeleton (By similarity). When over-expressed, colocalizes with NPTXR in perinuclear aggresomes. {ECO:0000250}.",65983,"FUNCTION: Promotes growth of cell projections in oligodendrocyte precursors. Responsible for degradative ubiquitination of the WNK kinases WNK1, WNK3 and WNK4 (By similarity). Component of a cullin-RING-based BCR (BTB-CUL3-RBX1) E3 ubiquitin-protein ligase complex that mediates the ubiquitination of target proteins, such as NPTXR, leading most often to their proteasomal degradation. Plays a role in the reorganization of the actin cytoskeleton. {ECO:0000250, ECO:0000269|PubMed:21549840}.",,protein ubiquitination [GO:0016567],actin binding [GO:0003779]; identical protein binding [GO:0042802]; protein homodimerization activity [GO:0042803],,
Q8JZP9,reviewed,GA2L1_MOUSE,GAS2-like protein 1 (Growth arrest-specific protein 2-like 1),Gas2l1,Mus musculus (Mouse),678,actin filament [GO:0005884]; cytoplasm [GO:0005737]; microtubule [GO:0005874]; microtubule plus-end [GO:0035371]; stress fiber [GO:0001725],"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q99501}. Cytoplasm, cytoskeleton, stress fiber {ECO:0000250|UniProtKB:Q99501}. Note=Colocalizes with the tips of microtubule plus ends. {ECO:0000250|UniProtKB:Q99501}.",72411,"FUNCTION: Seems to be involved in the cross-linking of microtubules and microfilaments (By similarity). Regulates microtubule dynamics and stability by interacting with microtubule plus-end tracking proteins, such as MAPRE1, to regulate microtubule growth along actin stress fibers (By similarity). {ECO:0000250|UniProtKB:Q99501}.",,actin crosslink formation [GO:0051764]; cellular response to starvation [GO:0009267]; cellular response to thyroid hormone stimulus [GO:0097067]; microtubule bundle formation [GO:0001578]; negative regulation of cell growth [GO:0030308]; negative regulation of erythrocyte differentiation [GO:0045647]; negative regulation of gene expression [GO:0010629]; negative regulation of microtubule depolymerization [GO:0007026]; protein localization to microtubule plus-end [GO:1904825]; regulation of cell cycle [GO:0051726]; regulation of microtubule polymerization or depolymerization [GO:0031110],actin filament binding [GO:0051015]; cytoskeletal anchor activity [GO:0008093]; microtubule binding [GO:0008017]; nuclear thyroid hormone receptor binding [GO:0046966],,
Q8JZX3,reviewed,POC1A_MOUSE,POC1 centriolar protein homolog A (WD repeat-containing protein 51A),Poc1a Wdr51a,Mus musculus (Mouse),405,centriole [GO:0005814]; centrosome [GO:0005813]; ciliary basal body [GO:0036064]; cytoplasm [GO:0005737]; spindle pole [GO:0000922],"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole {ECO:0000250}. Cytoplasm, cytoskeleton, cilium basal body {ECO:0000250}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000250}. Note=Component of both mother and daughter centrioles. {ECO:0000250}.",45125,"FUNCTION: Plays an important role in centriole assembly and/or stability and ciliogenesis. Involved in early steps of centriole duplication, as well as in the later steps of centriole length control. Acts in concert with POC1B to ensure centriole integrity and proper mitotic spindle formation (By similarity). {ECO:0000250}.",TISSUE SPECIFICITY: Widely expressed in embryonic and adult tissues. {ECO:0000269|PubMed:22840364}.,bone development [GO:0060348]; cilium assembly [GO:0060271]; growth plate cartilage chondrocyte development [GO:0003431]; mitotic spindle organization [GO:0007052]; non-motile cilium assembly [GO:1905515]; positive regulation of centrosome duplication [GO:0010825]; spermatogenesis [GO:0007283],,,
Q8JZX9,reviewed,BORG1_MOUSE,Cdc42 effector protein 2 (Binder of Rho GTPases 1),Cdc42ep2 Borg1 Cep2,Mus musculus (Mouse),214,cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; endomembrane system [GO:0012505]; membrane [GO:0016020]; microtubule cytoskeleton [GO:0015630]; phagocytic vesicle [GO:0045335]; plasma membrane [GO:0005886],"SUBCELLULAR LOCATION: Endomembrane system {ECO:0000250}; Peripheral membrane protein {ECO:0000250}. Cytoplasm, cytoskeleton {ECO:0000250}.",22997,FUNCTION: Probably involved in the organization of the actin cytoskeleton. May act downstream of CDC42 to induce actin filament assembly leading to cell shape changes. Induces pseudopodia formation in fibroblasts in a CDC42-dependent manner (By similarity). {ECO:0000250}.,,actin cytoskeleton organization [GO:0030036]; cellular response to interferon-gamma [GO:0071346]; positive regulation of actin filament polymerization [GO:0030838]; positive regulation of pseudopodium assembly [GO:0031274]; regulation of cell shape [GO:0008360]; Rho protein signal transduction [GO:0007266],GTPase activator activity [GO:0005096]; opioid peptide activity [GO:0001515]; small GTPase binding [GO:0031267],,
Q8K012,reviewed,FBP1L_MOUSE,"Formin-binding protein 1-like (Transducer of Cdc42-dependent actin assembly protein 1, Toca-1)",Fnbp1l Toca1,Mus musculus (Mouse),605,cell cortex [GO:0005938]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; plasma membrane [GO:0005886],"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Cytoplasm, cytoskeleton {ECO:0000250}. Cytoplasm, cell cortex {ECO:0000250}. Cytoplasmic vesicle {ECO:0000250}. Cell membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}.",69885,"FUNCTION: Required to coordinate membrane tubulation with reorganization of the actin cytoskeleton during endocytosis. May bind to lipids such as phosphatidylinositol 4,5-bisphosphate and phosphatidylserine and promote membrane invagination and the formation of tubules. Also promotes CDC42-induced actin polymerization by activating the WASL-WASPIP complex, the predominant form of WASL/N-WASP in cells. Actin polymerization may promote the fission of membrane tubules to form endocytic vesicles. Essential for autophagy of intracellular bacterial pathogens (By similarity). {ECO:0000250}.",,autophagy [GO:0006914]; cilium assembly [GO:0060271]; clathrin-dependent endocytosis [GO:0072583]; membrane invagination [GO:0010324]; plasma membrane tubulation [GO:0097320]; positive regulation of filopodium assembly [GO:0051491]; signal transduction [GO:0007165]; vesicle budding from membrane [GO:0006900]; vesicle organization [GO:0016050]; vesicle transport along actin filament [GO:0030050],GTPase binding [GO:0051020]; lipid binding [GO:0008289],,
Q8K057,reviewed,IFT80_MOUSE,Intraflagellar transport protein 80 homolog (WD repeat-containing protein 56),Ift80 Kiaa1374 Wdr56,Mus musculus (Mouse),777,9+0 non-motile cilium [GO:0097731]; centrosome [GO:0005813]; ciliary basal body [GO:0036064]; cilium [GO:0005929]; cytoplasm [GO:0005737]; intraciliary transport particle B [GO:0030992],"SUBCELLULAR LOCATION: Cytoplasm. Cytoplasm, cytoskeleton, cilium basal body. Cytoplasm, cytoskeleton, cilium axoneme. Note=Basal body and ciliary axoneme in the chondrocytic ATDC-5 cell line.",87811,"FUNCTION: Component of the intraflagellar transport (IFT) complex B, which is essential for the development and maintenance of motile and sensory cilia. {ECO:0000250}.",,articular cartilage development [GO:0061975]; bone mineralization involved in bone maturation [GO:0035630]; bone morphogenesis [GO:0060349]; chondrocyte differentiation [GO:0002062]; cilium assembly [GO:0060271]; endochondral ossification [GO:0001958]; growth plate cartilage chondrocyte differentiation [GO:0003418]; growth plate cartilage development [GO:0003417]; intraciliary anterograde transport [GO:0035720]; intraciliary transport [GO:0042073]; keratinocyte proliferation [GO:0043616]; limb development [GO:0060173]; negative regulation of keratinocyte proliferation [GO:0010839]; negative regulation of non-canonical Wnt signaling pathway [GO:2000051]; non-canonical Wnt signaling pathway [GO:0035567]; non-motile cilium assembly [GO:1905515]; osteoblast differentiation [GO:0001649]; osteoblast proliferation [GO:0033687]; receptor localization to non-motile cilium [GO:0097500]; skeletal system development [GO:0001501]; smoothened signaling pathway [GO:0007224],,,
