User Input	Mapped Gene Symbol	Num of Expt. (found/total)	Ave SC	Max SC
Q6UXU6	TMEM92	 / 716	0	
P54868	HMGCS2	14 / 716	1.1	2
Q96ID5	IGSF21	 / 716	0	
O75534	CSDE1	191 / 716	10.1	39
Q86V88	MDP1	 / 716	0	
Q8WWF1	C1ORF54	 / 716	0	
Q16696	CYP2A13	4 / 716	1	1
O15066	KIF3B	1 / 716	1	1
Q9P015	MRPL15	56 / 716	2	8
Q96P15	SERPINB11	 / 716	0	
Q659A1	ICE2	49 / 716	1.7	6
P32004	L1CAM	 / 716	0	
P29692	EEF1D	353 / 716	6.4	42
Q9UBX1	CTSF	 / 716	0	
Q8WWQ0	PHIP	56 / 716	8.2	37
P99999	CYCS	68 / 716	3.3	9
Q13422	IKZF1	2 / 716	2	3
Q6PIF2	SYCE2	 / 716	0	
Q6NSJ2	PHLDB3	1 / 716	1	1
Q16836	HADH	69 / 716	3.3	19
Q9BYQ4	KRTAP9-2	3 / 716	2	3
Q99653	CHP1	17 / 716	1.1	2
Q9BQ70	TCF25	1 / 716	1	1
Q9UD57	NKX1-2	 / 716	0	
Q5JS37	NHLRC3	 / 716	0	
P04264	KRT1	671 / 716	58.6	1141
Q9NZV6	MSRB1	 / 716	0	
Q9BV73	CEP250	6 / 716	4.3	10
Q9HAW7	UGT1A7	 / 716	0	
Q92796	DLG3	1 / 716	1	1
Q96GM5	SMARCD1	60 / 716	2.3	8
O60293	ZFC3H1	52 / 716	1.9	9
Q13572	ITPK1	3 / 716	1	1
Q9ULU8	CADPS	4 / 716	1	1
P0DTE4	Invalid identifier / gene not available			
Q6IAA8	LAMTOR1	16 / 716	1.9	8
P17027	ZNF23	2 / 716	1.5	2
A0A494C071	Invalid identifier / gene not available			
A0FGR9	ESYT3	 / 716	0	
P80108	GPLD1	 / 716	0	
Q96EK9	KTI12	 / 716	0	
Q9UIQ6	LNPEP	4 / 716	1	1
O15230	LAMA5	11 / 716	1.5	5
Q86YJ7	ANKRD13B	 / 716	0	
Q8TAE7	KCNG3	2 / 716	1	1
A6NFC5	TMEM235	 / 716	0	
P21359	NF1	41 / 716	1.5	4
Q8N0Z3	SPICE1	4 / 716	1	1
O95936	EOMES	 / 716	0	
P0C5Y9	H2AFB1	 / 716	0	
Q8TD35	LKAAEAR1	 / 716	0	
Q9H9B4	SFXN1	140 / 716	4.4	29
Q8NET8	TRPV3	 / 716	0	
A0A0A0MT36	IGKV6D-21	 / 716	0	
O15228	GNPAT	14 / 716	1.4	3
Q9UBI9	HECA	 / 716	0	
A8MQ27	NEURL1B	1 / 716	1	1
Q9Y279	VSIG4	 / 716	0	
Q63HK3	ZKSCAN2	3 / 716	1.3	2
Q6ICL7	SLC35E4	 / 716	0	
Q13117	DAZ2	 / 716	0	
A5PLL7	TMEM189	1 / 716	1	1
Q8N565	MREG	 / 716	0	
P08253	MMP2	18 / 716	2.1	6
Q14183	DOC2A	 / 716	0	
P56385	ATP5I	50 / 716	1.7	4
O95754	SEMA4F	 / 716	0	
P30414	NKTR	11 / 716	9.3	19
Q96H55	MYO19	10 / 716	1.6	5
Q9H4F1	ST6GALNAC4	 / 716	0	
Q99848	EBNA1BP2	137 / 716	4.7	33
Q8IZL2	MAML2	 / 716	0	
A0A1W2PPM1	CPHXL	 / 716	0	
P49792	RANBP2	268 / 716	47.7	389
Q14050	COL9A3	 / 716	0	
Q9BY10	SLC46A2	1 / 716	1	1
Q9NWT6	HIF1AN	5 / 716	1	1
Q5VTT5	MYOM3	5 / 716	1	1
Q32NB8	PGS1	 / 716	0	
A8MVW0	FAM171A2	 / 716	0	
Q00973	B4GALNT1	 / 716	0	
A6NLI5	TRIM64C	 / 716	0	
Q9ULK4	MED23	9 / 716	1.7	7
Q96MF7	NSMCE2	2 / 716	1	1
Q8WWU7	ITLN2	 / 716	0	
Q92804	TAF15	383 / 716	6.1	41
P14410	SI	3 / 716	1.7	2
P41968	MC3R	 / 716	0	
Q8WVN8	UBE2Q2	1 / 716	1	1
O14904	WNT9A	 / 716	0	
Q8NFG4	FLCN	 / 716	0	
Q99543	DNAJC2	29 / 716	1.3	3
Q6B0B8	TIGD3	 / 716	0	
A6BM72	MEGF11	1 / 716	1	1
Q9GZZ9	UBA5	4 / 716	1.8	3
Q8TDW7	FAT3	 / 716	0	
Q6NV75	GPR153	1 / 716	1	1
Q8N5I9	C12ORF45	72 / 716	3.3	12
Q00056	HOXA4	 / 716	0	
P68431	HIST1H3H	388 / 716	5.3	44
Q6IEE8	SLFN12L	 / 716	0	
Q641Q3	METRNL	 / 716	0	
Q6VAB6	KSR2	 / 716	0	
P16284	PECAM1	 / 716	0	
P31260	HOXA10	12 / 716	1.3	3
P50995	ANXA11	55 / 716	4	32
Q9NV70	EXOC1	13 / 716	1.4	5
Q9Y5K5	UCHL5	59 / 716	2.4	8
Q8TDD1	DDX54	148 / 716	3.1	15
P61981	YWHAG	332 / 716	4.7	54
Q9H501	ESF1	101 / 716	11	71
P48066	SLC6A11	 / 716	0	
A0A1B0GVZ6	LOC729458	 / 716	0	
Q96FA3	PELI1	 / 716	0	
P32249	GPR183	 / 716	0	
O60494	CUBN	 / 716	0	
Q16363	LAMA4	 / 716	0	
Q9BSH3	NICN1	 / 716	0	
P20023	CR2	 / 716	0	
Q8N1H7	SIX6OS1	 / 716	0	
P09629	HOXB7	3 / 716	1	1
O00458	IFRD1	5 / 716	1	1
Q8N6Q8	METTL25	 / 716	0	
A3KMH1	VWA8	8 / 716	1.1	2
P43403	ZAP70	 / 716	0	
Q9UNW9	NOVA2	 / 716	0	
P40337	VHL	1 / 716	2	2
Q4LDE5	SVEP1	 / 716	0	
Q6PJG2	ELMSAN1	43 / 716	2.1	10
Q0IIM8	TBC1D8B	25 / 716	1.1	2
O76061	STC2	 / 716	0	
Q5QGT7	RTP2	 / 716	0	
Q9H175	CSRNP2	 / 716	0	
Q96D59	RNF183	 / 716	0	
O94808	GFPT2	16 / 716	1.3	4
A8K4G0	CD300LB	 / 716	0	
P32780	GTF2H1	8 / 716	1.5	3
Q9UBC7	GALP	 / 716	0	
O14734	ACOT8	19 / 716	1.2	2
O14813	PHOX2A	 / 716	0	
Q9BXU1	STK31	1 / 716	1	1
Q13627	DYRK1A	 / 716	0	
Q5BVD1	TTMP	 / 716	0	
Q9H2B4	SLC26A1	1 / 716	1	1
P27169	PON1	10 / 716	1.4	3
P35998	PSMC2	313 / 716	5.1	36
Q96PV7	FAM193B	3 / 716	1	1
O96011	PEX11B	 / 716	0	
O14613	CDC42EP2	 / 716	0	
P30626	SRI	70 / 716	2.2	7
Q99595	TIMM17A	1 / 716	1	1
Q99958	FOXC2	4 / 716	2.8	4
Q14995	NR1D2	 / 716	0	
Q16891	IMMT	93 / 716	3.5	69
O75122	CLASP2	98 / 716	2.9	36
Q96BS2	TESC	 / 716	0	
P36952	SERPINB5	3 / 716	1.3	2
P0CJ78	ZNF865	 / 716	0	
P54762	EPHB1	21 / 716	1	1
O75879	GATB	2 / 716	1.5	2
Q9NNZ3	DNAJC4	 / 716	0	
O43752	STX6	4 / 716	1	1
D6RBM5	USP17L23	 / 716	0	
O75506	HSBP1	18 / 716	1.2	3
Q9Y6C2	EMILIN1	10 / 716	7	33
Q9HCQ5	GALNT9	 / 716	0	
P0CG04	IGLC1	18 / 716	3.8	16
O43451	MGAM	2 / 716	8	9
P0DN84	P0DN84	 / 716	0	
P04180	LCAT	 / 716	0	
Q9H981	ACTR8	 / 716	0	
Q9C0H9	SRCIN1	 / 716	0	
Q9ULD9	ZNF608	8 / 716	1	1
Q92574	TSC1	30 / 716	1.8	4
Q9BUN1	MENT	 / 716	0	
P07864	LDHC	99 / 716	1.3	10
P58400	NRXN1	 / 716	0	
Q9P2R3	ANKFY1	83 / 716	5	48
Q9BUF5	TUBB6	617 / 716	15.3	94
O00425	IGF2BP3	288 / 716	5.2	34
O43915	VEGFD	 / 716	0	
Q6Y2X3	DNAJC14	 / 716	0	
Q96AX9	MIB2	1 / 716	1	1
Q9BUL9	RPP25	1 / 716	1	1
Q96B77	TMEM186	 / 716	0	
P21815	IBSP	 / 716	0	
Q6ZS11	RINL	2 / 716	1	1
P05023	ATP1A1	335 / 716	7.3	88
Q9HD67	MYO10	3 / 716	1	1
O60422	ONECUT3	 / 716	0	
Q9NU22	MDN1	85 / 716	2.4	8
Q86WW8	COA5	 / 716	0	
Q7Z2H8	SLC36A1	 / 716	0	
Q9BTK6	PAGR1	 / 716	0	
Q9UBV8	PEF1	126 / 716	3.5	13
Q9UHE5	NAT8	 / 716	0	
A6NKP2	SDR42E2	 / 716	0	
P41146	OPRL1	 / 716	0	
Q00597	FANCC	 / 716	0	
P39877	PLA2G5	 / 716	0	
Q86VZ6	JAZF1	 / 716	0	
A6NKQ9	CGB1	 / 716	0	
Q96DM3	C18ORF8	 / 716	0	
Q9P0B6	CCDC167	1 / 716	1	1
Q8IWT1	SCN4B	 / 716	0	
Q68DV7	RNF43	 / 716	0	
Q9HBD1	RC3H2	27 / 716	1.7	4
O43763	TLX2	 / 716	0	
A6NFE2	SMCO2	1 / 716	1	1
O75019	LILRA1	 / 716	0	
O00442	RTCA	31 / 716	1.8	5
Q15011	HERPUD1	 / 716	0	
Q9NRX4	PHPT1	15 / 716	1.7	4
Q92731	ESR2	1 / 716	1	1
Q13952	NFYC	3 / 716	1	1
B4DZS4	TCP11X1	 / 716	0	
Q86VL8	SLC47A2	 / 716	0	
Q5T447	HECTD3	3 / 716	1	1
Q8NFU1	BEST2	 / 716	0	
Q15723	ELF2	58 / 716	2	14
Q16653	MOG	 / 716	0	
O75153	CLUH	54 / 716	2.4	13
Q96EU7	C1GALT1C1	 / 716	0	
Q99489	DDO	2 / 716	1	1
Q8WTW3	COG1	13 / 716	1.4	5
Q52LW3	ARHGAP29	8 / 716	1.4	2
Q9Y2Y6	TMEM98	 / 716	0	
Q496Y0	LONRF3	 / 716	0	
Q7Z5L7	PODN	 / 716	0	
Q9NPY3	CD93	 / 716	0	
Q7L5Y6	DET1	 / 716	0	
P24593	IGFBP5	1 / 716	4	4
P0C7V9	METTL15P1	 / 716	0	
Q5SVQ8	ZBTB41	5 / 716	1	1
Q13158	FADD	2 / 716	11.5	22
Q9UM13	ANAPC10	2 / 716	1	1
P55774	CCL18	 / 716	0	
P31937	HIBADH	33 / 716	2	7
Q6WRX3	ZYG11A	1 / 716	1	1
Q6ZMT9	DTHD1	2 / 716	1	1
P41225	SOX3	 / 716	0	
O15432	SLC31A2	 / 716	0	
O95218	ZRANB2	168 / 716	3.1	17
P82930	MRPS34	58 / 716	1.9	6
Q8WVX9	FAR1	26 / 716	1.3	4
P68871	HBB	113 / 716	1.9	12
P30040	ERP29	85 / 716	2.3	8
Q9H1K6	MESDC1	 / 716	0	
Q05469	LIPE	 / 716	0	
Q9BU20	RSG1	 / 716	0	
Q8NEF9	SRFBP1	34 / 716	2.3	10
A6NJ46	NKX6-3	 / 716	0	
P29350	PTPN6	2 / 716	2	3
Q86VZ5	SGMS1	 / 716	0	
O75845	SC5D	 / 716	0	
O60701	UGDH	19 / 716	2.4	14
P43080	GUCA1A	 / 716	0	
Q8WUU5	GATAD1	1 / 716	2	2
Q969H4	CNKSR1	 / 716	0	
O43157	PLXNB1	2 / 716	1	1
P56705	WNT4	1 / 716	1	1
Q24JP5	TMEM132A	 / 716	0	
Q15569	TESK1	 / 716	0	
P28072	PSMB6	189 / 716	3.3	16
Q9Y561	LRP12	 / 716	0	
P0C881	RSPH10B	 / 716	0	
Q96C90	PPP1R14B	13 / 716	1	1
Q9H892	TTC12	1 / 716	1	1
P22415	USF1	5 / 716	2	5
P54840	GYS2	17 / 716	1.5	2
Q7KZF4	SND1	265 / 716	8.4	58
Q2NL67	PARP6	 / 716	0	
Q9Y6J8	STYXL1	 / 716	0	
Q7RTU5	ASCL5	 / 716	0	
Q96NA2	RILP	 / 716	0	
O00571	DDX3X	498 / 716	15.5	89
P23467	PTPRB	1 / 716	1	1
Q9Y5P3	RAI2	 / 716	0	
Q9H270	VPS11	1 / 716	1	1
Q8TF05	PPP4R1	8 / 716	1	1
Q9BRV8	SIKE1	 / 716	0	
Q86X76	NIT1	4 / 716	1.3	2
Q14524	SCN5A	 / 716	0	
P60409	KRTAP10-7	 / 716	0	
Q15019	SEPT2	218 / 716	3.5	14
Q0VAF6	SYCN	 / 716	0	
Q9Y5Y5	PEX16	 / 716	0	
Q3ZCQ8	TIMM50	354 / 716	5.2	43
P78539	SRPX	 / 716	0	
Q5TF21	SOGA3	 / 716	0	
Q8WWY3	PRPF31	251 / 716	7.6	122
Q8IVS2	MCAT	2 / 716	1	1
O95178	NDUFB2	 / 716	0	
Q96ES6	MFSD3	 / 716	0	
O95816	BAG2	247 / 716	2.9	20
O43916	CHST1	 / 716	0	
Q9H3Q3	GAL3ST2	3 / 716	2.3	5
Q6UY18	LINGO4	 / 716	0	
A0A0B4J235	TRAV13-2	 / 716	0	
Q8TAE6	PPP1R14C	5 / 716	1.2	2
Q9UPX8	SHANK2	1 / 716	1	1
Q9NUX5	POT1	6 / 716	1.3	3
Q8N4V2	SVOP	 / 716	0	
O75387	SLC43A1	 / 716	0	
P51878	CASP5	 / 716	0	
Q8NB14	USP38	 / 716	0	
Q96LB3	IFT74	26 / 716	1.8	6
Q9Y2Z4	YARS2	65 / 716	2.9	12
Q9H3U1	UNC45A	136 / 716	6.3	47
Q05084	ICA1	 / 716	0	
Q99217	AMELX	 / 716	0	
Q9BV44	THUMPD3	12 / 716	1.1	2
Q15834	CCDC85B	 / 716	0	
Q9UIL1	SCOC	23 / 716	1.1	2
Q5SRR4	LY6G5C	 / 716	0	
P16581	SELE	 / 716	0	
O75081	CBFA2T3	 / 716	0	
Q8NFM7	IL17RD	 / 716	0	
Q9NUB4	C20ORF141	 / 716	0	
P05783	KRT18	471 / 716	10.3	311
O60443	DFNA5	11 / 716	3.7	11
Q14627	IL13RA2	 / 716	0	
P50851	LRBA	90 / 716	14.5	40
Q9NZA1	CLIC5	2 / 716	1	1
P82921	MRPS21	52 / 716	1.3	3
P54578	USP14	144 / 716	3.4	14
Q9UGM3	DMBT1	9 / 716	1.7	3
Q9Y2T3	GDA	2 / 716	3.5	5
Q9Y6T7	DGKB	 / 716	0	
P62491	RAB11A	125 / 716	5.5	40
A1A5C7	SLC22A23	 / 716	0	
Q9UBF6	RNF7	1 / 716	1	1
Q6P582	MZT2A	14 / 716	1	1
Q6ZUT9	DENND5B	2 / 716	1	1
Q6V702	C4ORF22	 / 716	0	
Q6ZUT1	C11ORF57	53 / 716	3.6	12
Q9NQT5	EXOSC3	137 / 716	1.8	9
Q8NEL0	CCDC54	 / 716	0	
Q9UI32	GLS2	11 / 716	1	1
Q7Z745	MROH2B	1 / 716	1	1
P29762	CRABP1	2 / 716	1	1
Q9GZV7	HAPLN2	4 / 716	1	1
Q9NUL3	STAU2	121 / 716	2.8	10
P25686	DNAJB2	47 / 716	1.2	5
Q53TQ3	INO80D	1 / 716	1	1
Q9H1A4	ANAPC1	86 / 716	2.6	11
Q9BW61	DDA1	4 / 716	1.5	3
Q9UBW7	ZMYM2	87 / 716	7.9	31
P0C0E4	RAB40AL	 / 716	0	
Q99550	MPHOSPH9	9 / 716	1.3	3
Q9P0W0	IFNK	 / 716	0	
Q13239	SLA	 / 716	0	
Q86UZ6	ZBTB46	 / 716	0	
O95155	UBE4B	2 / 716	1	1
O94906	PRPF6	180 / 716	5.3	31
P56134	ATP5J2	126 / 716	1.7	8
Q5SZK8	FREM2	 / 716	0	
Q8NE18	NSUN7	 / 716	0	
Q96J86	CYYR1	 / 716	0	
P0DMS9	TMIGD3	 / 716	0	
Q5SSJ5	HP1BP3	214 / 716	8.1	100
Q5JSP0	FGD3	 / 716	0	
Q9NR23	GDF3	 / 716	0	
Q9UBR2	CTSZ	13 / 716	1.4	3
Q9H4K7	MTG2	2 / 716	1	1
Q7Z4L0	COX8C	 / 716	0	
P53680	AP2S1	10 / 716	1	1
Q9BWD1	ACAT2	76 / 716	4.1	27
Q9GZQ4	NMUR2	 / 716	0	
Q15269	PWP2	50 / 716	3.4	18
Q96NX5	CAMK1G	 / 716	0	
Q5VST9	OBSCN	1 / 716	1	1
P39656	DDOST	148 / 716	3.1	18
Q14140	SERTAD2	 / 716	0	
Q11206	ST3GAL4	 / 716	0	
P18124	RPL7	335 / 716	8.2	60
Q96CK0	ZNF653	 / 716	0	
Q5TA50	CPTP	 / 716	0	
P55291	CDH15	 / 716	0	
Q96MT1	RNF145	 / 716	0	
Q8NDA2	HMCN2	2 / 716	1	1
Q9Y623	MYH4	21 / 716	2.5	28
Q99666	RGPD6	177 / 716	13.7	86
Q9ULW0	TPX2	152 / 716	19	108
Q7Z304	MAMDC2	1 / 716	1	1
P10153	RNASE2	 / 716	0	
Q9BYG5	PARD6B	 / 716	0	
Q96S53	TESK2	 / 716	0	
Q92954	PRG4	 / 716	0	
Q7Z5A7	FAM19A5	1 / 716	1	1
Q96NY7	CLIC6	2 / 716	1	1
Q4G0N7	FAM229B	 / 716	0	
Q4KMG0	CDON	 / 716	0	
Q8N201	INTS1	28 / 716	2.5	9
Q9UBS9	SUCO	 / 716	0	
Q9Y4Y9	LSM5	50 / 716	1.8	7
Q86XD8	ZFAND4	1 / 716	1	1
P19526	FUT1	 / 716	0	
Q8TEV9	SMCR8	14 / 716	1.1	2
P37231	PPARG	 / 716	0	
Q13608	PEX6	 / 716	0	
Q5T4F4	ZFYVE27	 / 716	0	
Q9UQC9	CLCA2	 / 716	0	
P57086	SCAND1	5 / 716	1	1
Q8IVV7	GID4	 / 716	0	
Q9UJT2	TSKS	 / 716	0	
Q5JQC9	AKAP4	 / 716	0	
P46019	PHKA2	7 / 716	1.3	3
O95453	PARN	30 / 716	1.8	8
Q86YD7	FAM90A1	1 / 716	2	2
Q96K12	FAR2	 / 716	0	
O15503	INSIG1	 / 716	0	
Q9P2D8	UNC79	 / 716	0	
P61163	ACTR1A	208 / 716	4.6	23
Q6NUN9	ZNF746	1 / 716	1	1
Q9C0I1	MTMR12	 / 716	0	
Q86UV5	USP48	57 / 716	1.9	15
P62508	ESRRG	 / 716	0	
Q15506	SPA17	1 / 716	1	1
Q5VWP3	MLIP	 / 716	0	
Q9UI09	NDUFA12	6 / 716	1	1
Q15070	OXA1L	10 / 716	1	1
Q9UK45	LSM7	46 / 716	1.4	3
P26583	HMGB2	161 / 716	4.9	24
Q15911	ZFHX3	26 / 716	2.3	14
P62745	RHOB	46 / 716	1.5	4
Q9UBX0	HESX1	 / 716	0	
A0A0A0MS03	TRBV5-3	 / 716	0	
Q86WC4	OSTM1	 / 716	0	
Q86VQ6	TXNRD3	1 / 716	1	1
Q99972	MYOC	 / 716	0	
Q8IWW8	ADHFE1	 / 716	0	
Q8WVD3	RNF138	2 / 716	1	1
Q9NYV8	TAS2R14	 / 716	0	
Q12789	GTF3C1	134 / 716	6.7	49
P07996	THBS1	14 / 716	6.1	17
P51649	ALDH5A1	32 / 716	2.3	8
Q15389	ANGPT1	 / 716	0	
Q14168	MPP2	14 / 716	2.2	4
Q6KC79	NIPBL	97 / 716	6.8	60
A0A0A6YYJ7	TRAV8-3	 / 716	0	
O60909	B4GALT2	 / 716	0	
P25092	GUCY2C	1 / 716	1	1
Q8NHZ8	CDC26	5 / 716	1	1
P22676	CALB2	 / 716	0	
Q6UWJ1	TMCO3	 / 716	0	
P02745	C1QA	 / 716	0	
Q8NEQ5	C1ORF162	 / 716	0	
Q6UW02	CYP20A1	 / 716	0	
Q9UKW6	ELF5	 / 716	0	
Q9H1V8	SLC6A17	 / 716	0	
P51793	CLCN4	 / 716	0	
O00230	CORT	1 / 716	1	1
A6NIH7	UNC119B	4 / 716	1	1
P50748	KNTC1	48 / 716	2.6	8
Q8N7C7	RNF148	 / 716	0	
B9A064	IGLL5	20 / 716	3.6	16
Q96DB2	HDAC11	2 / 716	1	1
Q9UFW8	CGGBP1	16 / 716	1.4	3
Q96A25	TMEM106A	 / 716	0	
O95926	SYF2	43 / 716	2.2	8
Q5TIE3	VWA5B1	 / 716	0	
Q9Y6R6	ZNF780B	8 / 716	1.1	2
Q2VYF4	LETM2	 / 716	0	
Q504Y3	ZCWPW2	 / 716	0	
Q14112	NID2	3 / 716	1	1
P05543	SERPINA7	 / 716	0	
Q9Y2A7	NCKAP1	94 / 716	7.4	128
Q8N5W9	RFLNB	90 / 716	3.2	13
Q9Y3C0	WASHC3	 / 716	0	
O15143	ARPC1B	44 / 716	3.2	12
Q08499	PDE4D	18 / 716	3.6	22
P34932	HSPA4	304 / 716	11.1	60
Q9BXD5	NPL	 / 716	0	
Q13224	GRIN2B	 / 716	0	
P28799	GRN	16 / 716	4.6	30
Q96H22	CENPN	1 / 716	1	1
Q9GZM3	POLR2J2	7 / 716	2.1	3
Q6ICG6	KIAA0930	 / 716	0	
P23760	PAX3	1 / 716	1	1
Q6VY07	PACS1	2 / 716	1	1
Q8TEA8	DTD1	25 / 716	1	1
Q9Y546	LRRC42	2 / 716	1	1
Q7RTW8	OTOA	2 / 716	1	1
Q9BXN1	ASPN	 / 716	0	
Q5JU00	TCTE1	 / 716	0	
Q9P2A4	ABI3	 / 716	0	
Q9Y2B1	TMEM5	 / 716	0	
Q92608	DOCK2	2 / 716	7.5	9
O60749	SNX2	141 / 716	2.8	8
Q5JY77	GPRASP1	2 / 716	1	1
Q8IXQ6	PARP9	1 / 716	1	1
Q5TGL8	PXDC1	 / 716	0	
O15431	SLC31A1	 / 716	0	
O60502	MGEA5	88 / 716	3	8
P14920	DAO	 / 716	0	
Q9Y696	CLIC4	46 / 716	3.2	11
P17028	ZNF24	22 / 716	1.6	5
Q7Z2Y8	GVINP1	 / 716	0	
Q13588	GRAP	 / 716	0	
P56277	CMC4	 / 716	0	
O75923	DYSF	12 / 716	1.7	3
P35030	PRSS3	91 / 716	2.7	38
Q9H0R4	HDHD2	3 / 716	1	1
Q8NCI6	GLB1L3	1 / 716	1	1
Q7L5Y9	MAEA	9 / 716	1.3	2
Q12974	PTP4A2	1 / 716	1	1
Q96QG7	MTMR9	7 / 716	1.3	3
Q3MIX3	ADCK5	 / 716	0	
Q9Y6J9	TAF6L	32 / 716	2.2	9
P23560	BDNF	 / 716	0	
P01568	IFNA21	1 / 716	2	2
Q63HR2	TNS2	7 / 716	1.3	3
Q9UJW8	ZNF180	1 / 716	1	1
Q15147	PLCB4	1 / 716	2	2
P09467	FBP1	1 / 716	1	1
O60907	TBL1X	9 / 716	1.1	2
P08319	ADH4	 / 716	0	
P43631	KIR2DS2	 / 716	0	
Q9H3Y8	PPDPF	1 / 716	1	1
Q9H4B0	OSGEPL1	 / 716	0	
O00219	HAS3	 / 716	0	
Q9NRQ2	PLSCR4	 / 716	0	
P42338	PIK3CB	 / 716	0	
O94874	UFL1	53 / 716	1.8	6
Q00688	FKBP3	127 / 716	2.8	14
Q9Y247	FAM50B	52 / 716	1.7	7
Q9NUE0	ZDHHC18	 / 716	0	
Q96A22	C11ORF52	1 / 716	1	1
P46439	GSTM5	15 / 716	1.3	4
Q9Y478	PRKAB1	13 / 716	1	1
Q96BD0	SLCO4A1	 / 716	0	
O43772	SLC25A20	1 / 716	1	1
P13473	LAMP2	25 / 716	1.4	3
O43692	PI15	 / 716	0	
Q9BSJ2	TUBGCP2	41 / 716	1.9	8
Q8WWG9	KCNE4	 / 716	0	
Q92620	DHX38	110 / 716	3.9	30
Q16394	EXT1	 / 716	0	
P35212	GJA4	 / 716	0	
P07358	C8B	18 / 716	2.1	10
O00767	SCD	14 / 716	1.1	2
O94826	TOMM70	22 / 716	1.5	5
Q9BZ76	CNTNAP3	 / 716	0	
O76080	ZFAND5	3 / 716	1	1
P39748	FEN1	232 / 716	3.9	44
Q9Y548	YIPF1	 / 716	0	
Q8NI77	KIF18A	24 / 716	1.5	4
Q70UQ0	IKBIP	14 / 716	1.6	4
Q14534	SQLE	 / 716	0	
Q9Y231	FUT9	 / 716	0	
Q86YW0	PLCZ1	 / 716	0	
Q14118	DAG1	1 / 716	1	1
P41002	CCNF	 / 716	0	
Q13823	GNL2	138 / 716	16.3	98
Q6NW34	NEPRO	20 / 716	1.3	3
O00231	PSMD11	204 / 716	6	35
P16871	IL7R	 / 716	0	
Q00604	NDP	 / 716	0	
Q8WWK9	CKAP2	120 / 716	1.8	7
Q9NXH3	PPP1R14D	 / 716	0	
Q96Q06	PLIN4	 / 716	0	
Q9NPZ5	B3GAT2	 / 716	0	
Q8IXQ9	ETFBKMT	 / 716	0	
Q9NVE7	PANK4	18 / 716	1	1
P0DTU4	Invalid identifier / gene not available			
Q12766	HMGXB3	 / 716	0	
O76090	BEST1	 / 716	0	
P00740	F9	 / 716	0	
Q9BQE5	APOL2	8 / 716	2.3	5
Q5T9G4	ARMC12	 / 716	0	
A6NMD0	IFITM10	 / 716	0	
O43414	ERI3	3 / 716	1	1
Q56UQ5	Q56UQ5	33 / 716	1.7	4
Q9NUY8	TBC1D23	 / 716	0	
P25311	AZGP1	58 / 716	2.8	14
Q5I0X7	TTC32	 / 716	0	
Q3B7J2	GFOD2	 / 716	0	
Q5JTZ5	C9ORF152	 / 716	0	
Q9H2X0	CHRD	1 / 716	1	1
O76041	NEBL	27 / 716	1.3	3
P50607	TUB	 / 716	0	
P04211	IGLV7-43	 / 716	0	
Q9NPD5	SLCO1B3	 / 716	0	
Q9BV38	WDR18	161 / 716	3	22
Q5GAN4	RNASE12	 / 716	0	
P33993	MCM7	328 / 716	8.3	58
Q7Z408	CSMD2	2 / 716	1	1
P15173	MYOG	 / 716	0	
Q8N0S6	CENPL	 / 716	0	
O15552	FFAR2	 / 716	0	
A0A075B6I9	IGLV7-46	 / 716	0	
P04083	ANXA1	68 / 716	5.2	27
P35613	BSG	108 / 716	4.1	30
Q93063	EXT2	 / 716	0	
Q5H9S7	DCAF17	 / 716	0	
Q9H2Z4	NKX2-4	8 / 716	1.1	2
Q6UXB2	CXCL17	 / 716	0	
O75781	PALM	11 / 716	2.3	6
A0A1W2PR48	A0A1W2PR48	 / 716	0	
P62942	FKBP1A	56 / 716	2.1	5
Q8NDX6	ZNF740	8 / 716	1	1
O14594	NCAN	 / 716	0	
Q96NL8	C8ORF37	 / 716	0	
Q5SQI0	ATAT1	 / 716	0	
P43007	SLC1A4	 / 716	0	
P55317	FOXA1	 / 716	0	
Q6UWY0	ARSK	 / 716	0	
Q8WV44	TRIM41	3 / 716	1.7	3
Q96BU1	S100PBP	 / 716	0	
P11086	PNMT	1 / 716	1	1
Q96EB6	SIRT1	6 / 716	1.3	3
Q02221	COX6A2	 / 716	0	
O14717	TRDMT1	 / 716	0	
Q99463	NPY6R	 / 716	0	
Q9ULI1	NWD2	 / 716	0	
P78385	KRT83	132 / 716	5.5	154
P28067	HLA-DMA	 / 716	0	
P18440	NAT1	 / 716	0	
Q9UP83	COG5	6 / 716	1.2	2
Q969I6	SLC38A4	11 / 716	2.3	7
Q9HBA0	TRPV4	1 / 716	1	1
Q9NP87	POLM	 / 716	0	
Q9H4M9	EHD1	5 / 716	2	6
Q9BT17	MTG1	 / 716	0	
Q6NXP2	FAM71F2	 / 716	0	
Q96QD8	SLC38A2	34 / 716	1.6	7
Q14738	PPP2R5D	63 / 716	2.1	5
Q9UID6	ZNF639	2 / 716	2	2
Q08AF3	SLFN5	1 / 716	1	1
P05062	ALDOB	30 / 716	1.3	2
O15397	IPO8	95 / 716	13.6	347
P31269	HOXA9	4 / 716	1	1
Q8NHP6	MOSPD2	1 / 716	1	1
P0DMN0	SULT1A4	66 / 716	1.8	5
Q1AE95	TMEM183B	 / 716	0	
Q86VP3	PACS2	 / 716	0	
P01130	LDLR	7 / 716	15.7	50
Q8TEH3	DENND1A	3 / 716	1	1
