,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Gene Ontology (cellular component),Subcellular location [CC],Mass,Function [CC],Tissue specificity,Gene Ontology (biological process),Gene Ontology (molecular function),Signal peptide,Transit peptide,DNA binding,Gene Ontology (GO),Protein families,Zinc finger,Gene Ontology IDs,alternative uniprot ID,Gene ontology (GO)
3177,D3Z6A3,unreviewed,D3Z6A3_MOUSE,Isthmin 2,Ism2,Mus musculus (Mouse),493,,,,,,,,,,,,,,,,
3231,Q5SZV5,reviewed,K0319_MOUSE,Dyslexia-associated protein KIAA0319 homolog,Kiaa0319,Mus musculus (Mouse),1081,cytoplasmic vesicle [GO:0031410]; early endosome [GO:0005769]; early endosome membrane [GO:0031901]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; plasma membrane [GO:0005886],,,,,multicellular organismal response to stress [GO:0033555]; negative regulation of axon extension [GO:0030517]; negative regulation of axon extension involved in regeneration [GO:0048692]; negative regulation of dendrite development [GO:2000171]; neuron migration [GO:0001764]; positive regulation of SMAD protein signal transduction [GO:0060391]; response to auditory stimulus [GO:0010996],,,,,cytoplasmic vesicle [GO:0031410]; early endosome [GO:0005769]; early endosome membrane [GO:0031901]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; plasma membrane [GO:0005886]; multicellular organismal response to stress [GO:0033555]; negative regulation of axon extension [GO:0030517]; negative regulation of axon extension involved in regeneration [GO:0048692]; negative regulation of dendrite development [GO:2000171]; neuron migration [GO:0001764]; positive regulation of SMAD protein signal transduction [GO:0060391]; response to auditory stimulus [GO:0010996],,,GO:0001764; GO:0005769; GO:0005886; GO:0010996; GO:0016020; GO:0016021; GO:0030517; GO:0031410; GO:0031901; GO:0033555; GO:0043231; GO:0048692; GO:0060391; GO:2000171,,
3243,Q99M20,unreviewed,Q99M20_MOUSE,Kallikrein j (Kallikrein-related-peptidase 10),Klk10 Klnj NES1 PRSSL1,Mus musculus (Mouse),278,secretory granule [GO:0030141],,,,,proteolysis [GO:0006508],serine-type endopeptidase activity [GO:0004252],,,,secretory granule [GO:0030141]; serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508],,,GO:0004252; GO:0006508; GO:0030141,,
3251,B2RVZ0,unreviewed,B2RVZ0_MOUSE,Kallikrein-related-peptidase 12,Klk12,Mus musculus (Mouse),247,secretory granule [GO:0030141],,,,,proteolysis [GO:0006508],peptidase activity [GO:0008233]; serine-type endopeptidase activity [GO:0004252]; serine-type peptidase activity [GO:0008236],,,,secretory granule [GO:0030141]; peptidase activity [GO:0008233]; serine-type endopeptidase activity [GO:0004252]; serine-type peptidase activity [GO:0008236]; proteolysis [GO:0006508],,,GO:0004252; GO:0006508; GO:0008233; GO:0008236; GO:0030141,,
3262,Q8CGR4,unreviewed,Q8CGR4_MOUSE,Kallikrein-related-peptidase 15 (Prostin),Klk15 KLK15,Mus musculus (Mouse),254,secretory granule [GO:0030141],,,,,proteolysis [GO:0006508],serine-type endopeptidase activity [GO:0004252],,,,secretory granule [GO:0030141]; serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508],,,GO:0004252; GO:0006508; GO:0030141,,
3275,Q91Y82,unreviewed,Q91Y82_MOUSE,Kallikrein-related-peptidase 6 (Klk6 protein) (Neurosin),Klk6 Prss18,Mus musculus (Mouse),253,cornified envelope [GO:0001533]; cytoplasm [GO:0005737]; extracellular region [GO:0005576]; secretory granule [GO:0030141],,,,,positive regulation of G protein-coupled receptor signaling pathway [GO:0045745]; proteolysis [GO:0006508]; regulation of neuron projection development [GO:0010975],peptidase activity [GO:0008233]; serine-type endopeptidase activity [GO:0004252],,,,cornified envelope [GO:0001533]; cytoplasm [GO:0005737]; extracellular region [GO:0005576]; secretory granule [GO:0030141]; peptidase activity [GO:0008233]; serine-type endopeptidase activity [GO:0004252]; positive regulation of G protein-coupled receptor signaling pathway [GO:0045745]; proteolysis [GO:0006508]; regulation of neuron projection development [GO:0010975],,,GO:0001533; GO:0004252; GO:0005576; GO:0005737; GO:0006508; GO:0008233; GO:0010975; GO:0030141; GO:0045745,,
3285,Q32M27,unreviewed,Q32M27_MOUSE,Kallikrein f (Kallikrein-related-peptidase 9) (Klk9 protein),Klk9 Klnf,Mus musculus (Mouse),251,secretory granule [GO:0030141],,,,,proteolysis [GO:0006508],serine-type endopeptidase activity [GO:0004252],,,,secretory granule [GO:0030141]; serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508],,,GO:0004252; GO:0006508; GO:0030141,,
3291,A2A513,unreviewed,A2A513_MOUSE,"Keratin, type I cytoskeletal 10",Krt10,Mus musculus (Mouse),561,cornified envelope [GO:0001533]; cytoplasm [GO:0005737]; keratin filament [GO:0045095],,,,,keratinocyte differentiation [GO:0030216]; peptide cross-linking [GO:0018149]; protein heterotetramerization [GO:0051290],protein heterodimerization activity [GO:0046982]; structural constituent of skin epidermis [GO:0030280],,,,cornified envelope [GO:0001533]; cytoplasm [GO:0005737]; keratin filament [GO:0045095]; protein heterodimerization activity [GO:0046982]; structural constituent of skin epidermis [GO:0030280]; keratinocyte differentiation [GO:0030216]; peptide cross-linking [GO:0018149]; protein heterotetramerization [GO:0051290],,,GO:0001533; GO:0005737; GO:0018149; GO:0030216; GO:0030280; GO:0045095; GO:0046982; GO:0051290,,
3371,Q3V0V0,unreviewed,Q3V0V0_MOUSE,Low density lipoprotein receptor class A domain-containing 2,Ldlrad2,Mus musculus (Mouse),142,integral component of membrane [GO:0016021],,,,,,,,,,integral component of membrane [GO:0016021],,,GO:0016021,,
3488,Q3URS3,reviewed,LRCL1_MOUSE,Leucine-rich colipase-like protein 1 (Colipase-like protein 3),Lrcol1 Clpsl3 Gm1679,Mus musculus (Mouse),161,extracellular region [GO:0005576],,,,,digestion [GO:0007586]; lipid catabolic process [GO:0016042]; response to food [GO:0032094],enzyme activator activity [GO:0008047],,,,extracellular region [GO:0005576]; enzyme activator activity [GO:0008047]; digestion [GO:0007586]; lipid catabolic process [GO:0016042]; response to food [GO:0032094],,,GO:0005576; GO:0007586; GO:0008047; GO:0016042; GO:0032094,,
3519,Q8BQF7,unreviewed,Q8BQF7_MOUSE,Uncharacterized protein,D030025P21Rik Ltbp2,Mus musculus (Mouse),163,,,,,,,,,,,,,,,,
3615,F2Z3U4,unreviewed,F2Z3U4_MOUSE,Matrilin-4,Matn4,Mus musculus (Mouse),624,extracellular matrix [GO:0031012],,,,,,calcium ion binding [GO:0005509],,,,extracellular matrix [GO:0031012]; calcium ion binding [GO:0005509],,,GO:0005509; GO:0031012,,
3637,Q8CH25,reviewed,SLTM_MOUSE,SAFB-like transcription modulator (Modulator of estrogen-induced transcription) (SAF-like transcription modulator),Sltm Met,Mus musculus (Mouse),1031,nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634],,,,,apoptotic process [GO:0006915]; regulation of mRNA processing [GO:0050684]; regulation of transcription by RNA polymerase II [GO:0006357],RNA binding [GO:0003723]; sequence-specific DNA binding [GO:0043565],,,,nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; RNA binding [GO:0003723]; sequence-specific DNA binding [GO:0043565]; apoptotic process [GO:0006915]; regulation of mRNA processing [GO:0050684]; regulation of transcription by RNA polymerase II [GO:0006357],,,GO:0003723; GO:0005634; GO:0005654; GO:0006357; GO:0006915; GO:0016604; GO:0043565; GO:0050684,,
3645,F8VQL0,unreviewed,F8VQL0_MOUSE,"Hepatocyte growth factor receptor, EC 2.7.10.1 (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (Tyrosine-protein kinase Met)",Met,Mus musculus (Mouse),1379,basal plasma membrane [GO:0009925]; integral component of membrane [GO:0016021],,,,,branching morphogenesis of an epithelial tube [GO:0048754]; endothelial cell morphogenesis [GO:0001886]; establishment of skin barrier [GO:0061436]; negative regulation of guanyl-nucleotide exchange factor activity [GO:1905098]; negative regulation of hydrogen peroxide-mediated programmed cell death [GO:1901299]; negative regulation of Rho protein signal transduction [GO:0035024]; negative regulation of stress fiber assembly [GO:0051497]; negative regulation of thrombin-activated receptor signaling pathway [GO:0070495]; positive chemotaxis [GO:0050918]; positive regulation of endothelial cell chemotaxis [GO:2001028]; positive regulation of microtubule polymerization [GO:0031116]; positive regulation of transcription by RNA polymerase II [GO:0045944]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169],ATP binding [GO:0005524]; identical protein binding [GO:0042802]; protein phosphatase binding [GO:0019903]; semaphorin receptor activity [GO:0017154]; transmembrane receptor protein tyrosine kinase activity [GO:0004714],,,,basal plasma membrane [GO:0009925]; integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; identical protein binding [GO:0042802]; protein phosphatase binding [GO:0019903]; semaphorin receptor activity [GO:0017154]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; branching morphogenesis of an epithelial tube [GO:0048754]; endothelial cell morphogenesis [GO:0001886]; establishment of skin barrier [GO:0061436]; negative regulation of guanyl-nucleotide exchange factor activity [GO:1905098]; negative regulation of hydrogen peroxide-mediated programmed cell death [GO:1901299]; negative regulation of Rho protein signal transduction [GO:0035024]; negative regulation of stress fiber assembly [GO:0051497]; negative regulation of thrombin-activated receptor signaling pathway [GO:0070495]; positive chemotaxis [GO:0050918]; positive regulation of endothelial cell chemotaxis [GO:2001028]; positive regulation of microtubule polymerization [GO:0031116]; positive regulation of transcription by RNA polymerase II [GO:0045944]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169],,,GO:0001886; GO:0004714; GO:0005524; GO:0007169; GO:0009925; GO:0016021; GO:0017154; GO:0019903; GO:0031116; GO:0035024; GO:0042802; GO:0045944; GO:0048754; GO:0050918; GO:0051497; GO:0061436; GO:0070495; GO:1901299; GO:1905098; GO:2001028,,
3694,Q9WTR0,reviewed,MMP16_MOUSE,"Matrix metalloproteinase-16, MMP-16, EC 3.4.24.- (Membrane-type matrix metalloproteinase 3, MT-MMP 3, MTMMP3) (Membrane-type-3 matrix metalloproteinase, MT3-MMP, MT3MMP)",Mmp16,Mus musculus (Mouse),607,extracellular matrix [GO:0031012]; integral component of plasma membrane [GO:0005887],,,,,bone development [GO:0060348]; chondrocyte proliferation [GO:0035988]; collagen catabolic process [GO:0030574]; craniofacial suture morphogenesis [GO:0097094]; embryonic cranial skeleton morphogenesis [GO:0048701]; endochondral ossification [GO:0001958]; extracellular matrix organization [GO:0030198]; ossification [GO:0001503]; protein processing [GO:0016485]; proteolysis [GO:0006508]; skeletal system development [GO:0001501],metalloaminopeptidase activity [GO:0070006]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270],,,,extracellular matrix [GO:0031012]; integral component of plasma membrane [GO:0005887]; metalloaminopeptidase activity [GO:0070006]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]; bone development [GO:0060348]; chondrocyte proliferation [GO:0035988]; collagen catabolic process [GO:0030574]; craniofacial suture morphogenesis [GO:0097094]; embryonic cranial skeleton morphogenesis [GO:0048701]; endochondral ossification [GO:0001958]; extracellular matrix organization [GO:0030198]; ossification [GO:0001503]; protein processing [GO:0016485]; proteolysis [GO:0006508]; skeletal system development [GO:0001501],,,GO:0001501; GO:0001503; GO:0001958; GO:0004222; GO:0005887; GO:0006508; GO:0008270; GO:0016485; GO:0030198; GO:0030574; GO:0031012; GO:0035988; GO:0048701; GO:0060348; GO:0070006; GO:0097094,,
3710,Q3U435,reviewed,MMP25_MOUSE,"Matrix metalloproteinase-25, MMP-25, EC 3.4.24.-",Mmp25,Mus musculus (Mouse),615,anchored component of membrane [GO:0031225]; cell surface [GO:0009986]; extracellular matrix [GO:0031012]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886],,,,,collagen catabolic process [GO:0030574]; extracellular matrix organization [GO:0030198]; hard palate development [GO:0060022]; proteolysis [GO:0006508],metalloendopeptidase activity [GO:0004222]; peptidase activator activity [GO:0016504]; zinc ion binding [GO:0008270],,,,anchored component of membrane [GO:0031225]; cell surface [GO:0009986]; extracellular matrix [GO:0031012]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; metalloendopeptidase activity [GO:0004222]; peptidase activator activity [GO:0016504]; zinc ion binding [GO:0008270]; collagen catabolic process [GO:0030574]; extracellular matrix organization [GO:0030198]; hard palate development [GO:0060022]; proteolysis [GO:0006508],,,GO:0004222; GO:0005886; GO:0006508; GO:0008270; GO:0009986; GO:0016021; GO:0016504; GO:0030198; GO:0030574; GO:0031012; GO:0031225; GO:0060022,,
3738,G3UVV6,unreviewed,G3UVV6_MOUSE,Multimerin-1,Mmrn1,Mus musculus (Mouse),1210,multimerin complex [GO:1990972]; platelet alpha granule [GO:0031091],,,,,blood coagulation [GO:0007596]; cell adhesion mediated by integrin [GO:0033627]; negative regulation of wound healing [GO:0061045]; positive regulation of platelet aggregation [GO:1901731],calcium ion binding [GO:0005509],,,,multimerin complex [GO:1990972]; platelet alpha granule [GO:0031091]; calcium ion binding [GO:0005509]; blood coagulation [GO:0007596]; cell adhesion mediated by integrin [GO:0033627]; negative regulation of wound healing [GO:0061045]; positive regulation of platelet aggregation [GO:1901731],,,GO:0005509; GO:0007596; GO:0031091; GO:0033627; GO:0061045; GO:1901731; GO:1990972,,
3741,E9QN37,unreviewed,E9QN37_MOUSE,Macrophage-expressed gene 1 protein (Perforin-2),Mpeg1,Mus musculus (Mouse),720,cytoplasmic vesicle membrane [GO:0030659]; integral component of membrane [GO:0016021],,,,,,,,,,cytoplasmic vesicle membrane [GO:0030659]; integral component of membrane [GO:0016021],,,GO:0016021; GO:0030659,,
3746,Q9JI11,reviewed,STK4_MOUSE,"Serine/threonine-protein kinase 4, EC 2.7.11.1 (Mammalian STE20-like protein kinase 1, MST-1) (STE20-like kinase MST1) [Cleaved into: Serine/threonine-protein kinase 4 37kDa subunit, MST1/N; Serine/threonine-protein kinase 4 18kDa subunit, MST1/C ]",Stk4 Mst1,Mus musculus (Mouse),487,cytoplasm [GO:0005737]; cytosol [GO:0005829]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991],,,,,"apoptotic process [GO:0006915]; branching involved in blood vessel morphogenesis [GO:0001569]; canonical Wnt signaling pathway [GO:0060070]; cell differentiation involved in embryonic placenta development [GO:0060706]; cell morphogenesis [GO:0000902]; cell population proliferation [GO:0008283]; central nervous system development [GO:0007417]; endocardium development [GO:0003157]; epithelial cell proliferation [GO:0050673]; extrinsic apoptotic signaling pathway via death domain receptors [GO:0008625]; hepatocyte apoptotic process [GO:0097284]; hippo signaling [GO:0035329]; intracellular signal transduction [GO:0035556]; keratinocyte differentiation [GO:0030216]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of epithelial cell proliferation [GO:0050680]; negative regulation of organ growth [GO:0046621]; neural tube formation [GO:0001841]; organ growth [GO:0035265]; peptidyl-serine phosphorylation [GO:0018105]; positive regulation of apoptotic process [GO:0043065]; positive regulation of extrinsic apoptotic signaling pathway via death domain receptors [GO:1902043]; positive regulation of fat cell differentiation [GO:0045600]; positive regulation of hepatocyte apoptotic process [GO:1903945]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; positive regulation of protein binding [GO:0032092]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of substrate-dependent cell migration, cell attachment to substrate [GO:1904237]; positive regulation of vascular associated smooth muscle cell apoptotic process [GO:1905461]; primitive hemopoiesis [GO:0060215]; protein autophosphorylation [GO:0046777]; protein import into nucleus [GO:0006606]; protein phosphorylation [GO:0006468]; protein stabilization [GO:0050821]; protein tetramerization [GO:0051262]; regulation of cell differentiation involved in embryonic placenta development [GO:0060800]; regulation of MAPK cascade [GO:0043408]",ATP binding [GO:0005524]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; protein homodimerization activity [GO:0042803]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629],,,,"cytoplasm [GO:0005737]; cytosol [GO:0005829]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; ATP binding [GO:0005524]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; protein homodimerization activity [GO:0042803]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; apoptotic process [GO:0006915]; branching involved in blood vessel morphogenesis [GO:0001569]; canonical Wnt signaling pathway [GO:0060070]; cell differentiation involved in embryonic placenta development [GO:0060706]; cell morphogenesis [GO:0000902]; cell population proliferation [GO:0008283]; central nervous system development [GO:0007417]; endocardium development [GO:0003157]; epithelial cell proliferation [GO:0050673]; extrinsic apoptotic signaling pathway via death domain receptors [GO:0008625]; hepatocyte apoptotic process [GO:0097284]; hippo signaling [GO:0035329]; intracellular signal transduction [GO:0035556]; keratinocyte differentiation [GO:0030216]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of epithelial cell proliferation [GO:0050680]; negative regulation of organ growth [GO:0046621]; neural tube formation [GO:0001841]; organ growth [GO:0035265]; peptidyl-serine phosphorylation [GO:0018105]; positive regulation of apoptotic process [GO:0043065]; positive regulation of extrinsic apoptotic signaling pathway via death domain receptors [GO:1902043]; positive regulation of fat cell differentiation [GO:0045600]; positive regulation of hepatocyte apoptotic process [GO:1903945]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; positive regulation of protein binding [GO:0032092]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of substrate-dependent cell migration, cell attachment to substrate [GO:1904237]; positive regulation of vascular associated smooth muscle cell apoptotic process [GO:1905461]; primitive hemopoiesis [GO:0060215]; protein autophosphorylation [GO:0046777]; protein import into nucleus [GO:0006606]; protein phosphorylation [GO:0006468]; protein stabilization [GO:0050821]; protein tetramerization [GO:0051262]; regulation of cell differentiation involved in embryonic placenta development [GO:0060800]; regulation of MAPK cascade [GO:0043408]",,,GO:0000287; GO:0000902; GO:0001569; GO:0001841; GO:0001934; GO:0003157; GO:0004672; GO:0004674; GO:0005524; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0006468; GO:0006606; GO:0006915; GO:0007417; GO:0008283; GO:0008285; GO:0008625; GO:0016604; GO:0018105; GO:0030216; GO:0032092; GO:0032991; GO:0033138; GO:0035265; GO:0035329; GO:0035556; GO:0042802; GO:0042803; GO:0043065; GO:0043408; GO:0045600; GO:0046621; GO:0046777; GO:0050673; GO:0050680; GO:0050821; GO:0051262; GO:0060070; GO:0060215; GO:0060706; GO:0060800; GO:0061629; GO:0090090; GO:0097284; GO:0106310; GO:1902043; GO:1903945; GO:1904237; GO:1905461,,
3757,Q02496,reviewed,MUC1_MOUSE,"Mucin-1, MUC-1 (Episialin) (CD antigen CD227) [Cleaved into: Mucin-1 subunit alpha, MUC1-NT, MUC1-alpha; Mucin-1 subunit beta, MUC1-beta (MUC1-CT) ]",Muc1 Muc-1,Mus musculus (Mouse),630,apical plasma membrane [GO:0016324]; cell surface [GO:0009986]; chromatin [GO:0000785]; collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; nucleus [GO:0005634]; plasma membrane [GO:0005886],,,,,"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest [GO:0006977]; DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator [GO:0006978]; negative regulation of cell adhesion mediated by integrin [GO:0033629]; negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:1902166]; negative regulation of transcription by competitive promoter binding [GO:0010944]; positive regulation of histone H4 acetylation [GO:0090240]; positive regulation of transcription from RNA polymerase II promoter in response to stress [GO:0036003]; regulation of transcription from RNA polymerase II promoter in response to stress [GO:0043618]",p53 binding [GO:0002039]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; transcription coregulator activity [GO:0003712],,,,"apical plasma membrane [GO:0016324]; cell surface [GO:0009986]; chromatin [GO:0000785]; collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; p53 binding [GO:0002039]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; transcription coregulator activity [GO:0003712]; DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest [GO:0006977]; DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator [GO:0006978]; negative regulation of cell adhesion mediated by integrin [GO:0033629]; negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:1902166]; negative regulation of transcription by competitive promoter binding [GO:0010944]; positive regulation of histone H4 acetylation [GO:0090240]; positive regulation of transcription from RNA polymerase II promoter in response to stress [GO:0036003]; regulation of transcription from RNA polymerase II promoter in response to stress [GO:0043618]",,,GO:0000785; GO:0000978; GO:0002039; GO:0003712; GO:0005634; GO:0005737; GO:0005886; GO:0006977; GO:0006978; GO:0009986; GO:0010944; GO:0016021; GO:0016324; GO:0033629; GO:0036003; GO:0043618; GO:0062023; GO:0070062; GO:0090240; GO:1902166,,
3764,A0A140LJ72,unreviewed,A0A140LJ72_MOUSE,Mucin 16,Muc16,Mus musculus (Mouse),8478,external side of plasma membrane [GO:0009897]; extrinsic component of membrane [GO:0019898]; integral component of membrane [GO:0016021],,,,,negative regulation of epithelial cell proliferation [GO:0050680]; negative regulation of interleukin-6 production [GO:0032715]; negative regulation of wound healing [GO:0061045],,,,,external side of plasma membrane [GO:0009897]; extrinsic component of membrane [GO:0019898]; integral component of membrane [GO:0016021]; negative regulation of epithelial cell proliferation [GO:0050680]; negative regulation of interleukin-6 production [GO:0032715]; negative regulation of wound healing [GO:0061045],,,GO:0009897; GO:0016021; GO:0019898; GO:0032715; GO:0050680; GO:0061045,,
3812,A0A0A6YY91,unreviewed,A0A0A6YY91_MOUSE,Neural cell adhesion molecule 1,Ncam1,Mus musculus (Mouse),1089,cytosol [GO:0005829]; external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021],,,,,cell adhesion [GO:0007155],,,,,cytosol [GO:0005829]; external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]; cell adhesion [GO:0007155],,,GO:0005829; GO:0007155; GO:0009897; GO:0016021,,
3825,Q9JKF6,reviewed,NECT1_MOUSE,"Nectin-1 (Herpes virus entry mediator C, Herpesvirus entry mediator C, HveC) (Nectin cell adhesion molecule 1) (Poliovirus receptor-related protein 1) (CD antigen CD111)",Nectin1 Hvec Prr1 Pvrl1,Mus musculus (Mouse),515,adherens junction [GO:0005912]; apical junction complex [GO:0043296]; axon [GO:0030424]; cell-cell contact zone [GO:0044291]; dendrite [GO:0030425]; growth cone membrane [GO:0032584]; hippocampal mossy fiber to CA3 synapse [GO:0098686]; integral component of membrane [GO:0016021]; integral component of presynaptic active zone membrane [GO:0099059]; intracellular membrane-bounded organelle [GO:0043231]; neuron projection [GO:0043005]; plasma membrane [GO:0005886]; synapse [GO:0045202],,,,,axon guidance [GO:0007411]; camera-type eye morphogenesis [GO:0048593]; cell-cell adhesion [GO:0098609]; desmosome organization [GO:0002934]; enamel mineralization [GO:0070166]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; iron ion transport [GO:0006826]; lens morphogenesis in camera-type eye [GO:0002089]; protein localization to cell junction [GO:1902414]; regulation of synapse assembly [GO:0051963]; retina development in camera-type eye [GO:0060041]; viral entry into host cell [GO:0046718]; virion attachment to host cell [GO:0019062],carbohydrate binding [GO:0030246]; cell adhesion molecule binding [GO:0050839]; identical protein binding [GO:0042802]; protein homodimerization activity [GO:0042803]; protein-containing complex binding [GO:0044877]; signaling receptor activity [GO:0038023]; virion binding [GO:0046790],,,,adherens junction [GO:0005912]; apical junction complex [GO:0043296]; axon [GO:0030424]; cell-cell contact zone [GO:0044291]; dendrite [GO:0030425]; growth cone membrane [GO:0032584]; hippocampal mossy fiber to CA3 synapse [GO:0098686]; integral component of membrane [GO:0016021]; integral component of presynaptic active zone membrane [GO:0099059]; intracellular membrane-bounded organelle [GO:0043231]; neuron projection [GO:0043005]; plasma membrane [GO:0005886]; synapse [GO:0045202]; carbohydrate binding [GO:0030246]; cell adhesion molecule binding [GO:0050839]; identical protein binding [GO:0042802]; protein homodimerization activity [GO:0042803]; protein-containing complex binding [GO:0044877]; signaling receptor activity [GO:0038023]; virion binding [GO:0046790]; axon guidance [GO:0007411]; camera-type eye morphogenesis [GO:0048593]; cell-cell adhesion [GO:0098609]; desmosome organization [GO:0002934]; enamel mineralization [GO:0070166]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; iron ion transport [GO:0006826]; lens morphogenesis in camera-type eye [GO:0002089]; protein localization to cell junction [GO:1902414]; regulation of synapse assembly [GO:0051963]; retina development in camera-type eye [GO:0060041]; viral entry into host cell [GO:0046718]; virion attachment to host cell [GO:0019062],,,GO:0002089; GO:0002934; GO:0005886; GO:0005912; GO:0006826; GO:0007156; GO:0007157; GO:0007411; GO:0016021; GO:0019062; GO:0030246; GO:0030424; GO:0030425; GO:0032584; GO:0038023; GO:0042802; GO:0042803; GO:0043005; GO:0043231; GO:0043296; GO:0044291; GO:0044877; GO:0045202; GO:0046718; GO:0046790; GO:0048593; GO:0050839; GO:0051963; GO:0060041; GO:0070166; GO:0098609; GO:0098686; GO:0099059; GO:1902414,,
3828,Q8R007,reviewed,NECT4_MOUSE,Nectin-4 (Ig superfamily receptor LNIR) (Nectin cell adhesion molecule 4) (Poliovirus receptor-related protein 4),Nectin4 Lnir Prr4 Pvrl4,Mus musculus (Mouse),508,adherens junction [GO:0005912]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886],,,,,cell-cell adhesion [GO:0098609]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; viral entry into host cell [GO:0046718],identical protein binding [GO:0042802],,,,adherens junction [GO:0005912]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; identical protein binding [GO:0042802]; cell-cell adhesion [GO:0098609]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; viral entry into host cell [GO:0046718],,,GO:0005886; GO:0005912; GO:0007156; GO:0007157; GO:0016021; GO:0042802; GO:0046718; GO:0098609,,
