Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Gene Ontology (cellular component),Subcellular location [CC],Mass,Function [CC],Tissue specificity,Gene Ontology (biological process),Gene Ontology (molecular function),Signal peptide,Transit peptide
Q14008,reviewed,CKAP5_HUMAN,"Cytoskeleton-associated protein 5 (Colonic and hepatic tumor overexpressed gene protein, Ch-TOG)",CKAP5 KIAA0097,Homo sapiens (Human),2032,centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; kinetochore [GO:0000776]; membrane [GO:0016020]; nucleolus [GO:0005730]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; spindle pole [GO:0000922],"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:14654843, ECO:0000269|PubMed:21646404, ECO:0000269|PubMed:25596274, ECO:0000269|PubMed:9570755}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000269|PubMed:21646404}. Cytoplasm, cytoskeleton, spindle {ECO:0000269|PubMed:21297582, ECO:0000269|PubMed:25596274, ECO:0000269|PubMed:9570755}. Chromosome, centromere, kinetochore {ECO:0000269|PubMed:25596274}. Note=Detected on centrosomes and kinetochores during interphase and mitosis independently from TACC3 and clathrin. Located to spindle poles and microtubules during mitosis. In complex with TACC3 localized to microtubule plus-ends in mitosis and interphase. In complex with TACC3 and clathrin localized to inter-microtubule bridges in mitotic spindles. Accumulation sites at microtubule plus ends protruded approximately 100 nm from MAPRE1/EB1 sites in interphase cells. {ECO:0000269|PubMed:21646404, ECO:0000269|PubMed:23251535, ECO:0000269|PubMed:25596274}.",225495,"FUNCTION: Binds to the plus end of microtubules and regulates microtubule dynamics and microtubule organization. Acts as processive microtubule polymerase. Promotes cytoplasmic microtubule nucleation and elongation. Plays a major role in organizing spindle poles. In spindle formation protects kinetochore microtubules from depolymerization by KIF2C and has an essential role in centrosomal microtubule assembly independently of KIF2C activity. Contributes to centrosome integrity. Acts as component of the TACC3/ch-TOG/clathrin complex proposed to contribute to stabilization of kinetochore fibers of the mitotic spindle by acting as inter-microtubule bridge. The TACC3/ch-TOG/clathrin complex is required for the maintenance of kinetochore fiber tension (PubMed:23532825). Enhances the strength of NDC80 complex-mediated kinetochore-tip microtubule attachments (PubMed:27156448). {ECO:0000269|PubMed:12569123, ECO:0000269|PubMed:18809577, ECO:0000269|PubMed:21297582, ECO:0000269|PubMed:21646404, ECO:0000269|PubMed:23532825, ECO:0000269|PubMed:27156448, ECO:0000269|PubMed:9570755}.","TISSUE SPECIFICITY: Overexpressed in hepatomas and colonic tumors. Also expressed in skeletal muscle, brain, heart, placenta, lung, liver, kidney and pancreas. Expression is elevated in the brain; highly expressed in the Purkinje cell bodies of the cerebellum. {ECO:0000269|PubMed:8536682, ECO:0000269|PubMed:8832653}.",cell division [GO:0051301]; centrosome cycle [GO:0007098]; centrosome duplication [GO:0051298]; establishment or maintenance of microtubule cytoskeleton polarity [GO:0030951]; microtubule depolymerization [GO:0007019]; microtubule polymerization [GO:0046785]; mitotic spindle organization [GO:0007052]; positive regulation of microtubule nucleation [GO:0090063]; RNA transport [GO:0050658]; spindle organization [GO:0007051],cadherin binding [GO:0045296]; microtubule binding [GO:0008017]; microtubule plus end polymerase [GO:0061863]; microtubule plus-end binding [GO:0051010]; ribonucleoprotein complex binding [GO:0043021],,
Q14019,reviewed,COTL1_HUMAN,Coactosin-like protein,COTL1 CLP,Homo sapiens (Human),142,cortical actin cytoskeleton [GO:0030864]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; secretory granule lumen [GO:0034774],"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11583571}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:11583571}. Nucleus {ECO:0000269|PubMed:19807693}.",15945,"FUNCTION: Binds to F-actin in a calcium-independent manner. Has no direct effect on actin depolymerization. Acts as a chaperone for ALOX5 (5LO), influencing both its stability and activity in leukotrienes synthesis. {ECO:0000269|PubMed:11583571, ECO:0000269|PubMed:19807693}.","TISSUE SPECIFICITY: Widely expressed with highest levels in placenta, lung, kidney and peripheral blood leukocytes and lower levels in brain, liver and pancreas. {ECO:0000269|PubMed:11583571}.",defense response to fungus [GO:0050832]; regulation of actin filament polymerization [GO:0030833],actin binding [GO:0003779]; actin filament binding [GO:0051015]; enzyme binding [GO:0019899],,
Q14118,reviewed,DAG1_HUMAN,"Dystroglycan 1 (Dystroglycan) (Dystrophin-associated glycoprotein 1) [Cleaved into: Alpha-dystroglycan, Alpha-DG; Beta-dystroglycan, Beta-DG ]",DAG1,Homo sapiens (Human),895,adherens junction [GO:0005912]; basement membrane [GO:0005604]; basolateral plasma membrane [GO:0016323]; collagen-containing extracellular matrix [GO:0062023]; contractile ring [GO:0070938]; costamere [GO:0043034]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; dystroglycan complex [GO:0016011]; dystrophin-associated glycoprotein complex [GO:0016010]; endoplasmic reticulum lumen [GO:0005788]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; filopodium [GO:0030175]; focal adhesion [GO:0005925]; GABA-ergic synapse [GO:0098982]; glutamatergic synapse [GO:0098978]; Golgi lumen [GO:0005796]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; lamellipodium [GO:0030027]; node of Ranvier [GO:0033268]; nuclear periphery [GO:0034399]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; plasma membrane raft [GO:0044853]; postsynaptic cytosol [GO:0099524]; postsynaptic membrane [GO:0045211]; sarcolemma [GO:0042383],"SUBCELLULAR LOCATION: [Alpha-dystroglycan]: Secreted, extracellular space.; SUBCELLULAR LOCATION: [Beta-dystroglycan]: Cell membrane {ECO:0000269|PubMed:18764929}; Single-pass type I membrane protein. Cytoplasm, cytoskeleton. Nucleus, nucleoplasm {ECO:0000269|PubMed:18764929}. Cell membrane, sarcolemma {ECO:0000250}. Postsynaptic cell membrane {ECO:0000250}. Note=The monomeric form translocates to the nucleus via the action of importins and depends on RAN. Nuclear transport is inhibited by Tyr-892 phosphorylation. In skeletal muscle, this phosphorylated form locates to a vesicular internal membrane compartment. In muscle cells, sarcolemma localization requires the presence of ANK2, while localization to costameres requires the presence of ANK3. Localizes to neuromuscular junctions (NMJs) in the presence of ANK2 (By similarity). In peripheral nerves, localizes to the Schwann cell membrane. Colocalizes with ERM proteins in Schwann-cell microvilli. {ECO:0000250}.",97441,"FUNCTION: The dystroglycan complex is involved in a number of processes including laminin and basement membrane assembly, sarcolemmal stability, cell survival, peripheral nerve myelination, nodal structure, cell migration, and epithelial polarization.; FUNCTION: [Alpha-dystroglycan]: Extracellular peripheral glycoprotein that acts as a receptor for extracellular matrix proteins containing laminin-G domains. Receptor for laminin-2 (LAMA2) and agrin in peripheral nerve Schwann cells. Also acts as a receptor for laminin LAMA5 (By similarity). {ECO:0000250|UniProtKB:O18738}.; FUNCTION: [Beta-dystroglycan]: Transmembrane protein that plays important roles in connecting the extracellular matrix to the cytoskeleton. Acts as a cell adhesion receptor in both muscle and non-muscle tissues. Receptor for both DMD and UTRN and, through these interactions, scaffolds axin to the cytoskeleton. Also functions in cell adhesion-mediated signaling and implicated in cell polarity.; FUNCTION: [Alpha-dystroglycan]: (Microbial infection) Acts as a receptor for lassa virus and lymphocytic choriomeningitis virus glycoprotein and class C new-world arenaviruses (PubMed:16254364, PubMed:19324387, PubMed:17360738). Acts as a Schwann cell receptor for Mycobacterium leprae, the causative organism of leprosy, but only in the presence of the G-domain of LAMA2 (PubMed:9851927). {ECO:0000269|PubMed:16254364, ECO:0000269|PubMed:17360738, ECO:0000269|PubMed:19324387, ECO:0000269|PubMed:9851927}.","TISSUE SPECIFICITY: Expressed in a variety of fetal and adult tissues. In epidermal tissue, located to the basement membrane. Also expressed in keratinocytes and fibroblasts. {ECO:0000269|PubMed:15175026, ECO:0000269|PubMed:8268918}.",aging [GO:0007568]; angiogenesis involved in wound healing [GO:0060055]; axon guidance [GO:0007411]; axon regeneration [GO:0031103]; basement membrane organization [GO:0071711]; branching involved in salivary gland morphogenesis [GO:0060445]; calcium-dependent cell-matrix adhesion [GO:0016340]; cellular response to cholesterol [GO:0071397]; cellular response to mechanical stimulus [GO:0071260]; commissural neuron axon guidance [GO:0071679]; epithelial tube branching involved in lung morphogenesis [GO:0060441]; membrane protein ectodomain proteolysis [GO:0006509]; microtubule anchoring [GO:0034453]; morphogenesis of an epithelial sheet [GO:0002011]; morphogenesis of an epithelium [GO:0002009]; muscle attachment [GO:0016203]; myelination in peripheral nervous system [GO:0022011]; negative regulation of cell migration [GO:0030336]; negative regulation of MAPK cascade [GO:0043409]; negative regulation of protein kinase B signaling [GO:0051898]; nerve development [GO:0021675]; nerve maturation [GO:0021682]; positive regulation of basement membrane assembly involved in embryonic body morphogenesis [GO:1904261]; positive regulation of cell-matrix adhesion [GO:0001954]; positive regulation of myelination [GO:0031643]; positive regulation of oligodendrocyte differentiation [GO:0048714]; positive regulation of protein kinase activity [GO:0045860]; regulation of embryonic cell shape [GO:0016476]; regulation of epithelial to mesenchymal transition [GO:0010717]; regulation of gastrulation [GO:0010470]; regulation of neurotransmitter receptor localization to postsynaptic specialization membrane [GO:0098696]; regulation of synapse organization [GO:0050807]; response to denervation involved in regulation of muscle adaptation [GO:0014894]; response to peptide hormone [GO:0043434]; retrograde trans-synaptic signaling by trans-synaptic protein complex [GO:0098942]; skeletal muscle tissue regeneration [GO:0043403],actin binding [GO:0003779]; alpha-actinin binding [GO:0051393]; calcium ion binding [GO:0005509]; dystroglycan binding [GO:0002162]; laminin binding [GO:0043236]; laminin-1 binding [GO:0043237]; SH2 domain binding [GO:0042169]; structural constituent of muscle [GO:0008307]; tubulin binding [GO:0015631]; vinculin binding [GO:0017166]; virus receptor activity [GO:0001618],"SIGNAL 1..29; /evidence=""ECO:0000255""",
Q14141,reviewed,SEPT6_HUMAN,Septin-6,SEPTIN6 KIAA0128 SEP2 SEPT6,Homo sapiens (Human),434,axon terminus [GO:0043679]; cell division site [GO:0032153]; cleavage furrow [GO:0032154]; kinetochore [GO:0000776]; microtubule cytoskeleton [GO:0015630]; midbody [GO:0030496]; septin collar [GO:0032173]; septin complex [GO:0031105]; septin ring [GO:0005940]; sperm annulus [GO:0097227]; spindle [GO:0005819]; synaptic vesicle [GO:0008021],"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:15774761}. Cytoplasm, cytoskeleton, spindle {ECO:0000269|PubMed:15774761}. Chromosome, centromere, kinetochore {ECO:0000269|PubMed:15774761}. Cleavage furrow {ECO:0000269|PubMed:15774761}. Midbody {ECO:0000269|PubMed:15774761}. Cell projection, cilium, flagellum {ECO:0000269|PubMed:25588830}. Note=In metaphase cells, localized within the microtubule spindle. At the metaphase plate, in close apposition to the kinetochores of the congressed chromosomes. In cells undergoing cytokinesis, localized to the midbody, the ingressing cleavage furrow, and the central spindle. Found in the sperm annulus (PubMed:25588830). {ECO:0000269|PubMed:25588830}.",49717,"FUNCTION: Filament-forming cytoskeletal GTPase. Required for normal organization of the actin cytoskeleton. Involved in cytokinesis. May play a role in HCV RNA replication. Forms a filamentous structure with SEPTIN12, SEPTIN6, SEPTIN2 and probably SEPTIN4 at the sperm annulus which is required for the structural integrity and motility of the sperm tail during postmeiotic differentiation (PubMed:25588830). {ECO:0000269|PubMed:17229681, ECO:0000269|PubMed:17803907, ECO:0000305|PubMed:25588830}.",TISSUE SPECIFICITY: Widely expressed. {ECO:0000269|PubMed:15915442}.,cell differentiation [GO:0030154]; cilium assembly [GO:0060271]; cytoskeleton-dependent cytokinesis [GO:0061640]; mitotic cytokinesis [GO:0000281]; protein localization [GO:0008104]; spermatogenesis [GO:0007283],GTP binding [GO:0005525]; GTPase activity [GO:0003924]; molecular adaptor activity [GO:0060090],,
Q14166,reviewed,TTL12_HUMAN,Tubulin--tyrosine ligase-like protein 12 (Inactive tubulin--tyrosine ligase-like protein 12),TTLL12 KIAA0153,Homo sapiens (Human),644,cytoplasm [GO:0005737]; microtubule organizing center [GO:0005815]; midbody [GO:0030496]; nucleus [GO:0005634]; spindle [GO:0005819],"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:20162578, ECO:0000269|PubMed:28011935}. Midbody {ECO:0000305|PubMed:20162578}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000305|PubMed:20162578}. Cytoplasm, cytoskeleton, spindle {ECO:0000305|PubMed:20162578}. Nucleus {ECO:0000269|PubMed:23251473}. Note=Predominantly localizes in the cytoplasm (PubMed:28011935). Partially colocalizes with vimentin in prostate cancer cells (PubMed:20162578). {ECO:0000269|PubMed:20162578, ECO:0000269|PubMed:28011935}.",74404,"FUNCTION: Negatively regulates post-translational modifications of tubulin, including detyrosination of the C-terminus and polyglutamylation of glutamate residues (PubMed:20162578, PubMed:23251473). Also, indirectly promotes histone H4 trimethylation at 'Lys-20' (H4K20me3) (PubMed:23251473). Probably by controlling tubulin and/or histone H4 post-translational modifications, plays a role in mitosis and in maintaining chromosome number stability (PubMed:20162578, PubMed:23251473). During RNA virus-mediated infection, acts as a negative regulator of the DDX58/RIG-I pathway by preventing MAVS binding to TBK1 and IKBKE (PubMed:28011935). {ECO:0000269|PubMed:20162578, ECO:0000269|PubMed:23251473, ECO:0000269|PubMed:28011935}.",TISSUE SPECIFICITY: Expressed in the basal layer of prostate and endothelial cells. Increased expression in prostatic intraepithelial neoplasia and metastatic lesions. {ECO:0000269|PubMed:20162578}.,innate immune response [GO:0045087]; negative regulation of type I interferon-mediated signaling pathway [GO:0060339]; regulation of mitotic cell cycle [GO:0007346],ATP binding [GO:0005524]; H4K20me3 modified histone binding [GO:1990889]; tubulin binding [GO:0015631],,
Q14168,reviewed,MPP2_HUMAN,MAGUK p55 subfamily member 2 (Discs large homolog 2) (Protein MPP2),MPP2 DLG2,Homo sapiens (Human),576,cell-cell junction [GO:0005911]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; dendrite membrane [GO:0032590]; dendritic shaft [GO:0043198]; dendritic spine [GO:0043197]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069],"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:19665017}. Membrane {ECO:0000269|PubMed:19665017}. Cell projection, dendrite {ECO:0000250|UniProtKB:Q9WV34}. Postsynaptic density {ECO:0000250|UniProtKB:Q9WV34}. Note=Prominently expressed in the postsynaptic densities of dendritic spines, is also detected in dendritic shafts. {ECO:0000250|UniProtKB:Q9WV34}.",64581,"FUNCTION: Postsynaptic MAGUK scaffold protein that links CADM1 cell adhesion molecules to core components of the postsynaptic density (By similarity). In CA1 pyramidal neurons, required for synaptic KCNN2-containing channel function and long-term potentiation expression (By similarity). Seems to negatively regulate SRC function in epithelial cells (PubMed:19665017). {ECO:0000250|UniProtKB:D3ZAA9, ECO:0000250|UniProtKB:Q9WV34, ECO:0000269|PubMed:19665017}.",,excitatory postsynaptic potential [GO:0060079]; long-term synaptic potentiation [GO:0060291]; protein homooligomerization [GO:0051260],,,
Q14194,reviewed,DPYL1_HUMAN,"Dihydropyrimidinase-related protein 1, DRP-1 (Collapsin response mediator protein 1, CRMP-1) (Inactive dihydropyrimidinase) (Unc-33-like phosphoprotein 3, ULIP-3)",CRMP1 DPYSL1 ULIP3,Homo sapiens (Human),572,centrosome [GO:0005813]; cytosol [GO:0005829]; growth cone [GO:0030426]; midbody [GO:0030496]; perikaryon [GO:0043204]; spindle [GO:0005819],"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11562390}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:11562390}. Cytoplasm, cytoskeleton, spindle {ECO:0000269|PubMed:11562390}. Cell projection, growth cone {ECO:0000250|UniProtKB:P97427}. Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:P97427}. Perikaryon {ECO:0000250|UniProtKB:P97427}. Note=Associated with centrosomes and the mitotic spindle during metaphase (PubMed:11562390). Colocalizes with FLNA and tubulin in the central region of DRG neuron growth cone (By similarity). Following SEMA3A stimulation of DRG neurons, colocalizes with F-actin (By similarity). {ECO:0000250|UniProtKB:P97427, ECO:0000269|PubMed:11562390}.",62184,"FUNCTION: Necessary for signaling by class 3 semaphorins and subsequent remodeling of the cytoskeleton (PubMed:25358863). Plays a role in axon guidance (PubMed:25358863). During the axon guidance process, acts downstream of SEMA3A to promote FLNA dissociation from F-actin which results in the rearrangement of the actin cytoskeleton and the collapse of the growth cone (PubMed:25358863). Involved in invasive growth and cell migration (PubMed:11562390). May participate in cytokinesis (PubMed:19799413). {ECO:0000269|PubMed:11562390, ECO:0000269|PubMed:19799413, ECO:0000269|PubMed:25358863}.",TISSUE SPECIFICITY: Brain.,axon guidance [GO:0007411]; microtubule cytoskeleton organization [GO:0000226]; negative regulation of actin filament binding [GO:1904530]; negative regulation of neuron projection development [GO:0010977]; nervous system development [GO:0007399]; nucleobase-containing compound metabolic process [GO:0006139],"filamin binding [GO:0031005]; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds [GO:0016810]; identical protein binding [GO:0042802]",,
Q14203,reviewed,DCTN1_HUMAN,"Dynactin subunit 1 (150 kDa dynein-associated polypeptide) (DAP-150, DP-150) (p135) (p150-glued)",DCTN1,Homo sapiens (Human),1278,axon [GO:0030424]; cell cortex [GO:0005938]; cell cortex region [GO:0099738]; cell leading edge [GO:0031252]; centriolar subdistal appendage [GO:0120103]; centriole [GO:0005814]; centrosome [GO:0005813]; ciliary basal body [GO:0036064]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dynein complex [GO:0030286]; intercellular bridge [GO:0045171]; kinetochore [GO:0000776]; membrane [GO:0016020]; microtubule [GO:0005874]; microtubule associated complex [GO:0005875]; microtubule cytoskeleton [GO:0015630]; microtubule plus-end [GO:0035371]; mitotic spindle [GO:0072686]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; nuclear envelope [GO:0005635]; nucleus [GO:0005634]; spindle [GO:0005819]; spindle pole [GO:0000922],"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:17828277}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:17828277, ECO:0000269|PubMed:22777741, ECO:0000269|PubMed:25774020, ECO:0000269|PubMed:26972003}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:14654843, ECO:0000269|PubMed:20719959, ECO:0000269|PubMed:23985322, ECO:0000269|PubMed:25774020}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole {ECO:0000269|PubMed:23386061, ECO:0000269|PubMed:25774020}. Cytoplasm, cytoskeleton, spindle {ECO:0000269|PubMed:25774020}. Nucleus envelope {ECO:0000269|PubMed:20679239}. Cytoplasm, cell cortex {ECO:0000269|PubMed:22327364}. Note=Localizes to microtubule plus ends (PubMed:17828277, PubMed:22777741, PubMed:25774020). Localizes preferentially to the ends of tyrosinated microtubules (PubMed:26972003). Localization at centrosome is regulated by SLK-dependent phosphorylation (PubMed:23985322). Localizes to centrosome in a PARKDA-dependent manner (PubMed:20719959). Localizes to the subdistal appendage region of the centriole in a KIF3A-dependent manner (PubMed:23386061). PLK1-mediated phosphorylation at Ser-179 is essential for its localization in the nuclear envelope (PubMed:20679239). {ECO:0000269|PubMed:17828277, ECO:0000269|PubMed:20679239, ECO:0000269|PubMed:20719959, ECO:0000269|PubMed:22777741, ECO:0000269|PubMed:23386061, ECO:0000269|PubMed:23985322, ECO:0000269|PubMed:25774020, ECO:0000269|PubMed:26972003}.",141695,"FUNCTION: Plays a key role in dynein-mediated retrograde transport of vesicles and organelles along microtubules by recruiting and tethering dynein to microtubules. Binds to both dynein and microtubules providing a link between specific cargos, microtubules and dynein. Essential for targeting dynein to microtubule plus ends, recruiting dynein to membranous cargos and enhancing dynein processivity (the ability to move along a microtubule for a long distance without falling off the track). Can also act as a brake to slow the dynein motor during motility along the microtubule (PubMed:25185702). Can regulate microtubule stability by promoting microtubule formation, nucleation and polymerization and by inhibiting microtubule catastrophe in neurons. Inhibits microtubule catastrophe by binding both to microtubules and to tubulin, leading to enhanced microtubule stability along the axon (PubMed:23874158). Plays a role in metaphase spindle orientation (PubMed:22327364). Plays a role in centriole cohesion and subdistal appendage organization and function. Its recruitment to the centriole in a KIF3A-dependent manner is essential for the maintenance of centriole cohesion and the formation of subdistal appendage. Also required for microtubule anchoring at the mother centriole (PubMed:23386061). Plays a role in primary cilia formation (PubMed:25774020). {ECO:0000269|PubMed:22327364, ECO:0000269|PubMed:23386061, ECO:0000269|PubMed:23874158, ECO:0000269|PubMed:25185702, ECO:0000269|PubMed:25774020}.",TISSUE SPECIFICITY: Brain.,"cell division [GO:0051301]; centriole-centriole cohesion [GO:0010457]; cytoplasmic microtubule organization [GO:0031122]; establishment of mitotic spindle orientation [GO:0000132]; maintenance of synapse structure [GO:0099558]; melanosome transport [GO:0032402]; microtubule anchoring at centrosome [GO:0034454]; mitotic cell cycle [GO:0000278]; motor behavior [GO:0061744]; nervous system development [GO:0007399]; neuromuscular junction development [GO:0007528]; neuromuscular process [GO:0050905]; neuron cellular homeostasis [GO:0070050]; neuron projection maintenance [GO:1990535]; non-motile cilium assembly [GO:1905515]; nuclear membrane disassembly [GO:0051081]; nuclear migration [GO:0007097]; positive regulation of microtubule nucleation [GO:0090063]; positive regulation of microtubule polymerization [GO:0031116]; positive regulation of neuromuscular junction development [GO:1904398]; regulation of mitotic spindle organization [GO:0060236]; retrograde transport, endosome to Golgi [GO:0042147]; ventral spinal cord development [GO:0021517]",microtubule binding [GO:0008017]; microtubule plus-end binding [GO:0051010]; protein kinase binding [GO:0019901]; tau protein binding [GO:0048156]; tubulin binding [GO:0015631],,
Q14204,reviewed,DYHC1_HUMAN,"Cytoplasmic dynein 1 heavy chain 1 (Cytoplasmic dynein heavy chain 1) (Dynein heavy chain, cytosolic)",DYNC1H1 DHC1 DNCH1 DNCL DNECL DYHC KIAA0325,Homo sapiens (Human),4646,axon cytoplasm [GO:1904115]; azurophil granule lumen [GO:0035578]; cell cortex [GO:0005938]; centrosome [GO:0005813]; cytoplasmic dynein complex [GO:0005868]; cytoplasmic microtubule [GO:0005881]; cytosol [GO:0005829]; dynein complex [GO:0030286]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; filopodium [GO:0030175]; membrane [GO:0016020]; microtubule [GO:0005874],"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton.",532408,FUNCTION: Cytoplasmic dynein 1 acts as a motor for the intracellular retrograde motility of vesicles and organelles along microtubules. Dynein has ATPase activity; the force-producing power stroke is thought to occur on release of ADP. Plays a role in mitotic spindle assembly and metaphase plate congression (PubMed:27462074). {ECO:0000269|PubMed:27462074}.,,cell division [GO:0051301]; cytoplasmic microtubule organization [GO:0031122]; establishment of spindle localization [GO:0051293]; microtubule-based movement [GO:0007018]; minus-end-directed vesicle transport along microtubule [GO:0072382]; mitotic cell cycle [GO:0000278]; mitotic spindle organization [GO:0007052]; nuclear migration [GO:0007097]; P-body assembly [GO:0033962]; positive regulation of cold-induced thermogenesis [GO:0120162]; positive regulation of intracellular transport [GO:0032388]; positive regulation of spindle assembly [GO:1905832]; regulation of metaphase plate congression [GO:0090235]; regulation of mitotic spindle organization [GO:0060236]; retrograde axonal transport [GO:0008090]; stress granule assembly [GO:0034063],ATP binding [GO:0005524]; dynein intermediate chain binding [GO:0045505]; dynein light intermediate chain binding [GO:0051959]; minus-end-directed microtubule motor activity [GO:0008569]; RNA binding [GO:0003723],,
Q14244,reviewed,MAP7_HUMAN,"Ensconsin (Epithelial microtubule-associated protein of 115 kDa, E-MAP-115) (Microtubule-associated protein 7, MAP-7)",MAP7,Homo sapiens (Human),749,axon [GO:0030424]; basolateral plasma membrane [GO:0016323]; cytosol [GO:0005829]; microtubule [GO:0005874]; microtubule associated complex [GO:0005875]; microtubule cytoskeleton [GO:0015630]; perinuclear region of cytoplasm [GO:0048471],"SUBCELLULAR LOCATION: Cytoplasm, perinuclear region. Basolateral cell membrane. Cytoplasm, cytoskeleton. Note=Colocalized on microtubules. An intracellular redistribution is triggered during induction of keratinocyte terminal differentiation from microtubules with a perinuclear localization to cortical microtubules organized in spike-like bundles facing intercellular contacts.",84052,"FUNCTION: Microtubule-stabilizing protein that may play an important role during reorganization of microtubules during polarization and differentiation of epithelial cells. Associates with microtubules in a dynamic manner. May play a role in the formation of intercellular contacts. Colocalization with TRPV4 results in the redistribution of TRPV4 toward the membrane and may link cytoskeletal microfilaments. {ECO:0000269|PubMed:11719555, ECO:0000269|PubMed:8408219, ECO:0000269|PubMed:9989799}.","TISSUE SPECIFICITY: Expressed in the skin and cells of epithelial origin. Predominantly expressed in the suprabasal layers of the normal epidermis and relatively abundant in squamous cell carcinomas but barely detectable in basal cell carcinomas. {ECO:0000269|PubMed:8408219, ECO:0000269|PubMed:9989799}.",establishment or maintenance of cell polarity [GO:0007163]; microtubule cytoskeleton organization [GO:0000226]; protein localization to plasma membrane [GO:0072659]; response to osmotic stress [GO:0006970],signaling receptor binding [GO:0005102]; structural molecule activity [GO:0005198],,
