,From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Gene Ontology (biological process),Gene Ontology (GO),Gene Ontology IDs,Gene Ontology (cellular component),Gene Ontology (molecular function),"TFs (GSEA, 2022)",NOTE,placeholder
219,O60765,O60765,reviewed,Z354A_HUMAN,"Zinc finger protein 354A (Transcription factor 17, TCF-17) (Zinc finger protein eZNF)",ZNF354A EZNF HKL1 TCF17,Homo sapiens (Human),605.0,regulation of transcription by RNA polymerase II [GO:0006357]; sensory perception of sound [GO:0007605],"cytosol [GO:0005829]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; regulation of transcription by RNA polymerase II [GO:0006357]; sensory perception of sound [GO:0007605]",GO:0000978; GO:0000981; GO:0005634; GO:0005654; GO:0005730; GO:0005829; GO:0006357; GO:0007605; GO:0046872,cytosol [GO:0005829]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634],"DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]",ZNF354A,,x
220,O60806,O60806,reviewed,TBX19_HUMAN,"T-box transcription factor TBX19, T-box protein 19 (T-box factor, pituitary)",TBX19 TPIT,Homo sapiens (Human),448.0,anatomical structure morphogenesis [GO:0009653]; cell fate specification [GO:0001708]; heart morphogenesis [GO:0003007]; mesoderm formation [GO:0001707]; pituitary gland development [GO:0021983]; regulation of cell differentiation [GO:0045595]; regulation of cell population proliferation [GO:0042127]; regulation of transcription by RNA polymerase II [GO:0006357],"chromatin [GO:0000785]; nucleus [GO:0005634]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]; anatomical structure morphogenesis [GO:0009653]; cell fate specification [GO:0001708]; heart morphogenesis [GO:0003007]; mesoderm formation [GO:0001707]; pituitary gland development [GO:0021983]; regulation of cell differentiation [GO:0045595]; regulation of cell population proliferation [GO:0042127]; regulation of transcription by RNA polymerase II [GO:0006357]",GO:0000785; GO:0000978; GO:0000981; GO:0001228; GO:0001707; GO:0001708; GO:0003007; GO:0005634; GO:0006357; GO:0009653; GO:0021983; GO:0042127; GO:0045595; GO:1990837,chromatin [GO:0000785]; nucleus [GO:0005634],"DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]",TBX19,,x
221,O60858,O60858,reviewed,TRI13_HUMAN,"E3 ubiquitin-protein ligase TRIM13, EC 2.3.2.27 (B-cell chronic lymphocytic leukemia tumor suppressor Leu5) (Leukemia-associated protein 5) (Putative tumor suppressor RFP2) (RING finger protein 77) (RING-type E3 ubiquitin transferase TRIM13) (Ret finger protein 2) (Tripartite motif-containing protein 13)",TRIM13 LEU5 RFP2 RNF77,Homo sapiens (Human),407.0,anatomical structure morphogenesis [GO:0009653]; endoplasmic reticulum mannose trimming [GO:1904380]; innate immune response [GO:0045087]; negative regulation of viral transcription [GO:0032897]; positive regulation of cell death [GO:0010942]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of macroautophagy [GO:0016239]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein autoubiquitination [GO:0051865]; protein ubiquitination [GO:0016567]; response to gamma radiation [GO:0010332]; suppression of viral release by host [GO:0044790]; ubiquitin-dependent ERAD pathway [GO:0030433],cytoplasm [GO:0005737]; endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum quality control compartment [GO:0044322]; integral component of membrane [GO:0016021]; perinuclear endoplasmic reticulum [GO:0097038]; transcription coactivator activity [GO:0003713]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]; anatomical structure morphogenesis [GO:0009653]; endoplasmic reticulum mannose trimming [GO:1904380]; innate immune response [GO:0045087]; negative regulation of viral transcription [GO:0032897]; positive regulation of cell death [GO:0010942]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of macroautophagy [GO:0016239]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein autoubiquitination [GO:0051865]; protein ubiquitination [GO:0016567]; response to gamma radiation [GO:0010332]; suppression of viral release by host [GO:0044790]; ubiquitin-dependent ERAD pathway [GO:0030433],GO:0003713; GO:0004842; GO:0005737; GO:0005789; GO:0008270; GO:0009653; GO:0010332; GO:0010942; GO:0016021; GO:0016239; GO:0016567; GO:0030433; GO:0032897; GO:0043123; GO:0043161; GO:0044322; GO:0044790; GO:0045087; GO:0051092; GO:0051865; GO:0061630; GO:0097038; GO:1904380,cytoplasm [GO:0005737]; endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum quality control compartment [GO:0044322]; integral component of membrane [GO:0016021]; perinuclear endoplasmic reticulum [GO:0097038],transcription coactivator activity [GO:0003713]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270],TRIM13,,x
222,O60885,O60885,reviewed,BRD4_HUMAN,Bromodomain-containing protein 4 (Protein HUNK1),BRD4 HUNK1,Homo sapiens (Human),1362.0,"cellular response to DNA damage stimulus [GO:0006974]; chromatin remodeling [GO:0006338]; negative regulation by host of viral transcription [GO:0043922]; negative regulation of DNA damage checkpoint [GO:2000002]; positive regulation of G2/M transition of mitotic cell cycle [GO:0010971]; positive regulation of histone H3-K36 trimethylation [GO:2001255]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription elongation from RNA polymerase II promoter [GO:0032968]; positive regulation of transcription, DNA-templated [GO:0045893]; regulation of inflammatory response [GO:0050727]; regulation of phosphorylation of RNA polymerase II C-terminal domain [GO:1901407]; regulation of transcription involved in G1/S transition of mitotic cell cycle [GO:0000083]; regulation of transcription, DNA-templated [GO:0006355]","chromatin [GO:0000785]; chromosome [GO:0005694]; condensed nuclear chromosome [GO:0000794]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; chromatin binding [GO:0003682]; enzyme binding [GO:0019899]; lysine-acetylated histone binding [GO:0070577]; P-TEFb complex binding [GO:0106140]; p53 binding [GO:0002039]; RNA polymerase II C-terminal domain binding [GO:0099122]; RNA polymerase II CTD heptapeptide repeat kinase activity [GO:0008353]; transcription coactivator activity [GO:0003713]; transcription coregulator activity [GO:0003712]; cellular response to DNA damage stimulus [GO:0006974]; chromatin remodeling [GO:0006338]; negative regulation by host of viral transcription [GO:0043922]; negative regulation of DNA damage checkpoint [GO:2000002]; positive regulation of G2/M transition of mitotic cell cycle [GO:0010971]; positive regulation of histone H3-K36 trimethylation [GO:2001255]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription elongation from RNA polymerase II promoter [GO:0032968]; positive regulation of transcription, DNA-templated [GO:0045893]; regulation of inflammatory response [GO:0050727]; regulation of phosphorylation of RNA polymerase II C-terminal domain [GO:1901407]; regulation of transcription involved in G1/S transition of mitotic cell cycle [GO:0000083]; regulation of transcription, DNA-templated [GO:0006355]",GO:0000083; GO:0000785; GO:0000794; GO:0002039; GO:0003682; GO:0003712; GO:0003713; GO:0005634; GO:0005654; GO:0005694; GO:0006338; GO:0006355; GO:0006974; GO:0008353; GO:0010971; GO:0019899; GO:0032968; GO:0043123; GO:0043922; GO:0045893; GO:0045944; GO:0050727; GO:0070577; GO:0099122; GO:0106140; GO:1901407; GO:2000002; GO:2001255,chromatin [GO:0000785]; chromosome [GO:0005694]; condensed nuclear chromosome [GO:0000794]; nucleoplasm [GO:0005654]; nucleus [GO:0005634],chromatin binding [GO:0003682]; enzyme binding [GO:0019899]; lysine-acetylated histone binding [GO:0070577]; P-TEFb complex binding [GO:0106140]; p53 binding [GO:0002039]; RNA polymerase II C-terminal domain binding [GO:0099122]; RNA polymerase II CTD heptapeptide repeat kinase activity [GO:0008353]; transcription coactivator activity [GO:0003713]; transcription coregulator activity [GO:0003712],BRD4,,x
223,O60902,O60902,reviewed,SHOX2_HUMAN,Short stature homeobox protein 2 (Homeobox protein Og12X) (Paired-related homeobox protein SHOT),SHOX2 OG12X SHOT,Homo sapiens (Human),331.0,cardiac pacemaker cell differentiation [GO:0060920]; cardiac right atrium morphogenesis [GO:0003213]; cartilage development involved in endochondral bone morphogenesis [GO:0060351]; chondrocyte development [GO:0002063]; embryonic digestive tract morphogenesis [GO:0048557]; embryonic forelimb morphogenesis [GO:0035115]; embryonic skeletal joint morphogenesis [GO:0060272]; mesenchymal cell proliferation [GO:0010463]; muscle tissue morphogenesis [GO:0060415]; negative regulation of transcription by RNA polymerase II [GO:0000122]; nervous system development [GO:0007399]; osteoblast differentiation [GO:0001649]; positive regulation of axonogenesis [GO:0050772]; positive regulation of mesenchymal cell proliferation [GO:0002053]; positive regulation of skeletal muscle fiber development [GO:0048743]; positive regulation of smoothened signaling pathway [GO:0045880]; positive regulation of stem cell proliferation [GO:2000648]; regulation of branching morphogenesis of a nerve [GO:2000172]; regulation of chondrocyte differentiation [GO:0032330]; regulation of heart rate [GO:0002027]; regulation of transcription by RNA polymerase II [GO:0006357]; sinoatrial node cell development [GO:0060931]; sinoatrial node development [GO:0003163]; sinoatrial valve development [GO:0003172]; skeletal system development [GO:0001501]; smoothened signaling pathway [GO:0007224]; stem cell proliferation [GO:0072089],"chromatin [GO:0000785]; nucleus [GO:0005634]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; sequence-specific double-stranded DNA binding [GO:1990837]; cardiac pacemaker cell differentiation [GO:0060920]; cardiac right atrium morphogenesis [GO:0003213]; cartilage development involved in endochondral bone morphogenesis [GO:0060351]; chondrocyte development [GO:0002063]; embryonic digestive tract morphogenesis [GO:0048557]; embryonic forelimb morphogenesis [GO:0035115]; embryonic skeletal joint morphogenesis [GO:0060272]; mesenchymal cell proliferation [GO:0010463]; muscle tissue morphogenesis [GO:0060415]; negative regulation of transcription by RNA polymerase II [GO:0000122]; nervous system development [GO:0007399]; osteoblast differentiation [GO:0001649]; positive regulation of axonogenesis [GO:0050772]; positive regulation of mesenchymal cell proliferation [GO:0002053]; positive regulation of skeletal muscle fiber development [GO:0048743]; positive regulation of smoothened signaling pathway [GO:0045880]; positive regulation of stem cell proliferation [GO:2000648]; regulation of branching morphogenesis of a nerve [GO:2000172]; regulation of chondrocyte differentiation [GO:0032330]; regulation of heart rate [GO:0002027]; regulation of transcription by RNA polymerase II [GO:0006357]; sinoatrial node cell development [GO:0060931]; sinoatrial node development [GO:0003163]; sinoatrial valve development [GO:0003172]; skeletal system development [GO:0001501]; smoothened signaling pathway [GO:0007224]; stem cell proliferation [GO:0072089]",GO:0000122; GO:0000785; GO:0000981; GO:0001501; GO:0001649; GO:0002027; GO:0002053; GO:0002063; GO:0003163; GO:0003172; GO:0003213; GO:0005634; GO:0006357; GO:0007224; GO:0007399; GO:0010463; GO:0032330; GO:0035115; GO:0045880; GO:0048557; GO:0048743; GO:0050772; GO:0060272; GO:0060351; GO:0060415; GO:0060920; GO:0060931; GO:0072089; GO:1990837; GO:2000172; GO:2000648,chromatin [GO:0000785]; nucleus [GO:0005634],"DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; sequence-specific double-stranded DNA binding [GO:1990837]",SHOX2,,x
224,O75030,O75030,reviewed,MITF_HUMAN,"Microphthalmia-associated transcription factor (Class E basic helix-loop-helix protein 32, bHLHe32)",MITF BHLHE32,Homo sapiens (Human),526.0,"bone remodeling [GO:0046849]; camera-type eye development [GO:0043010]; cell fate commitment [GO:0045165]; melanocyte apoptotic process [GO:1902362]; melanocyte differentiation [GO:0030318]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell migration [GO:0030336]; negative regulation of transcription by RNA polymerase II [GO:0000122]; osteoclast differentiation [GO:0030316]; positive regulation of DNA-templated transcription, initiation [GO:2000144]; positive regulation of gene expression [GO:0010628]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription, DNA-templated [GO:0045893]; protein-containing complex assembly [GO:0065003]; regulation of cell population proliferation [GO:0042127]; regulation of osteoclast differentiation [GO:0045670]; regulation of RNA biosynthetic process [GO:2001141]; regulation of transcription by RNA polymerase II [GO:0006357]; regulation of transcription, DNA-templated [GO:0006355]; Wnt signaling pathway [GO:0016055]","chromatin [GO:0000785]; cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; chromatin binding [GO:0003682]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; E-box binding [GO:0070888]; protein dimerization activity [GO:0046983]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; bone remodeling [GO:0046849]; camera-type eye development [GO:0043010]; cell fate commitment [GO:0045165]; melanocyte apoptotic process [GO:1902362]; melanocyte differentiation [GO:0030318]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell migration [GO:0030336]; negative regulation of transcription by RNA polymerase II [GO:0000122]; osteoclast differentiation [GO:0030316]; positive regulation of DNA-templated transcription, initiation [GO:2000144]; positive regulation of gene expression [GO:0010628]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription, DNA-templated [GO:0045893]; protein-containing complex assembly [GO:0065003]; regulation of cell population proliferation [GO:0042127]; regulation of osteoclast differentiation [GO:0045670]; regulation of RNA biosynthetic process [GO:2001141]; regulation of transcription by RNA polymerase II [GO:0006357]; regulation of transcription, DNA-templated [GO:0006355]; Wnt signaling pathway [GO:0016055]",GO:0000122; GO:0000785; GO:0000978; GO:0000981; GO:0001227; GO:0001228; GO:0003682; GO:0005634; GO:0005654; GO:0005737; GO:0006355; GO:0006357; GO:0010628; GO:0016055; GO:0030316; GO:0030318; GO:0030336; GO:0032991; GO:0042127; GO:0043010; GO:0043066; GO:0045165; GO:0045670; GO:0045893; GO:0045944; GO:0046849; GO:0046983; GO:0065003; GO:0070888; GO:1902362; GO:2000144; GO:2001141,chromatin [GO:0000785]; cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991],"chromatin binding [GO:0003682]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; E-box binding [GO:0070888]; protein dimerization activity [GO:0046983]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]",MITF,,x
225,O75031,O75031,reviewed,HSF2B_HUMAN,Heat shock factor 2-binding protein,HSF2BP MEILB2,Homo sapiens (Human),334.0,double-strand break repair involved in meiotic recombination [GO:1990918]; female meiosis I [GO:0007144]; male meiosis I [GO:0007141]; spermatogenesis [GO:0007283]; transcription by RNA polymerase II [GO:0006366],chromosome [GO:0005694]; cytosol [GO:0005829]; double-strand break repair involved in meiotic recombination [GO:1990918]; female meiosis I [GO:0007144]; male meiosis I [GO:0007141]; spermatogenesis [GO:0007283]; transcription by RNA polymerase II [GO:0006366],GO:0005694; GO:0005829; GO:0006366; GO:0007141; GO:0007144; GO:0007283; GO:1990918,chromosome [GO:0005694]; cytosol [GO:0005829],,HSF2BP,,x
226,O75081,O75081,reviewed,MTG16_HUMAN,"Protein CBFA2T3 (MTG8-related protein 2) (Myeloid translocation gene on chromosome 16 protein, hMTG16) (Zinc finger MYND domain-containing protein 4)",CBFA2T3 MTG16 MTGR2 ZMYND4,Homo sapiens (Human),653.0,"granulocyte differentiation [GO:0030851]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of glycolytic process [GO:0045820]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; regulation of aerobic respiration [GO:1903715]; response to hypoxia [GO:0001666]; transcription, DNA-templated [GO:0006351]","Golgi membrane [GO:0000139]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; metal ion binding [GO:0046872]; transcription corepressor activity [GO:0003714]; granulocyte differentiation [GO:0030851]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of glycolytic process [GO:0045820]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; regulation of aerobic respiration [GO:1903715]; response to hypoxia [GO:0001666]; transcription, DNA-templated [GO:0006351]",GO:0000139; GO:0001666; GO:0003714; GO:0005634; GO:0005654; GO:0005730; GO:0006351; GO:0008285; GO:0030851; GO:0032436; GO:0045820; GO:0045892; GO:0046872; GO:1903715,Golgi membrane [GO:0000139]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634],metal ion binding [GO:0046872]; transcription corepressor activity [GO:0003714],CBFA2T3,,x
227,O75157,O75157,reviewed,T22D2_HUMAN,TSC22 domain family protein 2 (TSC22-related-inducible leucine zipper protein 4),TSC22D2 KIAA0669 TILZ4,Homo sapiens (Human),780.0,regulation of transcription by RNA polymerase II [GO:0006357],regulation of transcription by RNA polymerase II [GO:0006357],GO:0006357,,,TSC22D2,,x
228,O75175,O75175,reviewed,CNOT3_HUMAN,CCR4-NOT transcription complex subunit 3 (CCR4-associated factor 3) (Leukocyte receptor cluster member 2),CNOT3 KIAA0691 LENG2 NOT3,Homo sapiens (Human),753.0,"gene silencing by RNA [GO:0031047]; nuclear-transcribed mRNA poly(A) tail shortening [GO:0000289]; positive regulation of cold-induced thermogenesis [GO:0120162]; regulation of stem cell population maintenance [GO:2000036]; regulation of transcription, DNA-templated [GO:0006355]; trophectodermal cell differentiation [GO:0001829]","CCR4-NOT complex [GO:0030014]; CCR4-NOT core complex [GO:0030015]; cytosol [GO:0005829]; nucleus [GO:0005634]; P-body [GO:0000932]; gene silencing by RNA [GO:0031047]; nuclear-transcribed mRNA poly(A) tail shortening [GO:0000289]; positive regulation of cold-induced thermogenesis [GO:0120162]; regulation of stem cell population maintenance [GO:2000036]; regulation of transcription, DNA-templated [GO:0006355]; trophectodermal cell differentiation [GO:0001829]",GO:0000289; GO:0000932; GO:0001829; GO:0005634; GO:0005829; GO:0006355; GO:0030014; GO:0030015; GO:0031047; GO:0120162; GO:2000036,CCR4-NOT complex [GO:0030014]; CCR4-NOT core complex [GO:0030015]; cytosol [GO:0005829]; nucleus [GO:0005634]; P-body [GO:0000932],,CNOT3,,x
229,O75182,O75182,reviewed,SIN3B_HUMAN,Paired amphipathic helix protein Sin3b (Histone deacetylase complex subunit Sin3b) (Transcriptional corepressor Sin3b),SIN3B KIAA0700,Homo sapiens (Human),1162.0,histone deacetylation [GO:0016575]; negative regulation of cell migration [GO:0030336]; negative regulation of transcription by RNA polymerase II [GO:0000122],autosome [GO:0030849]; chromatin [GO:0000785]; cytoplasm [GO:0005737]; histone deacetylase complex [GO:0000118]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; Sin3 complex [GO:0016580]; X chromosome [GO:0000805]; XY body [GO:0001741]; Y chromosome [GO:0000806]; chromatin binding [GO:0003682]; transcription corepressor activity [GO:0003714]; histone deacetylation [GO:0016575]; negative regulation of cell migration [GO:0030336]; negative regulation of transcription by RNA polymerase II [GO:0000122],GO:0000118; GO:0000122; GO:0000785; GO:0000805; GO:0000806; GO:0001741; GO:0003682; GO:0003714; GO:0005634; GO:0005654; GO:0005737; GO:0016575; GO:0016580; GO:0030336; GO:0030849,autosome [GO:0030849]; chromatin [GO:0000785]; cytoplasm [GO:0005737]; histone deacetylase complex [GO:0000118]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; Sin3 complex [GO:0016580]; X chromosome [GO:0000805]; XY body [GO:0001741]; Y chromosome [GO:0000806],chromatin binding [GO:0003682]; transcription corepressor activity [GO:0003714],SIN3B,,x
230,O75312,O75312,reviewed,ZPR1_HUMAN,Zinc finger protein ZPR1 (Zinc finger protein 259),ZPR1 ZNF259,Homo sapiens (Human),459.0,apoptotic process involved in development [GO:1902742]; axon development [GO:0061564]; Cajal body organization [GO:0030576]; cell population proliferation [GO:0008283]; cellular response to epidermal growth factor stimulus [GO:0071364]; DNA endoreduplication [GO:0042023]; inner cell mass cell proliferation [GO:0001833]; microtubule cytoskeleton organization [GO:0000226]; mRNA processing [GO:0006397]; negative regulation of motor neuron apoptotic process [GO:2000672]; positive regulation of cell cycle [GO:0045787]; positive regulation of gene expression [GO:0010628]; positive regulation of growth [GO:0045927]; positive regulation of protein import into nucleus [GO:0042307]; positive regulation of RNA splicing [GO:0033120]; positive regulation of transcription involved in G1/S transition of mitotic cell cycle [GO:0071931]; pre-mRNA catabolic process [GO:1990261]; regulation of myelination [GO:0031641]; RNA splicing [GO:0008380]; signal transduction [GO:0007165]; spinal cord development [GO:0021510]; trophectodermal cell proliferation [GO:0001834],axon [GO:0030424]; Cajal body [GO:0015030]; cytoplasm [GO:0005737]; Gemini of coiled bodies [GO:0097504]; growth cone [GO:0030426]; neuronal cell body [GO:0043025]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perikaryon [GO:0043204]; perinuclear region of cytoplasm [GO:0048471]; receptor tyrosine kinase binding [GO:0030971]; translation initiation factor binding [GO:0031369]; zinc ion binding [GO:0008270]; apoptotic process involved in development [GO:1902742]; axon development [GO:0061564]; Cajal body organization [GO:0030576]; cell population proliferation [GO:0008283]; cellular response to epidermal growth factor stimulus [GO:0071364]; DNA endoreduplication [GO:0042023]; inner cell mass cell proliferation [GO:0001833]; microtubule cytoskeleton organization [GO:0000226]; mRNA processing [GO:0006397]; negative regulation of motor neuron apoptotic process [GO:2000672]; positive regulation of cell cycle [GO:0045787]; positive regulation of gene expression [GO:0010628]; positive regulation of growth [GO:0045927]; positive regulation of protein import into nucleus [GO:0042307]; positive regulation of RNA splicing [GO:0033120]; positive regulation of transcription involved in G1/S transition of mitotic cell cycle [GO:0071931]; pre-mRNA catabolic process [GO:1990261]; regulation of myelination [GO:0031641]; RNA splicing [GO:0008380]; signal transduction [GO:0007165]; spinal cord development [GO:0021510]; trophectodermal cell proliferation [GO:0001834],GO:0000226; GO:0001833; GO:0001834; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0006397; GO:0007165; GO:0008270; GO:0008283; GO:0008380; GO:0010628; GO:0015030; GO:0021510; GO:0030424; GO:0030426; GO:0030576; GO:0030971; GO:0031369; GO:0031641; GO:0033120; GO:0042023; GO:0042307; GO:0043025; GO:0043204; GO:0045787; GO:0045927; GO:0048471; GO:0061564; GO:0071364; GO:0071931; GO:0097504; GO:1902742; GO:1990261; GO:2000672,axon [GO:0030424]; Cajal body [GO:0015030]; cytoplasm [GO:0005737]; Gemini of coiled bodies [GO:0097504]; growth cone [GO:0030426]; neuronal cell body [GO:0043025]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perikaryon [GO:0043204]; perinuclear region of cytoplasm [GO:0048471],receptor tyrosine kinase binding [GO:0030971]; translation initiation factor binding [GO:0031369]; zinc ion binding [GO:0008270],ZPR1,,x
231,O75333,O75333,reviewed,TBX10_HUMAN,"T-box transcription factor TBX10, T-box protein 10",TBX10 TBX7,Homo sapiens (Human),385.0,"anatomical structure morphogenesis [GO:0009653]; cell fate specification [GO:0001708]; positive regulation of transcription, DNA-templated [GO:0045893]; regulation of transcription by RNA polymerase II [GO:0006357]","chromatin [GO:0000785]; nucleus [GO:0005634]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; anatomical structure morphogenesis [GO:0009653]; cell fate specification [GO:0001708]; positive regulation of transcription, DNA-templated [GO:0045893]; regulation of transcription by RNA polymerase II [GO:0006357]",GO:0000785; GO:0000978; GO:0000981; GO:0001708; GO:0005634; GO:0006357; GO:0009653; GO:0045893,chromatin [GO:0000785]; nucleus [GO:0005634],"DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]",TBX10,,x
232,O75360,O75360,reviewed,PROP1_HUMAN,"Homeobox protein prophet of Pit-1, PROP-1 (Pituitary-specific homeodomain factor)",PROP1,Homo sapiens (Human),226.0,apoptotic process [GO:0006915]; blood vessel development [GO:0001568]; cell migration [GO:0016477]; central nervous system development [GO:0007417]; dorsal/ventral pattern formation [GO:0009953]; hypophysis morphogenesis [GO:0048850]; hypothalamus cell differentiation [GO:0021979]; negative regulation of apoptotic process [GO:0043066]; regulation of transcription by RNA polymerase II [GO:0006357]; somatotropin secreting cell differentiation [GO:0060126],"chromatin [GO:0000785]; nucleus [GO:0005634]; transcription regulator complex [GO:0005667]; beta-catenin binding [GO:0008013]; chromatin binding [GO:0003682]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; protein C-terminus binding [GO:0008022]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]; apoptotic process [GO:0006915]; blood vessel development [GO:0001568]; cell migration [GO:0016477]; central nervous system development [GO:0007417]; dorsal/ventral pattern formation [GO:0009953]; hypophysis morphogenesis [GO:0048850]; hypothalamus cell differentiation [GO:0021979]; negative regulation of apoptotic process [GO:0043066]; regulation of transcription by RNA polymerase II [GO:0006357]; somatotropin secreting cell differentiation [GO:0060126]",GO:0000785; GO:0000978; GO:0000981; GO:0001227; GO:0001228; GO:0001568; GO:0003682; GO:0005634; GO:0005667; GO:0006357; GO:0006915; GO:0007417; GO:0008013; GO:0008022; GO:0009953; GO:0016477; GO:0021979; GO:0043066; GO:0048850; GO:0060126; GO:1990837,chromatin [GO:0000785]; nucleus [GO:0005634]; transcription regulator complex [GO:0005667],"beta-catenin binding [GO:0008013]; chromatin binding [GO:0003682]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; protein C-terminus binding [GO:0008022]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]",PROP1,,x
